"collection","colid","area","lat","lon","elev","MAXCAP"
"usgs","01595200",NA,39.269549,-79.262263,783,70160342.4
"usgs","01597500",271.94895,39.50275,-79.123972,418,34537440
"usgs","01673800",NA,38.171522,-77.59471,66,8511012
"usgs","02011800",890.95656,37.948458,-79.949224,444,589356744
"usgs","02026000",NA,37.536254,-78.829461,115,6167400
"usgs","02034000",NA,37.857919,-78.265837,78,20622552.12
"usgs","02060500",NA,37.104587,-79.295301,171,117131260.8
"usgs","02060500",NA,37.104587,-79.295301,171,0
"usgs","02072000",549.07788,36.780693,-80.024765,256,397057212
"usgs","02075000",NA,36.587639,-79.381689,123,6167400
"usgs","02075000",NA,36.587639,-79.381689,123,0
"usgs","02077303",997.14615,36.5225,-78.9975,118,14801760
"usgs","02077303",997.14615,36.5225,-78.9975,118,93103070.4
"usgs","02094500",271.94895,36.173056,-79.614167,198,28816559.76
"usgs","02099500",159.025386,35.903611,-79.852778,216,6241408.8
"usgs","02102192",183.88929,35.559722,-78.973611,66,88810560
"usgs","02105769",13532.69775,34.404444,-78.293611,2,24669600
"usgs","02130910",448.06827,34.397376,-80.149791,60,38237880
"usgs","02148000",12302.4525,34.244594,-80.65397,39,367098449.8
"usgs","02148315",12302.4525,33.828489,-80.620365,26,367098449.8
"usgs","02154500",205.645206,35.120952,-81.98594,237,39471360
"usgs","02155500",205.645206,35.109841,-81.959551,227,39471360
"usgs","02156500",7226.0721,34.59625,-81.422042,89,7400880
"usgs","02163000",NA,34.668171,-82.465127,232,9274536.12
"usgs","02163000",NA,34.668171,-82.465127,232,0
"usgs","02213500",471.37818,32.808889,-83.758333,109,21277530
"usgs","02223000",7536.8709,33.089588,-83.215432,76,411982320
"usgs","02271500",113.95956,27.374208,-81.393406,16,55106952.48
"usgs","02304500",NA,28.023908,-82.427594,6,13568280
"usgs","02330000",NA,30.383253,-84.654911,15,317004360
"usgs","02330000",NA,30.383253,-84.654911,15,0
"usgs","02341500",12095.2533,32.462643,-84.99771,62,39471360
"usgs","02341505",12095.2533,32.453199,-84.99521,72,39471360
"usgs","02358000",44418.3285,30.701025,-84.859087,14,501039576
"usgs","02359500",1012.945089,30.384641,-85.556593,2,10176210
"usgs","02418500",8598.7668,32.512636,-85.889125,58,13568280
"usgs","02430000",176.637318,34.526208,-88.322824,126,528669528
"usgs","03014500",489.50811,42.112558,-79.203936,386,543964680
"usgs","03030500",2463.08049,41.192563,-79.440045,314,56933736.36
"usgs","03038000",NA,40.654788,-79.348651,297,53224662
"usgs","03042500",NA,40.51729,-79.171701,305,28370040
"usgs","03049500",29551.7859,40.615344,-79.718381,226,11101320
"usgs","03056000",3066.54816,39.319815,-80.025078,299,354872196
"usgs","03072655",11414.08593,39.825077,-79.922833,233,6784140
"usgs","03090500",644.90751,41.048391,-81.001203,299,164052840
"usgs","03091500",1359.74475,41.131446,-80.971202,279,164052840
"usgs","03091500",1359.74475,41.131446,-80.971202,279,57486335.4
"usgs","03101500",409.21842,41.498109,-80.460069,299,548898600
"usgs","03106300",131.571492,40.963118,-80.125059,360,120881040
"usgs","03118500",49.20981,40.734226,-81.352058,302,21585900
"usgs","03120500",124.31952,40.470343,-81.196493,288,46132152
"usgs","03122500",3618.21603,40.529786,-81.429837,268,250396440
"usgs","03126000",217.55916,40.19479,-81.215384,278,82273116
"usgs","03127000",398.85846,40.270345,-81.290387,261,82273116
"usgs","03127000",398.85846,40.270345,-81.290387,261,66607920
"usgs","03127500",398.85846,40.386177,-81.347055,255,82273116
"usgs","03127500",398.85846,40.386177,-81.347055,255,66607920
"usgs","03128500",183.88929,40.357011,-81.230106,262,75982368
"usgs","03133500",515.40801,40.620338,-82.324328,305,108176196
"usgs","03195500",1390.82463,38.663156,-80.709541,253,327242244
"usgs","03209000",572.38779,37.237054,-82.343202,387,179718036
"usgs","03221000",2556.32013,40.143396,-83.120466,240,50366688.84
"usgs","03229000",315.97878,39.945064,-82.941014,225,166273104
"usgs","03232500",297.84885,39.218399,-83.38547,236,107374434
"usgs","03276000",981.60621,39.43394,-85.003293,193,856486573.7
"usgs","03284000",10347.01005,37.894801,-84.262153,175,22770040.8
"usgs","03287000",12952.53999,37.925632,-84.821338,158,20118058.8
"usgs","03287500",NA,38.201739,-84.881617,145,19562992.8
"usgs","03287500",NA,38.201739,-84.881617,145,20216737.2
"usgs","03287500",NA,38.201739,-84.881617,145,0
"usgs","03287500",NA,38.201739,-84.881617,145,0
"usgs","03318500",1175.85546,37.588943,-86.551371,132,955922330.4
"usgs","03323500",1857.02283,40.855601,-85.498031,216,209533714.6
"usgs","03324500",1432.26447,40.811711,-85.68387,207,709251000
"usgs","03347000",44.02983,40.20421,-85.387193,281,45231711.6
"usgs","03359000",764.04705,39.487544,-86.924734,180,481958873.9
"usgs","03361000",NA,39.743934,-85.575808,269,31515414
"usgs","03382100",88.05966,37.637827,-88.677834,120,102307298.2
"usgs","03383000",NA,37.223936,-87.781399,116,21780789.84
"usgs","03438220",45578.64402,37.021722,-88.223085,91,4049638188
"usgs","03469000",11761.14459,35.951756,-83.551281,263,1819383000
"usgs","03487500",4928.75097,36.523132,-82.545706,355,33180612
"usgs","03508000",303.805827,35.282045,-83.126809,658,7832598
"usgs","03508000",303.805827,35.282045,-83.126809,658,86849326.8
"usgs","03533000",7542.05088,36.215634,-84.082142,255,3147840960
"usgs","03579100",681.16737,35.286065,-86.105436,274,125622537.1
"usgs","04034500",NA,46.477722,-89.090419,348,52792944
"usgs","04036000",419.57838,46.587447,-89.54182,396,43480170
"usgs","04037500",NA,46.253282,-89.451536,515,36264312
"usgs","04041500",NA,46.726323,-88.662079,221,23929512
"usgs","04062500",1662.77358,46.113838,-88.215969,396,174068697.6
"usgs","04063000",NA,45.951064,-88.187077,344,24977970
"usgs","04084500",NA,44.317489,-88.197326,196,17638764
"usgs","04100222",NA,41.481716,-85.475537,271,11751363.96
"usgs","04101500",NA,41.829214,-86.259732,194,7424316.12
"usgs","04101500",NA,41.829214,-86.259732,194,0
"usgs","04108500",3988.5846,42.593363,-85.984199,182,17515416
"usgs","04109000",NA,42.283647,-84.408848,277,8511012
"usgs","04135500",NA,44.659737,-84.712529,344,14801760
"usgs","04147500",1362.33474,43.111137,-83.519397,224,36881052
"usgs","04161800",176.11932,42.71531,-83.091877,240,9559470
"usgs","04170500",383.31852,42.512533,-83.676329,270,14801760
"usgs","04172000",383.31852,42.465312,-83.799943,262,14801760
"usgs","04174500",797.71692,42.286149,-83.733274,242,9001937.04
"usgs","04196800",1.035996,40.922833,-83.348812,243,9497796
"usgs","04229500",119.13954,42.957285,-77.588887,186,50697261.48
"usgs","04232482",471.37818,42.680348,-76.953852,145,247621110
"usgs","04235500",530.94795,42.946733,-76.598555,178,79230120.84
"usgs","04237500",8127.38862,43.157012,-76.331598,112,43171800
"usgs","04240180",NA,42.9209,-76.329376,227,20969160
"usgs","04245000",NA,43.030066,-76.013254,135,19982376
"usgs","04253500",134.67948,43.712568,-74.970452,523,27888982.8
"usgs","04257000",445.47828,43.898955,-75.05185,506,127418484
"usgs","04258000",NA,43.897291,-75.404075,244,6596651.04
"usgs","04261000",372.95856,44.220895,-74.849632,449,70801752
"usgs","04266500",NA,44.234783,-74.571841,456,44898672
"usgs","04268000",2426.82063,44.838941,-74.978813,56,17219380.8
"usgs","04285500",173.52933,44.299503,-72.578721,174,44405280
"usgs","04289000",282.30891,44.370056,-72.769285,132,108546240
"usgs","05046000",4739.6817,46.209682,-96.185061,315,35030832
"usgs","05050000",5255.08971,45.86246,-96.573958,296,117797340
"usgs","05051500",8761.3817,46.265237,-96.594796,290,35030832
"usgs","05051500",8761.3817,46.265237,-96.594796,290,0
"usgs","05058000",NA,47.033872,-98.083708,393,143700420
"usgs","05059000",NA,46.631633,-97.000643,284,143700420
"usgs","05059000",NA,46.631633,-97.000643,284,0
"usgs","05059000",NA,46.631633,-97.000643,284,0
"usgs","05127500",3107.988,48.081838,-91.652901,403,14875768.8
"usgs","05130500",93.23964,47.673538,-92.900182,412,93249854.52
"usgs","05211000",8728.2663,47.232166,-93.530214,388,12865196.4
"usgs","05220500",1090.38579,46.789671,-93.328837,372,97938312
"usgs","05247500",NA,46.304967,-94.377504,359,12507487.2
"usgs","05267000",NA,45.861077,-94.358612,321,11101320
"usgs","05292000",3004.3884,45.295521,-96.444223,295,252863400
"usgs","05340500",15358.6407,45.406906,-92.647151,223,15665196
"usgs","05356000",2007.24225,45.848611,-91.078889,389,413215800
"usgs","05356500",NA,45.451631,-91.261266,327,413215800
"usgs","05356500",NA,45.451631,-91.261266,327,0
"usgs","05356500",NA,45.451631,-91.261266,327,0
"usgs","05360500",4993.50072,45.371389,-91.208333,323,71307478.8
"usgs","05370000",NA,44.852778,-92.238333,282,70185012
"usgs","05391000",1955.44245,45.830509,-89.552364,482,72935672.4
"usgs","05395000",NA,45.1783,-89.681792,378,8140968
"usgs","05395000",NA,45.1783,-89.681792,378,0
"usgs","05398000",10411.7598,44.885802,-89.634844,350,26519820
"usgs","05404000",20062.06254,43.60498,-89.756791,258,44405280
"usgs","05419000",39.626847,42.252794,-90.285962,186,18045812.4
"usgs","05481650",15081.51177,41.680544,-93.668275,243,826431600
"usgs","05483600",1118.87568,41.687209,-94.371077,311,77709240
"usgs","05489500",34638.52626,41.010848,-92.411296,195,8213743.32
"usgs","05508000",NA,39.612333,-91.407306,149,2552563512
"usgs","05508000",NA,39.612333,-91.407306,149,0
"usgs","05543500",21390.72741,41.326978,-88.717574,144,17268720
"usgs","05543830",51.7998,43.004734,-88.243704,244,27753300
"usgs","05544200",NA,42.85668,-88.327872,242,8634360
"usgs","05550000",3219.35757,42.166413,-88.29036,224,139284561.6
"usgs","06020600",1543.63404,45.242146,-112.11082,1621,72035232
"usgs","06204050",121.72953,45.242998,-109.731284,2005,26396472
