fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
01093,Marion,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01095,Marshall,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
01097,Mobile,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01099,Monroe,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01101,Montgomery,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01103,Morgan,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
01105,Perry,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01107,Pickens,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01109,Pike,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01111,Randolph,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01113,Russell,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01115,St Clair,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
01117,Shelby,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,cott,Inf,Inf,Inf
01119,Sumter,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01121,Talladega,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01123,Tallapoosa,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01125,Tuscaloosa,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,soyb,42.147279999999995,Inf,Inf
01127,Walker,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
01129,Washington,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01131,Wilcox,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01133,Winston,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
04001,Apache,AZ,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04003,Cochise,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04005,Coconino,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04007,Gila,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04009,Graham,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,cott,-Inf,Inf,Inf
04011,Greenlee,AZ,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04012,La Paz,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,cott,-Inf,Inf,Inf
04013,Maricopa,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,cott,-Inf,Inf,Inf
04015,Mohave,AZ,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04017,Navajo,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04019,Pima,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,cott,-Inf,Inf,Inf
04021,Pinal,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,cott,-Inf,Inf,Inf
04023,Santa Cruz,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04025,Yavapai,AZ,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
04027,Yuma,AZ,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
05001,Arkansas,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05003,Ashley,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05005,Baxter,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05007,Benton,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05009,Boone,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05011,Bradley,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05013,Calhoun,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05015,Carroll,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05017,Chicot,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05019,Clark,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05021,Clay,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05023,Cleburne,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05025,Cleveland,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05027,Columbia,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05029,Conway,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05031,Craighead,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05033,Crawford,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05035,Crittenden,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05037,Cross,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05039,Dallas,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05041,Desha,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05043,Drew,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05045,Faulkner,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,rice,Inf,Inf,Inf
05047,Franklin,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05049,Fulton,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05051,Garland,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05053,Grant,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05055,Greene,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
05057,Hempstead,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05059,Hot Spring,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05061,Howard,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
