"fips","profit","crop","yield","price","costs"
30027,2.5510089291193217e37,"Barley",6.025623695809916e36,4.233601462522852,132.16
16079,3.088740813944568e52,"Barley",7.295776046203347e51,4.233601462522852,132.16
22035,4.581331706317634e54,"Soybean",4.5449719308706685e53,10.08,119.19000000000005
5099,9.53357177927832e48,"Barley",2.321822839170385e48,4.106072013093289,127.89
39001,6.18390762160054e66,"Barley",1.4877834844625922e66,4.156456692913386,101.73999999999998
29201,9.57720208092227e102,"Barley",2.304174634431069e102,4.156456692913386,101.73999999999998
46009,3.671957348413029e50,"Barley",8.834345260167365e49,4.156456692913386,101.73999999999998
1131,1.2829905319028238e49,"Barley",3.1246177071704326e48,4.106072013093289,127.89
17131,5.388493249586996e68,"Barley",1.2964151073134455e68,4.156456692913386,101.73999999999998
29125,5.013880079052495e84,"Barley",1.2062870972771078e84,4.156456692913386,101.73999999999998
40097,2.7153864653768533e49,"Soybean",2.5689559748125384e48,10.57,-36.75999999999999
41057,4.966610801646203e12,"Barley",1.0053228061906241e12,4.940314465408805,182.71000000000004
6037,3.006974766919118e62,"Barley",6.086606000434619e61,4.940314465408805,182.71000000000004
48223,1.1773569549893706e47,"Soybean",1.1003336027938044e46,10.7,147.42728
42109,2.5821892077440985e70,"Barley",5.05025070275661e69,5.112992125984253,117.16000000000001
8075,6.60420303749704e49,"Barley",1.8810348315394822e49,3.510941385435169,98.39999999999999
30033,1.7666729282217815e54,"Barley",5.031906643473653e53,3.510941385435169,98.39999999999999
41045,4.616577440300759e44,"Barley",1.0904610368189183e44,4.233601462522852,132.16
22125,3.3307947996359095e50,"Soybean",3.3043599202737197e49,10.08,159.43928
19033,1.7146411564216496e60,"Barley",4.125247255300538e59,4.156456692913386,101.73999999999998
56015,2.0201405095632688e61,"Barley",5.753842880840004e60,3.510941385435169,98.39999999999999
18183,1.4437082208016095e73,"Barley",3.4734109542463943e72,4.156456692913386,101.73999999999998
38027,1.5742452504055171e52,"Barley",4.483826636742313e51,3.510941385435169,98.39999999999999
8045,3.1428226099473856e60,"Barley",7.423520229215296e59,4.233601462522852,132.16
49003,2.0053465143361492e42,"Barley",4.7367389965448946e41,4.233601462522852,34.72199999999995
38085,3.634403332073579e55,"Barley",1.035164912507677e55,3.510941385435169,98.39999999999999
48347,2.2773718550095903e53,"Soybean",2.1283849112239164e52,10.7,147.42728
40043,6.823195521486444e52,"Soybean",6.983823461091551e51,9.77,140.93079
21211,9.747430072004862e97,"Barley",2.3739062639239207e97,4.106072013093289,127.89
13281,1.9471643899690953e74,"Barley",4.742158402872746e73,4.106072013093289,127.89
40051,4.121391765813433e60,"Soybean",4.218415318130434e59,9.77,140.93079
13271,4.308607747996854e81,"Barley",1.049325909106739e81,4.106072013093289,127.89
13217,1.210308890638292e85,"Barley",2.947607559679675e84,4.106072013093289,127.89
5047,3.1659559636232126e51,"Barley",7.71042483796614e50,4.106072013093289,127.89
38033,5.2930711977379126e47,"Barley",1.5075931542735952e47,3.510941385435169,98.39999999999999
54045,3.097007952294436e70,"Barley",7.542507638489565e69,4.106072013093289,127.89
36107,1.8753765099958381e56,"Barley",3.667865046114906e55,5.112992125984253,117.16000000000001
17165,4.2344930899736064e98,"Barley",1.0187747408010457e98,4.156456692913386,101.73999999999998
28097,2.357379165435692e45,"Barley",5.741202682073206e44,4.106072013093289,127.89
31141,3.418372646579924e57,"Barley",8.224246994821648e56,4.156456692913386,101.73999999999998
18145,1.3774942653784468e78,"Barley",3.3141071040798446e77,4.156456692913386,101.73999999999998
45013,1.3622690208869013e66,"Barley",2.757454065779141e65,4.940314465408805,182.71000000000004
40139,3.3680726433557692e38,"Soybean",3.4473619686343595e37,9.77,140.93079
37119,3.651352979348802e88,"Barley",8.89256926743005e87,4.106072013093289,127.89
18045,7.042040912423097e85,"Barley",1.6942413773802895e85,4.156456692913386,101.73999999999998
19085,6.36903169024308e58,"Barley",1.5323223988119634e58,4.156456692913386,101.73999999999998
51085,5.380935113154503e82,"Barley",1.3104824016714704e82,4.106072013093289,127.89
29143,4.41593422852075e107,"Barley",1.062427580696261e107,4.156456692913386,101.73999999999998
8037,2.1454135479953627e33,"Barley",5.067585050192433e32,4.233601462522852,132.16
47171,3.602196463952009e72,"Barley",8.772852625247339e71,4.106072013093289,127.89
18073,7.352706446965813e78,"Barley",1.7689842551474005e78,4.156456692913386,101.73999999999998
27099,6.419335245266031e62,"Barley",1.5444249079295773e62,4.156456692913386,101.73999999999998
40031,8.969792889924185e54,"Soybean",9.18095485150889e53,9.77,140.93079
54087,9.354290226409884e62,"Barley",2.2781602944569097e62,4.106072013093289,127.89
21067,5.912746639202915e80,"Barley",1.4400007160976644e80,4.106072013093289,127.89
8027,1.0812830974381712e31,"Barley",2.633375873560464e30,4.106072013093289,127.89
39057,1.1803392467175443e71,"Barley",2.839772753388678e70,4.156456692913386,101.73999999999998
20121,9.184094535867816e37,"Barley",2.2367105366349927e37,4.106072013093289,127.89
5101,1.357694426547959e34,"Barley",3.3065528861125516e33,4.106072013093289,127.89
26071,5.515017372429852e41,"Barley",1.0786281763280066e41,5.112992125984253,117.16000000000001
45057,7.655931311904151e87,"Barley",1.864538977273463e87,4.106072013093289,127.89
48249,9.717364243782107e68,"Barley",1.9669525719104215e68,4.940314465408805,182.71000000000004
37001,3.4434793925127437e90,"Barley",8.38631027788189e89,4.106072013093289,127.89
49017,8.038866739770697e52,"Barley",1.8988246321561506e52,4.233601462522852,132.16
48475,1.5890041835677324e62,"Soybean",1.662138267330264e61,9.56,131.893583212343
