filepath,choice,costs,objective,exclcosts
currentprofits-pfixed-lybymc.csv,optimal,0.0,4.214237460363143e10,4.214237460363143e10
currentprofits-pfixed-lybymc.csv,observed,NaN,3.677072825618147e10,3.677072825618147e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,0.0,3.3021353606444366e10,3.3021353606444366e10
all2050profits-pfixed-notime-histco-lybymc.csv,observed,NaN,2.3334932622591915e10,2.3334932622591915e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,0.0,3.0151803386692543e10,3.0151803386692543e10
all2070profits-pfixed-notime-histco-lybymc.csv,observed,NaN,1.874220127279401e10,1.874220127279401e10
currentprofits-pfixed-lybymc.csv,optimal,1.0,4.209488567140606e10,4.214232215495404e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0,3.2960750566930096e10,3.3021026280388565e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0,3.009169225263001e10,3.0151629850935318e10
currentprofits-pfixed-lybymc.csv,optimal,1.0069386314760276,4.209455652712805e10,4.214232215495404e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0069386314760276,3.296033233596744e10,3.3021026280388565e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0069386314760276,3.009127636772368e10,3.015162985093532e10
currentprofits-pfixed-lybymc.csv,optimal,1.013925407558815,4.209422509903943e10,4.214232215495404e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.013925407558815,3.2959911203054214e10,3.3021026280388577e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.013925407558815,3.009085759714549e10,3.015162985093532e10
currentprofits-pfixed-lybymc.csv,optimal,1.0209606623060468,4.209389159865987e10,4.2142254209520226e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0209606623060468,3.2959487148055126e10,3.3021026280388577e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0209606623060468,3.0090435920872433e10,3.0151629850935318e10
currentprofits-pfixed-lybymc.csv,optimal,1.0280447320933093,4.2093556028325775e10,4.2142254209520226e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0280447320933093,3.295906015307447e10,3.302102503466274e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0280447320933093,3.0090011318743164e10,3.0151629850935318e10
currentprofits-pfixed-lybymc.csv,optimal,1.0351779556301763,4.209321812959283e10,4.2142254209520226e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0351779556301763,3.2958630201596664e10,3.302102503466274e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0351779556301763,3.0089583770456158e10,3.0151629850935314e10
currentprofits-pfixed-lybymc.csv,optimal,1.0423606739764015,4.209287788630526e10,4.2142254209520226e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0423606739764015,3.2958197269059425e10,3.302102280118565e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0423606739764015,3.0089153255569244e10,3.0151629850935318e10
currentprofits-pfixed-lybymc.csv,optimal,1.0495932305582274,4.209253548450571e10,4.214219290720761e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0495932305582274,3.295776134584471e10,3.302102280118565e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0495932305582274,3.0088720304630653e10,3.0151536106305576e10
currentprofits-pfixed-lybymc.csv,optimal,1.0568759711848041,4.209219092994931e10,4.214219290720761e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0568759711848041,3.295732239791948e10,3.3021022801185646e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0568759711848041,3.0088284448931908e10,3.0151536106305576e10
currentprofits-pfixed-lybymc.csv,optimal,1.0642092440647242,4.2091843984656204e10,4.214219290720761e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0642092440647242,3.295688040429631e10,3.3021022801185646e10
all2070profits-pfixed-notime-histco-lybymc.csv,optimal,1.0642092440647242,3.0087845568991196e10,3.0151536106305576e10
currentprofits-pfixed-lybymc.csv,optimal,1.0715933998226712,4.209149463203746e10,4.214219290720761e10
all2050profits-pfixed-notime-histco-lybymc.csv,optimal,1.0715933998226712,3.295643534384233e10,3.3021022801185646e10
