fips,profit,crop,yield,price,costs
30027,3.246671324227964e93,Barley,7.668816616227345e92,4.233601462522852,132.16
16079,4.2486012401175164e116,Barley,1.0035430301428812e116,4.233601462522852,132.16
22035,1.276564510182497e94,Barley,3.1089676608491904e93,4.106072013093289,127.89
5099,5.812318378630935e89,Barley,1.4155422408805376e89,4.106072013093289,127.89
39001,1.404944767115505e130,Barley,3.3801501396872174e129,4.156456692913386,101.73999999999998
29201,1.684555419841038e175,Barley,4.052864120329093e174,4.156456692913386,101.73999999999998
46009,6.24442518473116e95,Barley,1.5023433770831025e95,4.156456692913386,101.73999999999998
1131,1.657445536671622e91,Barley,4.036572011855665e90,4.106072013093289,127.89
17131,6.2060645705095575e124,Barley,1.493114214588277e124,4.156456692913386,101.73999999999998
29125,1.1413214183574424e151,Barley,2.745899939973766e150,4.156456692913386,101.73999999999998
40097,5.062705349411625e87,Barley,1.2329801652937063e87,4.106072013093289,127.89
41057,1.846368957684086e37,Barley,3.7373510747383193e36,4.940314465408805,182.71000000000004
6037,6.293431647529568e130,Barley,1.2738929255607202e130,4.940314465408805,182.71000000000004
48223,4.228659777248009e81,Barley,1.0298552396947293e81,4.106072013093289,127.89
42109,7.521213993031831e129,Barley,1.471000503757669e129,5.112992125984253,117.16
8075,3.5816889721399395e91,Barley,1.0201506031966983e91,3.510941385435169,98.4
30033,1.649066753965982e121,Barley,4.6969361573707554e120,3.510941385435169,98.4
41045,3.5796003799003623e104,Barley,8.45521339594218e103,4.233601462522852,132.16
22125,4.329402903940427e82,Barley,1.0543903979606272e82,4.106072013093289,127.89
19033,3.4907995358338706e108,Barley,8.398498513855714e107,4.156456692913386,101.73999999999998
56015,5.991422787587782e119,Barley,1.7065003740713734e119,3.510941385435169,98.4
18183,9.37919265966634e128,Barley,2.2565356390354163e128,4.156456692913386,101.73999999999998
38027,1.3435960637095754e100,Barley,3.826882639748317e99,3.510941385435169,98.4
8045,1.9133724633016437e126,Barley,4.5194912186217996e125,4.233601462522852,132.16
49003,1.3733554676101465e94,Barley,3.243941310412691e93,4.233601462522852,34.72199999999995
38085,5.207263096610755e114,Barley,1.4831529567006236e114,3.510941385435169,98.4
48347,3.192070204426489e88,Barley,7.774023919326634e87,4.106072013093289,127.89
40043,9.257333228497899e75,Soybean,9.475264307572056e74,9.77,140.93079
21211,2.2889291405439084e181,Barley,5.574498287524077e180,4.106072013093289,127.89
13281,7.001995622352892e130,Barley,1.7052783292706971e130,4.106072013093289,127.89
