1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
2992.238225051534,2903.2589866630888,3010.397016234453,2857.2004978922537,2936.892142617952,2979.1411111837247,2831.8216620429134,2844.061604431444,2798.493628135558,2884.506058531835,2947.410646984491,2950.061190744012,2803.470491429706,2937.3134762786863,2889.590120566668,2826.5869317852857,2869.7123328425205,2785.7939006577953,2653.6827474978727,2877.431093423846,2864.292204578825,2918.152352553496,2973.9659973736534,2884.2913142336897,2969.2215732324726,2706.9537292279474,2763.7423284939173,2682.4050455682136,2920.8419249146887,2912.54770346541,2796.747193233945,2892.240617608533,2865.157498078036,2903.7725282267224,2820.9555558940942,2873.94769597935,2923.303108336136,2971.740571055942,2837.21629361677,2829.1798372098137,2816.3373653410154,2909.85389112321,2876.1148571003937,2773.5293253659615,2881.568670621864,2824.2336713004074,2879.995511307445,2798.475484409496,2810.3647455839937,3019.071363040356,2868.5454303307056,2892.334541355063,2761.183775018978,2976.5957567898786,2828.3351095402263,2962.459930689262,2938.097737837815,2878.1300734701426,3017.979400334048,2884.541008160865,2870.70801291925
3090.360527598484,3020.270948789142,3136.6831681548183,2984.437142348882,3070.432634886934,3113.249571277964,3005.442394964195,3021.3210287154257,2986.597332303062,3040.2535703088333,3090.497742393343,3088.315863177335,2957.943125239548,3079.9406606858197,3054.0028551472274,2975.9222669416417,2982.1180036140763,2949.0719698613266,2857.697636870988,3041.5972198213967,3025.444929602877,3065.934781292378,3114.1733379687075,3083.888779152062,3120.074841180908,2967.0522689703253,2972.3944428963346,2880.784820771005,3042.9567696982,3067.460017049009,3007.9072043180126,3058.037175060185,3021.554006297666,3026.637980257878,2982.042889404809,3052.0250497453926,3076.597961419305,3086.856311038399,2936.1287732707838,2969.9309259360793,2957.4397316517275,3019.697300606557,3007.444273461288,2935.7604851072892,3000.730359234971,2944.5009007439617,2998.0044870651077,2997.1427164799074,2992.091187419402,3162.650286897382,3036.923546453355,3059.760620182518,2954.8730106816306,3150.449453237988,3039.1498696786125,3129.465698764632,3079.162000443861,3042.410939216954,3124.17076026661,3036.7570510542614,3066.231257124473
2999.808475512718,2926.386739638411,3063.5029736452316,2920.756811811445,2956.150457334623,3006.104906276998,2906.207998033746,2928.406524587639,2864.233751755791,2940.745502182062,2999.257138593381,2983.0099002537354,2829.6373249093053,2902.351645769682,2881.949268302621,2859.16913393372,2885.3895395503496,2872.350529119287,2674.731405452536,2905.84258561218,2853.0104351852447,2928.5062095576404,2979.6468906217524,2892.102745746182,2953.7700672965184,2747.6409066787496,2847.101783209555,2702.8341402184687,2870.966890877644,2921.2610658277868,2813.2261342489833,2913.9360988584667,2849.138262219155,2854.3871094883866,2782.8108787136557,2895.179885813298,2935.158976013803,3005.384422000438,2844.258560681419,2835.771319300243,2838.638747526829,2963.978755586496,2915.1623774944583,2834.1263087492266,2925.03879168887,2802.6396239822625,2864.927622732534,2757.317195385016,2750.8828217628006,2960.109247518043,2850.7233064527136,2830.375501466492,2746.175093198997,2958.356718974758,2835.3477906687754,2906.612463309481,2944.331685415104,2846.012743346342,3001.073299569938,2875.3107029796806,2910.482077877011
2980.891214365716,2889.851611286169,2906.9545496641617,2749.41344996767,2823.45978207213,2895.990380785967,2748.2327089152077,2752.387727764546,2720.239495202209,2768.3021994907676,2857.454421069863,2830.837177899921,2706.1911795788196,2810.08033009712,2739.12711848166,2725.410158428903,2744.457063383932,2660.322657619397,2549.72925094076,2759.342297000412,2749.581132545567,2799.310312280818,2880.1475899054963,2726.1351252585014,2873.393616274189,2655.6336998658876,2733.019678563442,2632.131977120578,2837.2708322564176,2852.892582463312,2737.1469601026893,2829.105011896931,2774.07987768857,2762.0026170493816,2762.6296971882825,2848.470005192877,2839.8014471781134,2897.342478922079,2760.86741183404,2781.6092764873474,2744.0234768777996,2862.783100859436,2858.167471032386,2736.321398915059,2809.466908908652,2741.2404918839165,2787.249417252332,2738.977613254126,2721.166550426862,2948.042148551845,2807.205075774811,2848.824037487186,2718.673952521478,2949.0885569050956,2784.440815124978,2865.804584279188,2892.924722051915,2806.7783092762847,2941.3904421072366,2801.4365764996287,2757.381926736641
2796.9558798356234,2696.837627098047,2757.063452873986,2632.4277650022213,2748.924988752975,2819.0389683127833,2662.8433349672177,2682.330355445755,2597.932004237384,2673.567759591707,2758.5953274581034,2738.9795432576934,2571.2152273142756,2720.003937109024,2652.853237524413,2651.9246469855243,2652.9280721617106,2553.130771072544,2435.7070427046656,2631.665994589764,2644.2922512591344,2709.9067509973197,2794.658180963627,2637.108870201349,2791.9674822879597,2495.6912557446744,2586.1675742007037,2469.0668588092176,2734.248588221005,2740.0081296810936,2595.6928344028893,2744.850832213361,2667.7815137707,2679.123093843343,2668.4151075587015,2742.185256250611,2678.1231625683213,2768.458210891079,2598.570271490909,2607.162380754365,2598.2008076145275,2722.933254234314,2741.3128409679484,2547.142982322666,2672.3167194965813,2643.31677011162,2687.308957802844,2626.7832734817066,2570.2809209644543,2872.725443350702,2728.0175438966903,2838.682204611086,2688.6836776667437,2893.7411293587847,2745.2666639869394,2812.5120500333496,2806.056664603669,2713.050584461053,2904.207599810676,2746.00519524994,2663.0358516057795
2956.251452485271,2907.0427632268165,3053.830824528296,2893.2873600780686,2944.6694537200588,2961.563291503081,2866.34768083692,2907.0147909080138,2873.407892261444,2927.23506340458,2984.633616472122,2998.952065613272,2827.9155300422894,2919.9883863266177,2827.151812553163,2802.4259812563037,2846.869793542322,2791.4527108742886,2631.564713773201,2917.2631866746974,2866.3502658603,2926.8080001990434,2968.6762054295596,2892.358193635974,2957.206671343028,2742.43192556457,2823.1008344061815,2681.0487359379395,2863.716097015125,2917.177253044693,2798.2238903876264,2882.83059798356,2817.090814848304,2862.5411330836314,2804.441252946931,2894.4352599061667,2923.582481708865,2971.84705178335,2808.456519873957,2818.232240684607,2827.0155107727055,2936.824377472168,2898.947896897473,2816.480382384481,2852.751620045957,2771.5846115293625,2865.430676240684,2750.452223350228,2759.6538727862626,2974.3078347149303,2846.9976991490807,2821.856118696718,2704.9632144129923,2928.0080614055287,2800.66332647109,2888.3767909808744,2897.7523437039954,2788.860481603594,2923.037487249826,2806.1951850971172,2834.697294262998
3027.4537790267873,2908.5156720966356,3072.552481376281,2896.207774139387,2976.67179273509,3050.960683720545,2919.973359117491,2917.94594925839,2843.5826901035507,2942.529347070731,2997.3232920108812,2986.447499420466,2837.624502001708,2970.132734766612,2923.705529755151,2850.182492961045,2872.5727681222925,2834.9759104631817,2663.2333579258884,2854.351220414803,2869.7408519971877,2903.079786508451,2980.096757693447,2868.7522455379008,2958.1377307649973,2752.110209029618,2802.0696880525365,2681.0384705853185,2870.426959803502,2934.702037777253,2801.347118634762,2917.044885744774,2866.756710757129,2895.076007375047,2858.867772355831,2974.6672509105124,2992.788440002423,3020.131241705668,2897.298085680215,2822.3518888029757,2879.594419720936,2967.621283603527,2933.92133550568,2850.7443394658503,2950.566125379769,2891.1802694847233,2967.4994062771652,2879.2215034438145,2898.758281228099,3066.735112299107,2915.9761841045192,2962.25218866964,2741.5307476945236,2950.1978355078,2808.038582856249,2882.8873303414493,2885.883285637303,2808.211967643425,2926.2230975078387,2801.0988323339875,2840.8761458580293
2767.392539889763,2657.8875624043826,2758.8839854216794,2664.727559156654,2686.7185640852467,2800.682647960783,2653.4979451556455,2669.4043446381534,2633.7949839847415,2653.4978770238417,2741.103156447582,2717.7761916192258,2578.775163286673,2689.8437718617124,2634.823475459616,2626.4764729517215,2637.9914035325432,2560.6533530706083,2419.437755833821,2647.851971017437,2648.719007831918,2724.0739430238855,2785.537845364429,2620.460607031151,2766.2024862056264,2515.542091091328,2639.6096155741766,2490.6443327888046,2719.710803476068,2765.174887785994,2622.7983789455134,2754.6849081126184,2677.3751503860053,2687.6459853319657,2684.310553476924,2745.645023761231,2738.7777081135882,2793.7456098382245,2637.70185127607,2633.0703251655914,2630.129907594445,2755.1073748586396,2734.357796350665,2604.3537044549207,2734.6849013295723,2680.528986997064,2728.406489124741,2657.393193184448,2637.706658320515,2876.202853299658,2726.0363382986843,2743.348026961547,2622.3931029946375,2839.792876262213,2691.0846275177287,2761.6373585913066,2818.671837476088,2701.2154493867033,2876.5650406742,2727.011637010884,2679.563164323776
2823.090896278719,2733.849712649295,2860.002640163119,2712.765774717163,2739.445056334829,2831.956958964431,2694.796073263748,2732.442669115745,2668.4551615871983,2723.270833006528,2800.721840186073,2767.1066602336255,2652.6023845470077,2781.660032980707,2678.3185915990484,2545.2631993105592,2668.323066813935,2620.9771935471695,2514.187690619941,2695.659560583041,2683.0105555331925,2782.9418105931063,2880.311936631743,2722.3460883624643,2832.7172849339236,2583.312338301752,2701.7776421399353,2586.7623682121693,2772.555704275483,2832.931508428783,2693.1449713367683,2781.430926354371,2644.696094282856,2714.6043351264707,2721.214178165803,2778.0632158179537,2814.740569590295,2849.0252511320423,2687.954307787388,2689.0449993500356,2698.2895745099313,2811.343362262749,2737.3336868708066,2625.830837662235,2733.107440189837,2652.400798631674,2732.532798023985,2669.1032815352787,2637.043185874602,2860.5362189547636,2696.8945288290984,2621.3693634164492,2615.444856686142,2831.188117656741,2661.2428789907626,2762.7030696453903,2784.368004560454,2677.380700559411,2801.100775235768,2706.1120705997296,2670.0814848108457
2752.872040238377,2654.701016158293,2785.047623248533,2689.967122251065,2716.875945340088,2794.776752680963,2658.28608789953,2685.9195685271507,2620.378180210604,2639.388299423506,2759.383213708776,2700.5902266546855,2543.835912051843,2661.9386460882156,2613.7895323730622,2584.651040902017,2614.3087156928204,2536.7928586882267,2374.66125108985,2604.125971239013,2609.5888896541023,2678.30387810459,2760.406657010581,2582.6288792804135,2713.06813831506,2495.7093015796804,2610.9395411912237,2421.029633901651,2667.8695540976128,2696.7876528340876,2545.01046689472,2701.216276217185,2574.901138338025,2578.4337441147686,2572.2837647802326,2611.4164582872263,2639.06776348714,2708.6041400742747,2564.4307551657475,2581.0643869719343,2554.1702388735125,2680.619117575166,2675.1793979088125,2513.9909785851705,2665.365880420155,2596.1481404061856,2647.7810625212396,2579.6337890576547,2555.562429388859,2856.6905911925237,2683.3195691466444,2705.2557971474403,2590.9909603182346,2788.1261829015552,2614.0879684810516,2683.4080285332957,2755.8458077386285,2653.241401161468,2833.9864746272124,2682.8138255784393,2638.038387295682
