"","FIPS","TO_WTotl","TO_WSWTo","TO_WGWTo","PS_WTotl","PS_WSWTo","PS_WGWTo","DO_WFrTo","DO_WSWFr","DO_WGWFr","IR_WFrTo","IR_WSWFr","IR_WGWFr","LI_WFrTo","LI_WSWFr","LI_WGWFr","IN_Wtotl","IN_WGWTo","IN_WSWTo","MI_Wtotl","MI_WSWTo","MI_WGWTo","PT_Wtotl","PT_WSWTo","PT_WGWTo"
"1",1001,76810.7,51396.1,25414.6,7038.1,0,7038.1,511.6,0,511.6,4065.2,83,3982.3,207.4,124.4,83,56733.5,13675.2,43058.2,179.8,55.3,124.4,8075.1,8075.1,0
"2",1003,88992.6,9692.9,79299.6,31761.3,0,31761.3,2364.5,0,2364.5,53871.2,9209,44662.2,484,262.7,221.2,0,0,0,290.4,0,290.4,0,0,0
"3",1005,15279.2,6001.1,9278.1,5738.3,0,5738.3,207.4,0,207.4,3000.5,2364.5,636.1,525.4,318,207.4,2184.7,2184.7,0,262.7,83,179.8,0,0,0
"4",1007,10522.6,2143.2,8379.3,6761.6,0,6761.6,207.4,0,207.4,954.1,83,871.1,96.8,55.3,41.5,0,0,0,497.8,0,497.8,0,0,0
"5",1009,78926.3,73340.1,5586.2,5351.6,72137.1,3373.9,1230.6,0,1230.6,663.7,497.8,165.9,1355.1,705.2,649.9,0,0,0,165.9,0,165.9,0,0,0
"6",1011,4410.9,594.6,3816.3,3180.3,0,3180.3,110.6,0,110.6,843.5,442.5,401,193.6,124.4,69.1,0,0,0,83,27.7,55.3,0,0,0
"7",1013,6249.9,1092.4,5157.6,3733.4,0,3733.4,387.2,0,387.2,470.1,442.5,27.7,553.1,331.9,221.2,414.8,414.8,0,0,0,0,0,0,0
"8",1015,40527.8,9402.6,31125.3,32217.6,3415.3,28802.3,705.2,0,705.2,5655.4,5655.4,0,442.5,262.7,179.8,1341.2,1341.2,0,138.3,41.5,96.8,0,0,0
"9",1017,7466.7,6153.2,1313.6,5959.6,5959.6,0,981.7,0,981.7,276.5,41.5,235.1,248.9,152.1,96.8,0,0,0,0,0,0,0,0,0
"10",1019,7660.3,3277.1,4383.3,4825.7,1327.4,3498.3,719,0,719,1714.6,1714.6,0,387.2,235.1,152.1,0,0,0,13.8,0,13.8,0,0,0
"11",1021,10121.6,2724,7397.6,6761.6,2530.4,4231.2,1023.2,0,1023.2,1590.1,41.5,1548.7,248.9,152.1,96.8,484,484,0,13.8,0,13.8,0,0,0
"12",1023,59305.3,56512.2,2793.1,1880.5,0,1880.5,857.3,0,857.3,41.5,41.5,0,124.4,69.1,55.3,56360.1,0,56360.1,0,0,0,0,0,0
"13",1025,33614.2,29383,4231.2,4355.6,1244.5,3111.1,525.4,0,525.4,96.8,69.1,27.7,110.6,69.1,41.5,27958.8,0,27958.8,484,0,484,0,0,0
"14",1027,3470.7,2627.2,843.5,2295.3,2295.3,0,663.7,0,663.7,83,83,0,414.8,235.1,179.8,0,0,0,0,0,0,0,0,0
"15",1029,2475.1,1216.8,1258.3,774.3,774.3,0,1064.7,0,1064.7,221.2,221.2,0,414.8,221.2,193.6,0,0,0,0,0,0,0,0,0
"16",1031,20270.8,5102.3,15168.6,10508.8,0,10508.8,995.6,0,995.6,5074.6,4106.7,967.9,1106.2,636.1,470.1,1562.5,1562.5,0,0,0,0,0,0,0
"17",1033,1858832.9,1855970.7,2862.3,12154.2,11366,788.2,373.3,0,373.3,3028.2,1797.6,1230.6,401,221.2,179.8,96445.5,290.4,96155.1,1009.4,1009.4,0,1745421.3,1745421.3,0
"18",1035,3318.6,276.5,3042,2336.8,0,2336.8,442.5,0,442.5,124.4,41.5,83,221.2,138.3,83,0,0,0,0,0,0,0,0,0
"19",1037,1285.9,124.4,1161.5,414.8,0,414.8,594.6,0,594.6,41.5,27.7,13.8,69.1,41.5,27.7,0,0,0,165.9,55.3,110.6,0,0,0
"20",1039,14269.8,4563,9706.8,6844.5,0,6844.5,1216.8,0,1216.8,2710.2,1617.8,1092.4,815.8,470.1,345.7,69.1,69.1,0,69.1,0,69.1,2406,2406,0
"21",1041,4369.4,884.9,3484.5,2834.6,0,2834.6,262.7,0,262.7,345.7,345.7,0,926.4,539.3,387.2,0,0,0,0,0,0,0,0,0
"22",1043,52377.9,47842.5,4535.4,42933.8,42270.1,663.7,331.9,0,331.9,3111.1,1617.8,1493.3,2834.6,1396.6,1438,3125,594.6,2530.4,41.5,27.7,13.8,0,0,0
"23",1045,14173,2226.2,11946.8,9471.7,0,9471.7,954.1,0,954.1,2986.7,1783.7,1203,580.7,331.9,248.9,0,0,0,110.6,41.5,69.1,0,0,0
"24",1047,67919.7,50718.6,17201.2,8158.1,0,8158.1,884.9,0,884.9,3346.2,2834.6,511.6,414.8,248.9,165.9,44703.7,193.6,44510.1,539.3,165.9,373.3,0,0,0
"25",1049,16509.8,10923.6,5586.2,9831.2,8711.2,1120,1825.2,0,1825.2,802,663.7,138.3,2848.4,1507.2,1341.2,1064.7,1064.7,0,138.3,41.5,96.8,0,0,0
"26",1051,22151.4,15320.7,6830.7,18459.5,13343.4,5116.1,580.7,0,580.7,2157.1,1576.3,580.7,235.1,124.4,110.6,0,0,0,649.9,207.4,442.5,0,0,0
"27",1053,62513.3,47828.7,14684.6,7853.9,0,7853.9,871.1,0,871.1,4175.8,1161.5,3014.4,193.6,110.6,83,48575.3,2032.6,46542.7,802,0,802,0,0,0
"28",1055,202293.5,194785.3,7508.2,28166.2,21681.2,6485,428.6,0,428.6,926.4,926.4,0,580.7,318,262.7,12735,0,12735,484,152.1,331.9,158543.9,158543.9,0
"29",1057,6429.7,5517.1,912.6,2806.9,2737.8,69.1,719,0,719,235.1,235.1,0,221.2,124.4,96.8,1521,0,1521,871.1,871.1,0,0,0,0
"30",1059,8891,5821.3,3069.7,6319.1,4825.7,1493.3,705.2,0,705.2,207.4,207.4,0,1037,594.6,442.5,0,0,0,622.2,193.6,428.6,0,0,0
"31",1061,10301.3,3387.7,6913.7,2765.5,0,2765.5,1050.9,0,1050.9,5060.8,2682.5,2378.3,1106.2,622.2,484,0,0,0,138.3,41.5,96.8,0,0,0
"32",1063,506577.3,496414.3,10163.1,1521,0,1521,484,0,484,165.9,55.3,110.6,290.4,179.8,110.6,41.5,41.5,0,0,0,0,490468.5,490468.5,0
"33",1065,28000.3,8683.6,19316.8,2364.5,0,2364.5,276.5,0,276.5,124.4,83,41.5,401,221.2,179.8,27.7,27.7,0,152.1,0,152.1,0,0,0
"34",1067,8973.9,3982.3,4991.7,2502.7,0,2502.7,359.5,0,359.5,4977.8,3747.2,1230.6,387.2,235.1,152.1,746.7,746.7,0,0,0,0,0,0,0
"35",1069,163217.6,126658.2,36559.4,23216.1,0,23216.1,1894.3,0,1894.3,13924.1,2903.7,11020.4,470.1,276.5,193.6,235.1,235.1,0,0,0,0,123477.9,123477.9,0
"36",1071,1476010,1472608.5,3401.5,15721.7,14795.2,926.4,1133.8,0,1133.8,1576.3,760.5,815.8,981.7,539.3,442.5,12320.1,0,12320.1,124.4,41.5,83,1444151.9,1444151.9,0
"37",1073,112457.5,98201.6,14256,166368.9,93209.9,11684.1,636.1,0,636.1,3429.2,3415.3,13.8,96.8,55.3,41.5,691.4,691.4,0,2074.1,898.8,1175.3,0,0,0
"38",1075,2876.1,193.6,2682.5,2087.9,0,2087.9,373.3,0,373.3,124.4,124.4,0,138.3,69.1,69.1,152.1,152.1,0,0,0,0,0,0,0
"39",1077,24197.8,17809.6,6388.2,16661.9,15085.6,1576.3,1645.4,0,1645.4,5226.7,2350.6,2876.1,636.1,373.3,262.7,0,0,0,0,0,0,0,0,0
"40",1079,100676.6,98436.6,2240,10633.2,10633.2,0,525.4,0,525.4,5351.2,4134.4,1216.8,967.9,553.1,414.8,83116,0,83116,13.8,0,13.8,0,0,0
"41",1081,25151.9,22165.2,2986.7,22082.2,20561.2,1521,1064.7,0,1064.7,1479.5,1382.7,96.8,138.3,83,55.3,0,0,0,318,96.8,221.2,0,0,0
"42",1083,3794545.7,3785544.1,9001.6,14961.1,11227.8,3733.4,940.3,0,940.3,10508.8,6650.9,3857.8,511.6,290.4,221.2,0,0,0,96.8,96.8,0,3767070.9,3767070.9,0
"43",1085,6153.2,3761,2392.1,1562.5,0,1562.5,83,0,83,3042,3042,0,788.2,470.1,318,0,0,0,636.1,207.4,428.6,0,0,0
"44",1087,9872.7,6637.1,3235.6,5641.5,4314.1,1327.4,276.5,0,276.5,2972.9,1949.7,1023.2,152.1,96.8,55.3,0,0,0,829.6,276.5,553.1,0,0,0
"45",1089,109415.5,60176.5,49239.1,94592.6,54991.2,39601.4,1078.5,0,1078.5,11628.8,3664.2,7964.5,401,235.1,165.9,1092.4,0,1092.4,622.2,193.6,428.6,0,0,0
"46",1091,34637.4,27806.7,6830.7,3443,0,3443,719,0,719,207.4,193.6,13.8,401,248.9,152.1,25884.7,276.5,25608.2,331.9,110.6,221.2,0,0,0
"47",1093,9651.5,7190.2,2461.3,7646.5,6678.6,967.9,1050.9,0,1050.9,235.1,83,152.1,594.6,345.7,248.9,0,0,0,124.4,83,41.5,0,0,0
"48",1095,42104.2,33157.9,8946.3,45520.3,30821.1,6014.9,663.7,0,663.7,2613.4,1438,1175.3,1631.6,815.8,815.8,110.6,110.6,0,248.9,83,165.9,0,0,0
"49",1097,1516482.6,1468128.5,48354.1,118928.7,97136.9,21791.8,3622.8,0,3622.8,14767.6,1880.5,12887.1,401,221.2,179.8,10688.5,9720.6,967.9,152.1,0,152.1,1367922,1367922,0
"50",1099,69993.8,64283.2,5710.7,3664.2,0,3664.2,649.9,0,649.9,760.5,83,677.5,248.9,152.1,96.8,64172.5,165.9,64006.6,414.8,0,414.8,0,0,0
"51",1101,52032.2,29535.1,22497,46169.4,26921.8,19247.6,470.1,0,470.1,2060.3,1244.5,815.8,815.8,484,331.9,69.1,55.3,13.8,1991.1,636.1,1355.1,0,0,0
"52",1103,170960.9,168955.9,2005,46155.6,46155.6,0,387.2,0,387.2,1451.9,636.1,815.8,926.4,511.6,414.8,112568.1,0,112568.1,525.4,165.9,359.5,8891,8891,0
"53",1105,14975,5710.7,9264.3,2350.6,0,2350.6,414.8,0,414.8,83,27.7,55.3,248.9,138.3,110.6,0,0,0,0,0,0,0,0,0
"54",1107,8531.5,3083.5,5448,3733.4,0,3733.4,580.7,0,580.7,1949.7,1949.7,0,871.1,442.5,428.6,13.8,13.8,0,0,0,0,0,0,0
"55",1109,10785.3,2447.4,8337.9,6955.1,0,6955.1,456.3,0,456.3,2571.9,1977.3,594.6,802,470.1,331.9,0,0,0,0,0,0,0,0,0
"56",1111,3954.6,2544.2,1410.4,2101.8,2101.8,0,995.6,0,995.6,138.3,83,55.3,594.6,318,276.5,0,0,0,124.4,41.5,83,0,0,0
"57",1113,56249.5,52018.3,4231.2,12168,10121.6,2046.4,318,0,318,3346.2,3346.2,0,138.3,83,55.3,39477,1272.1,38204.9,802,262.7,539.3,0,0,0
"58",1115,24985.9,8877.1,16108.8,13716.7,428.6,13288,815.8,0,815.8,2903.7,1673.1,1230.6,497.8,290.4,207.4,6153.2,0,6153.2,843.5,276.5,566.9,0,0,0
