"iter","DOWNSTREAM_FACTOR","LOSSFACTOR_DIST","LOSSFACTOR_DISTTAS","CANAL_FACTOR","lognse","logkge","logrmse","nse","kge","rmse","lognse.yearly","logkge.yearly","logrmse.yearly","nse.yearly","kge.yearly","rmse.yearly"
0,0.99,0,0,1.01010101010101,-0.850489284107999,-0.0755923822372105,1.60457081433977,-0.802359855434605,-0.327247423317277,17039.623345963,-4.8212327555737,-0.73478949432838,0.867378683260042,-5.46524803473833,-0.833189121685669,106614.732430085
1,0.981758651836991,-3.61499923422739e-07,-2.77352414029364e-08,1.00500681586865,-0.780938670165945,-0.0584006736474858,1.57074335945036,-0.766025887253833,-0.308363731871738,16936.9526744962,-4.64445683017477,-0.732882466829258,0.862031168369872,-5.28736507023678,-0.828985924605563,105751.634760487
2,0.980318879537698,-2.16318021996578e-07,-5.50017469602571e-08,1.0032208419583,-0.770932374889688,-0.0505284223117634,1.56945536152565,-0.755737343928571,-0.303702006803231,16893.1062712828,-4.68571834254391,-0.722282072904903,0.862638381637876,-5.21623520733081,-0.821950439957716,105643.607488341
3,0.990675706454026,-9.7284138279621e-07,-4.7842151346387e-08,1.01569515574232,-0.887955071782205,-0.0609192259178042,1.60754386935629,-0.735258750290386,-0.309613209456499,16879.745284157,-4.99430133434918,-0.725582322698282,0.869485540950464,-5.17484534287119,-0.811435581559631,105123.861383635
4,1,-9.54369022784492e-07,0,1,-0.676442599123959,-0.0421165213844699,1.52436061354761,-0.760447656438317,-0.288130588118878,17016.1256896013,-4.29971338124912,-0.73120850465468,0.85360603972278,-5.30540968575741,-0.827386596778915,106281.699184717
5,1,-4.20795391941394e-07,-4.18851067803669e-08,1.01060126204646,-0.845630985173291,-0.061252657109219,1.58665330566885,-0.755037545504617,-0.320478671420498,16887.643030119,-4.86472468483667,-0.729015101879654,0.869468009112826,-5.226981144608,-0.815873338093421,105643.607488341
6,0.98885485071026,-7.12956602587037e-07,-7.49371848873442e-08,1.01448764517421,-0.87961003759368,-0.0621031540659753,1.59578236569096,-0.731911048365458,-0.303590468100188,16860.0421727113,-4.94564961032128,-0.723401896125041,0.865893687454196,-5.17484534287119,-0.807674034513507,105166.111507084
7,0.990769842092258,-1.29161403394167e-06,0,1.00032278280342,-0.733909867125061,-0.037673247909666,1.53682691496,-0.745185803820561,-0.28070828559757,16912.9011479616,-4.53148219593615,-0.723755853707064,0.858062270404795,-5.2208126472814,-0.81733617881424,105596.4447359
8,0.991125792656766,-2.59571493495567e-07,-2.62553638732313e-09,1,-0.674872713981123,-0.0506042833737028,1.53354321439577,-0.785475857497845,-0.296620217011105,17115.9902736301,-4.29025233934638,-0.729015101879654,0.851409665365867,-5.43611625442062,-0.829902731931133,106924.742692215
9,1,-1.02447323690758e-06,0,1,-0.679722877100605,-0.041659238354923,1.52240076077953,-0.756288438304481,-0.286192918218137,17016.4362948645,-4.3029175015244,-0.731730419749347,0.852080099157128,-5.30172859717001,-0.825254896580144,106056.400616863
10,0.981312034673385,0,-4.2107256427715e-08,1.01963363292937,-0.949901078048478,-0.0858679480158462,1.65731320150836,-0.772011155834985,-0.332109072407431,16919.0105496278,-5.16358387834801,-0.742367776061782,0.878244738273393,-5.32763219797963,-0.822389625586262,105927.569244977
11,0.982037108241854,-1.06244836375572e-06,0,1.01931391268029,-0.910504505045228,-0.0695479716847386,1.62854524328094,-0.749881518185766,-0.326032221681801,16862.5048582017,-5.08483717471098,-0.73592577903279,0.877240751289952,-5.23401669196821,-0.822294501084348,105550.822378407
12,0.987879534138712,-1.12903170303096e-06,-5.93871276632344e-09,1.0182203597095,-0.896617509052961,-0.0655914587754529,1.61767546117842,-0.744650492151936,-0.320061602249579,16869.1812181583,-5.027610988298,-0.732904237773655,0.873915826574816,-5.22983151826072,-0.818347651541136,105510.07829238
13,0.990195972637625,-8.12431917356642e-07,-2.59080669665525e-08,1.00481623142246,-0.791323466078721,-0.0517213091297521,1.57295035722353,-0.747185752569929,-0.305795680085586,16883.5602369929,-4.67086932474008,-0.723757597460062,0.863570811659435,-5.21616484894337,-0.814826411335637,105529.257747986
14,0.990197951921383,-1.58653988594087e-06,-4.83414710976538e-08,1.01451863111295,-0.90770916624872,-0.0462401068130456,1.57279651141017,-0.719157278791246,-0.276238289388034,16810.2467452449,-5.13377539682814,-0.718388711464331,0.869903184753169,-5.06544406875468,-0.807420355966462,104848.111446762
15,0.995332236385743,-6.09059206090497e-07,-4.69607924995106e-08,1.00084296559699,-0.742920777371411,-0.0407752162741676,1.53693664516499,-0.744319412934665,-0.285276367929944,16867.0977431747,-4.52455025052906,-0.720654908774608,0.854748744300178,-5.19807423328183,-0.818687673655865,105481.623269984
16,0.982492453095356,-4.93980270597821e-07,0,1.02578547742031,-1.01228112111958,-0.095021973491809,1.67660804375777,-0.777456868577604,-0.333067679959032,16941.8142491364,-5.15797214030701,-0.741177197393782,0.879874227325047,-5.360312525585,-0.818039046204023,105884.679396755
17,0.978893673302301,-3.30046243219582e-07,-3.62805883802536e-08,1.00959719609159,-0.83324104528248,-0.0616002303724084,1.58412594825891,-0.761029454809671,-0.318369231747902,16902.0020454484,-4.86782888268657,-0.731158604355125,0.869841448700598,-5.24805865548737,-0.821378370303346,105999.829074484
18,0.991714401114204,-8.48880367284883e-07,0,1.00869617989435,-0.834899111242666,-0.0640626796610597,1.59215790053051,-0.76075131411174,-0.315635335168824,16885.9758656617,-4.77413483516671,-0.734220658073165,0.869108785265283,-5.26394564432404,-0.820967256266021,105735.505363495
19,0.993495526585838,-3.98027442413619e-07,-2.46824734956057e-08,1.00787845069796,-0.832946772888516,-0.0631365351195664,1.59680010133638,-0.766823512537174,-0.314160085571937,16953.1269813898,-4.74640600943577,-0.733087925475795,0.867117123315434,-5.27870418514399,-0.825120475638219,105735.505363495
20,0.986242913529735,0,-5.42207426322432e-08,1,-0.672927712663516,-0.0473650224982876,1.52388062917015,-0.764835104735003,-0.290344059321316,17021.9755661643,-4.26091372121674,-0.731041482690096,0.851052920174442,-5.325944075543,-0.827108220790766,106674.164386973
21,0.98613297244822,0,-8.57444657713399e-09,1.01430073874619,-0.907934915738706,-0.078910165112882,1.63156395908963,-0.795458203230789,-0.330599927550177,17021.1592391629,-4.99236134154673,-0.733267575627956,0.872473589215715,-5.43611625442062,-0.829413341874544,106110.350493372
22,0.991070770270012,-9.66054671878212e-07,-2.65120702709351e-09,1.01401512257349,-0.838665798094153,-0.0584006736474858,1.59476855714478,-0.754750897050567,-0.318784682308034,16882.0510413922,-4.9575048365414,-0.73889082908508,0.873722539197614,-5.25076414932279,-0.82006514724286,105735.505363495
23,0.980909340383102,-6.1273266852081e-07,-2.72553807816279e-08,1.00626084822565,-0.808816671963118,-0.0562997241788348,1.5792527708588,-0.754335730005572,-0.311388882858578,16871.0252089333,-4.79297138529412,-0.730916289722426,0.867776597265915,-5.22327435297134,-0.817869973409252,105992.364210535
24,0.974375161783331,-8.81267275249148e-07,-3.12753090378562e-08,1.00143458014397,-0.741662748931253,-0.0363278865799391,1.54106215240339,-0.744119800859883,-0.287211273556229,16885.5722366008,-4.56257576357103,-0.721290302568997,0.857380076066437,-5.19602152673354,-0.814231419710118,105550.822378407
25,0.988357022936846,-6.80069767399879e-07,-1.93686650785332e-08,1.01531835818675,-0.879001528633265,-0.0689328519330773,1.60849630402535,-0.756931679386616,-0.321972284779761,16886.6048449281,-4.90203368253083,-0.733038934324285,0.870714123480147,-5.23642632904284,-0.81678262184158,105986.920390621
26,0.977643301791129,-3.28708811213532e-07,-2.5643837637825e-08,1.0109706564617,-0.862099879885347,-0.0758430492284781,1.61800712034651,-0.76731978761642,-0.324062543658627,16935.3788284233,-4.78867500142512,-0.733177098212038,0.868015901701678,-5.28108861783951,-0.822625554165686,105900.842183569
27,0.980778524087453,-5.41210917629979e-07,-3.01336509719993e-08,1.01602048993088,-0.895056442771169,-0.0678921313572443,1.61508759627423,-0.757155913992283,-0.326990887682719,16875.5601373822,-4.99538533150794,-0.729580799809151,0.873735143896353,-5.24017665224562,-0.818528522228704,105837.83570214
28,0.9818084274877,-1.55650165429002e-06,-2.87667168296522e-08,1.00583049197395,-0.785049953370987,-0.039658773537394,1.549615058281,-0.727549102663818,-0.284770021346086,16884.9142298338,-4.72678776832796,-0.718716250993404,0.858636684380887,-5.18236982625853,-0.806597118773151,105120.436704994
29,0.992485875029298,-8.80324374351273e-07,-2.74792686561288e-08,1.00483706066162,-0.797271289369231,-0.0487982160652056,1.56797413549586,-0.745279631968901,-0.300141104526077,16885.6539792635,-4.69997162623766,-0.724284872258562,0.86299840769493,-5.19610074027894,-0.820038404619311,105480.995181861
30,0.967857631047577,-3.15717007976872e-07,-8.51303637765633e-09,1.00981319824035,-0.855181329261903,-0.0759614571453148,1.61275473600405,-0.779857258082713,-0.319800044401809,16965.493175384,-4.83360207764053,-0.734406488762287,0.869112147504379,-5.37633999492606,-0.826019962276321,105849.180501517
