node,outnode
junction.21535-dn,usgs.05090000
junction.13636-up,usgs.01185500
junction.13622-up,junction.13782-dn
junction.594-dn,junction.573-dn
usgs.11046250,usgs.11046360
junction.6079-dn,junction.4903-dn
junction.6079-dn,junction.4736-dn
usgs.02187500,reservoir.2133
usgs.02187500,usgs.02181580
junction.10510-dn,usgs.01608500
junction.16011-dn,junction.15946-dn
junction.11370-dn,usgs.10346000
junction.20922-dn,junction.20784-dn
junction.1394-dn,usgs.02231000
reservoir.1250,junction.13843-dn
junction.23-dn,canal.02290769
junction.181-dn,canal.02281500
junction.3429-dn,junction.3638-up
junction.8294-dn,usgs.01668800
junction.8806-dn,junction.8806-up
junction.52-dn,canal.02290710
usgs.09400350,junction.5839-up
junction.8226-dn,usgs.01669000
junction.10437-up,usgs.01618000
usgs.07040100,usgs.07040000
reservoir.2363,junction.3845-dn
junction.19113-dn,usgs.13317000
reservoir.1642,reservoir.1607
junction.14147-up,usgs.05422000
junction.18085-dn,junction.17992-dn
junction.13393-dn,junction.12874-up
junction.13393-dn,junction.14632-dn
junction.17421-dn,usgs.04213000
junction.17421-dn,usgs.04086000
junction.17421-dn,usgs.04260500
junction.17421-dn,junction.14277-dn
junction.17421-dn,usgs.05536118
junction.17421-dn,junction.21212-dn
junction.17421-dn,usgs.04213075
junction.17421-dn,usgs.04096100
reservoir.1306,usgs.01529950
reservoir.383,junction.17421-dn
junction.16631-dn,reservoir.584
usgs.07307028,junction.5153-up
junction.1116-up,junction.1152-up
usgs.03180000,usgs.03176500
junction.120-dn,canal.02286200
usgs.01154500,usgs.01154000
junction.128-up,junction.137-up
junction.13636-dn,junction.13636-up
junction.20738-dn,usgs.12113350
junction.6045-dn,junction.6045-up
junction.1297-dn,junction.1344-dn
junction.18806-dn,junction.18775-dn
usgs.07156900,junction.7081-dn
usgs.07156900,junction.7531-up
junction.10474-dn,usgs.01483155
junction.6486-dn,junction.6874-up
junction.4498-dn,usgs.11119780
junction.16017-up,usgs.05389000
reservoir.13,reservoir.42
junction.10630-dn,junction.10510-dn
usgs.06336500,junction.22007-up
usgs.06336500,junction.21752-up
usgs.06336500,junction.17670-dn
junction.3171-up,junction.3971-dn
junction.3171-up,usgs.07344210
junction.3122-dn,reservoir.2255
junction.2850-dn,usgs.11023000
junction.21826-dn,usgs.12202420
junction.14878-dn,usgs.01105583
usgs.01446500,junction.13622-up
usgs.01446500,junction.12961-up
junction.21330-dn,reservoir.130
junction.16090-dn,junction.16004-dn
usgs.12158040,usgs.12157250
usgs.01603000,reservoir.1413
usgs.01603000,reservoir.1396
junction.21239-dn,usgs.12045500
junction.21580-dn,junction.22052-up
junction.13312-up,usgs.05466500
junction.13312-up,junction.16539-up
junction.6748-dn,junction.6748-up
usgs.02341505,reservoir.2421
junction.2552-up,usgs.02341505
junction.212-dn,junction.206-dn
junction.5784-dn,junction.6610-up
junction.14688-dn,usgs.01105730
usgs.04063000,reservoir.474
junction.13122-up,usgs.09258000
junction.17227-dn,junction.16927-dn
junction.4513-dn,usgs.11120520
junction.16158-up,usgs.01151500
junction.1298-dn,usgs.02327033
junction.21261-dn,usgs.12158010
reservoir.1583,junction.12364-up
reservoir.1583,canal.06852500
usgsres.05113750,junction.22197-up
junction.21212-up,reservoir.172
usgs.02479560,reservoir.2593
junction.5323-dn,junction.5323-up
junction.20476-dn,usgs.12076800
junction.1465-dn,usgs.02471078
junction.21342-dn,junction.21330-dn
junction.14447-dn,reservoir.1173
junction.10842-dn,reservoir.1306
junction.1487-dn,junction.1487-up
reservoir.1089,junction.15303-dn
junction.18474-dn,junction.18956-up
junction.12997-dn,usgs.01376800
junction.21775-dn,junction.21603-dn
junction.128-dn,junction.128-up
junction.15215-dn,usgs.01102345
junction.14221-dn,junction.14234-up
usgs.05379500,junction.18797-dn
junction.953-dn,usgs.02317500
