Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ST
0.07451137533574147,0.0673005970774439,0.07451137533574147,0.09484293243848382,0.11596958977813886,0.09445403404476678,0.09201251856264347,0.09201251856264347,0.08904437280255813,0.09201251856264347,0.05427296714119266,0.059055200358002526,"[""AZ""]"
0.09259215485227246,0.08554256202559861,0.09470783652834129,0.09467311911159992,0.12543579459881715,0.13606558281402817,0.07855215576100878,0.07693392661570879,0.07273376773735647,0.05341591724074031,0.030411780612013682,0.05893540210251432,"[""CA""]"
0.07797530494887252,0.07042930769575581,0.07797530494887252,0.07570667483024922,0.0929727251065091,0.09716191011685867,0.0920536421407918,0.08117327775645002,0.0858946653760311,0.09522190959957016,0.07545997253116693,0.07797530494887252,"[""CO""]"
0.08112675644624358,0.07327578001596197,0.08112675644624358,0.08123257825760764,0.09461134168698031,0.10126171230741512,0.10487596038520264,0.08354005512107998,0.06058289729604833,0.07872964128815681,0.07850976430281635,0.08112675644624358,"[""ID""]"
0.017625860896457807,0.015920132422607054,0.017625860896457807,0.017057284738507553,0.06282251641325047,0.1554737200392432,0.179835935351704,0.17575331905960126,0.17043028169834973,0.14564495510506226,0.02418427248230106,0.017625860896457807,"[""MD""]"
0.023797564500884733,0.021494574387895888,0.023797564500884733,0.023058074410954272,0.07054868441638072,0.17052857457073117,0.17458308910541045,0.1671833746944823,0.1609997503550731,0.11718128342652934,0.023029901129888456,0.023797564500884733,"[""MN""]"
0.08644068474723425,0.07807545719105029,0.08644068474723425,0.08374429488945186,0.09170896313114062,0.09346128011632894,0.09549454553232943,0.0761044615745435,0.0519284749367274,0.08650819282488595,0.0836522755618396,0.08644068474723425,"[""MT""]"
0.06094179105877309,0.055044198375666015,0.06094179105877309,0.05897592683107073,0.08649255796195293,0.14172742580308909,0.13306361413521034,0.10192884817830611,0.10156677348443786,0.07939935522287694,0.05897592683107073,0.06094179105877309,"[""ND""]"
0.08953925093822629,0.08087416213775274,0.08966051566526424,0.08744281085327398,0.09069587680911319,0.08777020336365789,0.09069587680911319,0.06980187548647811,0.06064870989249968,0.07902963253362309,0.08545645405627912,0.08838463145471885,"[""OR""]"
0.04685316807139046,0.04231899051609462,0.04685316807139046,0.045341775552958506,0.07441378067679547,0.13129385626127751,0.13884737955347318,0.12778022967224942,0.1206928436698068,0.12816400395089206,0.050587635932281196,0.04685316807139046,"[""PA""]"
0.08533954928171537,0.07708088322219458,0.08533954928171537,0.08258666059520837,0.08533954928171537,0.08258666059520837,0.08533954928171537,0.08280633570578741,0.08031550359610054,0.08533954928171537,0.08258666059520837,0.08533954928171537,"[""UT""]"
0.06279794197142258,0.056720721780639714,0.06279794197142258,0.06077220190782828,0.0866580116353027,0.11223724793459275,0.1128960722660751,0.1128629071666568,0.10922216822579678,0.09305019669103884,0.06718664647780156,0.06279794197142258,"[""VA""]"
0.08618817463831034,0.07784738354428032,0.08618817463831034,0.08469970019356518,0.09113982180234505,0.09029560244137036,0.09330545585608276,0.0715363462491049,0.05923851547409515,0.08973585685994832,0.08363679366427695,0.08618817463831034,"[""WA""]"
0.08138100916905036,0.07350542763656163,0.08138100916905036,0.07979860969437638,0.08764762787400797,0.09022764835285313,0.09111193037808334,0.08510631135215213,0.0831902639950659,0.08651333788486108,0.0787558153248874,0.08138100916905036,"[""WY""]"
0.010967782368391573,0.009906384074676255,0.010967782368391573,0.01061398293715312,0.0955705283328789,0.18656068844422183,0.1914937733680803,0.16763119182279373,0.15082376155776417,0.1380682466386734,0.016428095718583523,0.010967782368391573,"[""MI""]"
0.028267951185506592,0.025532343006264037,0.028267951185506592,0.027798615653068664,0.09037953672975035,0.16044792008570952,0.1620902375227706,0.15648036497458168,0.15535241165933403,0.10975863501957549,0.02735608179242574,0.028267951185506592,"[""NE""]"
0.0520520861268179,0.04701478746938393,0.0520520861268179,0.05163632931942921,0.08699646383338491,0.12087773575082125,0.12572471123565132,0.12245937854071676,0.11514796060804908,0.11467803858344466,0.05930833627866528,0.0520520861268179,"[""NY""]"
0.05007393515866009,0.04522807046588656,0.05007393515866009,0.06452659354584847,0.09964532931576306,0.12580540132819526,0.1299989147058018,0.1299989147058018,0.1105408520409881,0.0922858597572104,0.05174825865852454,0.05007393515866009,"[""AL""]"
0.02609983724215656,0.023574046541302695,0.02609983724215656,0.027091313534730505,0.060182838240027736,0.15703294061785825,0.17441249016445984,0.17441249016445984,0.15300056428440276,0.12673589771774993,0.025257907008538607,0.02609983724215656,"[""AR""]"
0.0,0.0,0.0,0.0,0.05509830596692004,0.16390145210917098,0.20684200076453166,0.20684200076453166,0.20016967815922435,0.16039625781113168,0.006750304424489507,0.0,"[""DE""]"
0.012935317753211228,0.011683512809352101,0.012935317753211228,0.045618630748627646,0.11674220146170201,0.17094205574062313,0.17549928055236416,0.17549928055236416,0.13642953968995872,0.10869516089678814,0.020084384288586075,0.012935317753211228,"[""GA""]"
0.0047932203170689,0.0043293602863848125,0.0047932203170689,0.004726506716521545,0.09253915047549856,0.18946762085975682,0.19466952519989333,0.19424236881757534,0.18797648595249233,0.11303072043382976,0.004638600306840871,0.0047932203170689,"[""IL""]"
0.010004563364367544,0.009036379812977141,0.010004563364367544,0.009681835513904079,0.061819064918860626,0.18346436220702203,0.18846802106177996,0.18792942589815204,0.18186718635305035,0.1378599591832459,0.00986007495790534,0.010004563364367544,"[""IN""]"
