"fips","naics","year","MGwithdrawal","MG_min_of_min_withdrawal","MG_max_of_maxwithdrawl","fix_revenue2015dollar","hours","materials_2015dollar","labor_2015dollar","ln_fix_revenue","ln_MGwithdrawal","ln_hours","ln_materials","coef","y1","y2","m","b","y_hat","fix_revenue"
36001,311,2009,"0","0","0","452008","867.136","265202.4","29952.17","6.1137","0","6.765196","12.48825",287.6143056238131,0.0,0.0,NaN,NaN,NaN,452.0080547876
36001,311,2010,"0","0","0","493788.2","849.424","279636.1","30003.57","6.202106","0","6.744558","12.54124",294.28622495182515,0.0,0.0,NaN,NaN,NaN,493.7878640704414
36001,311,2011,"0","0","0","528778.2","832.208","289766.8","29658.96","6.270569","0","6.724082","12.57683",298.07218299823506,0.0,0.0,NaN,NaN,NaN,528.7781670721104
36001,311,2012,"0","0","0","562190.4","814","301129.4","29511.57","6.331841","0","6.701961","12.6153",302.22073349317765,0.0,0.0,NaN,NaN,NaN,562.1906346848051
36001,311,2013,"0","0","0","592691.4","794.8","312715.7","29426.56","6.384674","0","6.678091","12.65305",306.0854728536183,0.0,0.0,NaN,NaN,NaN,592.6914836771042
36001,311,2014,"0","0","0","621230.8","775.6","323402.8","29292.42","6.431703","0","6.653637","12.68665",309.17386915489374,0.0,0.0,NaN,NaN,NaN,621.231004073941
36001,312,2009,"0","0","0","135774.1","314.8792","62508.2","16122.11","4.910993","0","5.752189","11.04305",110.40298748175405,0.0,0.0,NaN,NaN,NaN,135.77417124266796
36001,312,2010,"0","0","0","91699.16","214.1575","42326.25","10952","4.518513","0","5.366712","10.65316",75.38609729464089,0.0,0.0,NaN,NaN,NaN,91.69913992566956
36001,312,2011,"0","0","0","45887.38","107.7904","21333.33","5589.581","3.82619","0","4.680189","9.968026",38.42030538871514,0.0,0.0,NaN,NaN,NaN,45.88737386356012
36001,312,2012,"0","0","0","7532.876","12.71394","3779.856","1075.266","2.019277","0","2.542699","8.237441",5.967252901498407,0.0,0.0,NaN,NaN,NaN,7.532876694510668
36001,312,2013,"0","0","0","0","0","0","0","0","0","0","0",0.01731815336813426,0.0,0.0,NaN,NaN,NaN,1.0
36001,312,2014,"0","0","0","0","0","0","0","0","0","0","0",0.01731815336813426,0.0,0.0,NaN,NaN,NaN,1.0
36001,322,2009,"346.75","288.35","518.3","114371.7","176.757","57345.43","15449.45","4.739454","5.848604","5.174776","10.95685",60.092331997188,77.97858961722032,80.11056478806334,0.009271472802100549,75.30516043473463,78.520043628863,114.37173766027057
36001,322,2010,"357.7","288.35","518.3","179239.5","284.9036","89910.09","25010.41","5.188723","5.879694","5.652151","11.40657",94.52916261563165,122.66541393016267,126.01915010446425,0.014584632199615458,118.45993523540355,123.676858173206,179.23951785975657
36001,322,2011,"328.5","288.35","518.3","241627.7","400.2579","121155.3","34262.07","5.487398","5.794537","5.992109","11.70483",128.8450312405805,167.19527236515486,171.76647801422612,0.0198791287195967,161.46312559885916,167.99341938324667,241.62767298446224
36001,322,2012,"361.35","288.35","518.3","296953.9","501.1968","149005.9","42388.11","5.693577","5.889847","6.216999","11.91174",159.03479010856532,206.37089992308668,212.01318759179554,0.02453701965083219,199.29565030676923,208.16210235759743,296.9539273495186
36001,322,2013,"306.6","288.35","518.3","345842","587.7204","173767.5","49490.73","5.845982","5.725544","6.376251","12.06547",185.38343207409764,240.56211651453899,247.13920981632887,0.028602275719895147,232.3146503107072,241.08410804642705,345.84199191984976
36001,322,2014,"288.35","288.35","518.3","392647.5","674.244","197476.8","56292.12","5.972912","5.664175","6.513592","12.19338",211.00809380378215,273.81386286368485,281.3000761938254,0.032555830963864205,264.4263890052546,273.81386286368485,392.6473968094594
36001,324,2009,"0","0","0","30092.74","57.72371","14527.86","3965.631","3.404284","0","4.055668","9.583823",15.685686819737072,0.0,0.0,NaN,NaN,NaN,30.09274160547467
36001,324,2010,"0","0","0","36296.74","65.02561","17837.77","4964.724","3.591728","0","4.174781","9.789073",18.54868926521877,0.0,0.0,NaN,NaN,NaN,36.29674253803634
36001,324,2011,"0","0","0","41803.67","72.37273","20804.22","5869.881","3.732984","0","4.281829","9.942911",21.180756157007977,0.0,0.0,NaN,NaN,NaN,41.80366436822407
36001,324,2012,"0","0","0","47179.59","79.6294","23673.84","6734.56","3.853961","0","4.377383","10.07213",23.731041949091278,0.0,0.0,NaN,NaN,NaN,47.179571891588154
