"netsource","fips","creation","cent.x","cent.y"
11803,34021,"within",-74.6945476290381,40.2863359617612
11804,51087,"within",-77.4162097320268,37.542890192056
11804,51159,"nhd",-76.7281223400328,37.9410729204858
11805,4001,"within",-109.491146460603,35.4050948950151
11806,37187,"within",-76.5774328067739,35.8175465902386
11807,37013,"within",-76.8707944167401,35.4959468909338
11807,37187,"nhd",-76.5774328067739,35.8175465902386
11808,37055,"within",-75.8510735526033,35.7632924658175
11809,37037,"within",-79.2415577224106,35.7021660817826
11809,37105,"nhd",-79.177946075599,35.4690976445287
11810,12009,"within",-80.757977362925,28.1775719638426
11811,12055,"within",-81.3362279980267,27.3447790156207
11812,12111,"within",-80.4802263379933,27.370425748628
11813,12085,"within",-80.3862314095799,27.077770328544
11814,12085,"within",-80.3862314095799,27.077770328544
11815,12099,"within",-80.5130172016015,26.6890366137399
11816,12099,"within",-80.5130172016015,26.6890366137399
11817,12099,"within",-80.5130172016015,26.6890366137399
11818,12099,"within",-80.5130172016015,26.6890366137399
11819,12099,"within",-80.5130172016015,26.6890366137399
11820,12099,"within",-80.5130172016015,26.6890366137399
11821,12011,"nhd",-80.4986869360326,26.1425599798939
11821,12051,"nhd",-81.1726025051527,26.5383539031063
11821,12086,"nhd",-80.5875019605924,25.6078948484869
11821,12099,"within",-80.5130172016015,26.6890366137399
11822,12011,"nhd",-80.4986869360326,26.1425599798939
11822,12051,"nhd",-81.1726025051527,26.5383539031063
11822,12086,"nhd",-80.5875019605924,25.6078948484869
11822,12099,"within",-80.5130172016015,26.6890366137399
11823,12099,"within",-80.5130172016015,26.6890366137399
11824,12011,"nhd",-80.4986869360326,26.1425599798939
11824,12099,"nhd",-80.5130172016015,26.6890366137399
11825,12099,"within",-80.5130172016015,26.6890366137399
11826,12011,"nhd",-80.4986869360326,26.1425599798939
11826,12099,"within",-80.5130172016015,26.6890366137399
11827,12011,"nhd",-80.4986869360326,26.1425599798939
11827,12099,"within",-80.5130172016015,26.6890366137399
11828,12011,"within",-80.4986869360326,26.1425599798939
11829,12011,"nhd",-80.4986869360326,26.1425599798939
11829,12051,"nhd",-81.1726025051527,26.5383539031063
11829,12086,"nhd",-80.5875019605924,25.6078948484869
11829,12099,"within",-80.5130172016015,26.6890366137399
11830,12011,"nhd",-80.4986869360326,26.1425599798939
11830,12099,"nhd",-80.5130172016015,26.6890366137399
11831,12011,"within",-80.4986869360326,26.1425599798939
11831,12099,"nhd",-80.5130172016015,26.6890366137399
11832,12011,"within",-80.4986869360326,26.1425599798939
11832,12086,"nhd",-80.5875019605924,25.6078948484869
11833,12011,"within",-80.4986869360326,26.1425599798939
11833,12086,"nhd",-80.5875019605924,25.6078948484869
11834,12011,"within",-80.4986869360326,26.1425599798939
11834,12086,"nhd",-80.5875019605924,25.6078948484869
11835,12086,"within",-80.5875019605924,25.6078948484869
11836,12099,"within",-80.5130172016015,26.6890366137399
11837,12086,"within",-80.5875019605924,25.6078948484869
11838,12086,"within",-80.5875019605924,25.6078948484869
11839,12086,"within",-80.5875019605924,25.6078948484869
11840,12086,"within",-80.5875019605924,25.6078948484869
11841,12086,"within",-80.5875019605924,25.6078948484869
11842,12021,"within",-81.3566753716462,26.1140020129439
11843,12021,"within",-81.3566753716462,26.1140020129439
11844,12011,"within",-80.4986869360326,26.1425599798939
11844,12051,"within",-81.1726025051527,26.5383539031063
11844,12086,"nhd",-80.5875019605924,25.6078948484869
11844,12099,"within",-80.5130172016015,26.6890366137399
11845,12086,"within",-80.5875019605924,25.6078948484869
11846,12011,"within",-80.4986869360326,26.1425599798939
11846,12051,"nhd",-81.1726025051527,26.5383539031063
11846,12086,"within",-80.5875019605924,25.6078948484869
11846,12099,"within",-80.5130172016015,26.6890366137399
11847,12051,"within",-81.1726025051527,26.5383539031063
11848,12011,"within",-80.4986869360326,26.1425599798939
11848,12051,"nhd",-81.1726025051527,26.5383539031063
