"x1","x2","x3","x4","x5","x6","x7","x8"
0.0,0.0,0.0,0.0,0.0,62725.0,0.0,0.0
0.0,0.0,1445.0,0.0,0.0,0.0,0.0,0.0
0.0,38845.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0
0.0,0.0,91265.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,23002.483305939997,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,30444.060426340002,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7116.600083,0.0,0.0
0.0,0.0,0.0,18964.92547066,0.0,0.0,0.0,20590.624817000007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,49693.42116899999,0.0,0.0
0.0,0.0,0.0,0.0,0.0,17569.258827159996,0.0,0.0
0.0,0.0,14103.870569160003,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0
0.0,0.0,25557.98161434,0.0,0.0,0.0,0.0,0.0
0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5611.551031,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9626.071984,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6672.829695999999
0.0,48652.561488,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10350.161556,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.148573
0.0,0.0,0.0,0.0,0.0,18117.24238,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,30.000000000000004,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7248.452665000001
0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7800.000000000001,0.0,0.0
0.0,0.0,0.0,29354.50199214,0.0,0.0,0.0,8086.948915000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,141134.994096
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20203.437285244614,7794.957933755387,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,47223.8463723,0.0,0.0
0.0,0.0,12606.185411999999,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,66894.53412268
0.0,145616.942831,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38504.275538
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,19848.423941999998,0.0,0.0
0.0,0.0,28356.750781,0.0,0.0,0.0,0.0,0.0
0.0,28061.6415318,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,102209.607968,0.0,0.0,0.0,0.0,0.0
0.0,0.0,33937.89639928,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0
0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
0.0,0.0,119964.521646,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,169.99999999999997,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27325.0
0.0,0.0,17135.033882,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15357.066192999999
0.0,0.0,0.0,0.0,0.0,45700.951335959995,0.0,0.0
0.0,0.0,0.0,0.0,0.0,33328.20393321288,0.0,10880.53449578713
0.0,0.0,0.0,0.0,0.0,29938.813585999997,0.0,0.0
0.0,0.0,0.0,0.0,0.0,250.00000000000003,0.0,0.0
0.0,419.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10497.154997984122,0.0,0.0,0.0,0.0,46629.95470301588
0.0,0.0,0.0,0.0,0.0,9.999999999999998,0.0,0.0
0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
0.0,101200.862351,0.0,234.8999887,0.0,0.0,0.0,0.0
0.0,189243.29386609976,73725.4959434402,0.0,0.0,0.0,0.0,0.0
0.0,0.0,205557.20888299998,0.0,0.0,0.0,0.0,0.0
