"x","fips","mean"
10.059749742182401,8001,78.0
1.4315797710028801,8003,11.1
38.040040852008964,8005,294.95
5.0814633313075195,8007,39.4
18.98455335960576,8009,147.2
1.2252259301376,8011,9.5
128971.1505408,8013,1.0e6
4.78482968506368,8015,37.1
25.1816171430912,8017,195.25
128971.1505408,8019,1.0e6
1.289711505408,8021,10.0
8.434713245368322,8023,65.4
2.16671532908544,8025,16.8
5.82304744691712,8027,45.15
2.75998262157312,8029,21.4
23.363123920465924,8031,181.15
128971.1505408,8033,1.0e6
52.2978015442944,8035,405.5
0.7867240182988801,8037,6.1
18.94586201444352,8039,146.9
10.15002954756096,8041,78.7
3.01147636512768,8043,23.35
4.281842197954561,8045,33.2
128971.1505408,8047,1.0e6
0.21925095591936003,8049,1.7
0.79317257582592,8051,6.15
128971.1505408,8053,1.0e6
128971.1505408,8055,1.0e6
2.7212912764108803,8057,21.1
52.06565347332096,8059,403.7
19.423055271444483,8061,150.6
25.046197435023362,8063,194.2
1.1027033371238402,8065,8.55
4.10128258719744,8067,31.8
128971.1505408,8069,1.0e6
128971.1505408,8071,1.0e6
9.26012860882944,8073,71.8
1.7411105323007998,8075,13.5
128971.1505408,8077,1.0e6
128971.1505408,8079,1.0e6
128971.1505408,8081,1.0e6
128971.1505408,8083,1.0e6
0.9801807441100799,8085,7.6
5.2233315969024,8087,40.5
1.3928884258406402,8089,10.8
128971.1505408,8091,1.0e6
128971.1505408,8093,1.0e6
21.2157542639616,8095,164.5
128971.1505408,8097,1.0e6
1.84428745273344,8099,14.3
2.11512686886912,8101,16.4
12.465061699768322,8103,96.65
3.5338095248179204,8105,27.4
128971.1505408,8107,1.0e6
2.26989224951808,8109,17.6
128971.1505408,8111,1.0e6
128971.1505408,8113,1.0e6
3.7595090382643197,8115,29.15
1.97970716080128,8117,15.35
128971.1505408,8119,1.0e6
17.19830292461568,8121,133.35
2.21830378930176,8123,17.2
21.38986531719168,8125,165.85
