"x1","x2","x3","x4","x5","x6","x7","x8"
0.0,100.0,5600.0,0.0,0.0,50930.0,6095.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1445.0,0.0
0.0,400.0,100.0,0.0,0.0,36755.0,1590.0,0.0
0.0,0.0,100.0,0.0,0.0,275.0,355.0,0.0
0.0,2600.0,28900.0,0.0,0.0,59525.0,240.0,0.0
0.0,0.0,2800.0,1356.42248794,0.0,470.0,2325.0,16051.060817999998
876.6267663400001,200.0,3500.0,0.0,0.0,4460.0,7725.0,13682.433659999999
0.0,0.0,0.0,0.0,0.0,10.0,595.0,6511.600082999999
0.0,200.0,7400.0,18964.92547066,0.0,8465.0,50.0,4475.624817
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,200.0,0.0,0.0,0.0,3565.0,45928.421168999994
3546.49004216,0.0,0.0,0.0,0.0,0.0,1175.0,12847.768784999998
0.0,1600.0,8000.0,997.57527116,15.782753999999999,10.0,120.0,3360.512544
0.0,0.0,0.0,0.0,0.0,405.0,250.0,0.0
76.96723034,0.0,3400.0,0.0,0.0,195.0,2160.0,19726.014384
0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0
0.0,100.0,100.0,0.0,0.0,1665.0,20.0,3726.551031
0.0,0.0,100.0,0.0,0.0,5285.0,55.0,4186.071984
0.0,0.0,200.0,0.0,0.0,475.0,520.0,5477.829696
0.0,100.0,200.0,0.0,0.0,34585.0,5.0,13762.561488
0.0,1600.0,500.0,0.0,0.0,3690.0,90.0,4470.161556
0.0,0.0,700.0,0.0,0.0,70.0,285.0,3968.148573
0.0,0.0,100.0,0.0,0.0,645.0,2670.0,14702.24238
0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0
0.0,0.0,200.0,0.0,0.0,30.0,35.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0
0.0,100.0,100.0,0.0,0.0,1475.0,180.0,5393.452665
0.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0
0.0,0.0,200.0,0.0,0.0,2895.0,4705.0,0.0
0.0,500.0,3000.0,29354.50199214,0.0,4500.0,5.0,81.948915
0.0,1000.0,62000.0,0.0,704.558326,66370.0,55.0,11005.43577
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,200.0,300.0,0.0,0.0,1250.0,4935.0,21313.395218999998
1714.2701303000001,1000.0,7500.0,0.0,0.0,11490.0,6885.0,18634.576242
0.0,0.0,500.0,0.0,0.0,3555.0,400.0,8151.185412
0.0,100.0,100.0,1003.57271768,0.0,58405.0,35.0,7250.961405
0.0,3600.0,26900.0,0.0,0.0,89725.0,905.0,24486.942831
0.0,600.0,8100.0,0.0,63.131015999999995,1315.0,2920.0,25506.144522
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,6125.0,270.0,13353.423941999998
0.0,0.0,300.0,0.0,0.0,2200.0,2250.0,23606.750781000002
139.9404188,600.0,3600.0,0.0,0.0,55.0,4365.0,19301.701113
0.0,100.0,56000.0,0.0,0.0,27625.0,400.0,18084.607967999997
0.0,500.0,13000.0,283.87913528,0.0,50.0,1155.0,18949.017264
0.0,0.0,100.0,0.0,0.0,95.0,480.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0
0.0,8000.0,38000.0,0.0,0.0,71765.0,30.0,2169.5216459999997
0.0,0.0,0.0,0.0,0.0,5.0,165.0,0.0
0.0,500.0,13500.0,0.0,0.0,9935.0,3390.0,0.0
0.0,400.0,6200.0,0.0,0.0,4590.0,1175.0,4770.033882
0.0,0.0,100.0,0.0,0.0,1475.0,235.0,13547.066193
15531.38733796,0.0,100.0,0.0,0.0,0.0,2230.0,27839.563997999998
0.0,0.0,100.0,0.0,0.0,3635.0,45.0,40428.738429000005
0.0,0.0,200.0,0.0,0.0,0.0,945.0,28793.813585999997
0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,125.0,195.0,0.0
0.0,2000.0,13000.0,0.0,0.0,39080.0,395.0,2652.109701
0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0
0.0,500.0,13500.0,234.8999887,669.75533,74595.0,130.0,11806.107021
4934.898911540001,1600.0,77900.0,0.0,545.112042,95315.0,21325.0,61348.778856
0.0,5500.0,116500.0,0.0,0.0,72625.0,50.0,10882.208883
