"coef","mean","serr","state"
"intercept",-14.838777834755769,1.4867041726315517,"AL"
"time",0.011510555221213074,3.6112499506836017e-7,"AL"
"wreq",0.09419241355586129,0.0001168937525853581,"AL"
"gdds",1.690721234939117e-5,3.2350438784718856e-10,"AL"
"kdds",-0.0013111502778493564,5.687041510927425e-9,"AL"
"intercept",-14.682370970033087,10.72404264587814,"AZ"
"time",0.00993705678203015,3.083989197659883e-6,"AZ"
"wreq",0.11054581751288013,0.00555877865525244,"AZ"
"gdds",0.0010227542641912054,1.322209758238985e-8,"AZ"
"kdds",-0.002323609605950416,2.0001610166374254e-7,"AZ"
"intercept",-21.565748479966228,0.0625006028369436,"AR"
"time",0.014895069720166396,1.7164707053982063e-8,"AR"
"wreq",0.2758890370083457,5.445378573969326e-5,"AR"
"gdds",0.0001628967409760413,1.195059736369611e-10,"AR"
"kdds",-0.001823573763896462,2.225745455356246e-9,"AR"
"intercept",-15.541691984366024,0.23021598352574477,"CA"
"time",0.01211263271507327,6.201515085187904e-8,"CA"
"wreq",-0.27132307381742626,0.000801516096310017,"CA"
"gdds",0.0009082024891771446,2.730239835522386e-9,"CA"
"kdds",-0.0014153679446268649,3.5931383900167356e-8,"CA"
"intercept",-18.4815725252362,4.88623684683512,"CO"
"time",0.011524752030707082,1.0127583500828406e-6,"CO"
"wreq",0.056790654692328565,0.0014034220854735558,"CO"
"gdds",0.0010241861264501813,4.850673859139565e-9,"CO"
"kdds",-0.00256304929001481,5.8323545228590857e-8,"CO"
"intercept",-16.062652264077986,34.75388224908714,"CT"
"time",0.011006974196882518,1.0287148948798123e-5,"CT"
"wreq",0.5214708523174532,0.2368400337085734,"CT"
"gdds",0.0003424819329477669,6.822005277065233e-7,"CT"
"kdds",-0.004774334381193037,1.1294977754565144e-5,"CT"
"intercept",-15.582145870936317,60.7273546317788,"DE"
"time",0.011123522416709126,1.6287680431578342e-5,"DE"
"wreq",0.5102353710609586,0.26499728439315584,"DE"
"gdds",0.00047963151399256005,8.181506389860079e-7,"DE"
"kdds",-0.003909372545957338,1.307427876610195e-5,"DE"
"intercept",-16.862483694,153.61588813561772,"DC"
"time",0.0116052981377,3.9391036074421034e-5,"DC"
"wreq",0.51589004553,0.4733467787656779,"DC"
"gdds",0.000507849433,1.3941634326149932e-6,"DC"
"kdds",-0.00360927992,2.2607601955472703e-5,"DC"
"intercept",-9.558017730989219,2.1155734864443225,"FL"
"time",0.009130910788873813,5.117632027899388e-7,"FL"
"wreq",-0.13307227033834634,0.0005100665049321855,"FL"
"gdds",0.00013434347133027742,1.0255339911672543e-9,"FL"
"kdds",-0.0005129983880310014,1.7183314949338037e-8,"FL"
"intercept",-12.713835637431288,0.6312881648636464,"GA"
"time",0.010126568681275979,1.5661614848191618e-7,"GA"
"wreq",0.1487904159603331,6.339251902768125e-5,"GA"
"gdds",0.00026242333669847804,1.8550888811643686e-10,"GA"
"kdds",-0.001448121354430368,3.468577643850065e-9,"GA"
"intercept",-11.734847212893232,11.58197146045789,"ID"
"time",0.00765393964498922,2.43986568983225e-6,"ID"
"wreq",0.48226884128012654,0.05649834761965621,"ID"
"gdds",0.0011879529368099115,1.290839143410784e-7,"ID"
"kdds",-0.005489997863381756,2.4138730758484493e-6,"ID"
"intercept",-23.776844387160903,1.3683499198960596,"IL"
"time",0.015483252093878607,3.2270550680376615e-7,"IL"
"wreq",0.43839248462880637,0.0015804822195495778,"IL"
"gdds",0.0004741483481653598,2.623160528420502e-9,"IL"
"kdds",-0.0031027390748422875,5.57737085400767e-8,"IL"
"intercept",-21.071847471711084,1.7590691484449932,"IN"
"time",0.01388275506759716,4.2640781137820817e-7,"IN"
"wreq",0.43738797395437673,0.00407308739294713,"IN"
"gdds",0.0004151014905894857,9.262534091045697e-9,"IN"
"kdds",-0.0033636845435603283,1.692586807839135e-7,"IN"
"intercept",-31.234193355012373,1.4395165068343159,"IA"
"time",0.019498670933651988,3.278056372459823e-7,"IA"
"wreq",0.24984279119718128,0.00023088148823134365,"IA"
"gdds",0.0005241431256389361,2.450408569911319e-10,"IA"
"kdds",-0.002682883580470838,8.670860920364818e-9,"IA"
"intercept",-27.306522005991035,1.1265853481739014,"KS"
"time",0.01762384355333725,2.825151807389294e-7,"KS"
"wreq",0.18805114524008068,0.00020156139844243936,"KS"
"gdds",0.0005228181668482457,2.7227344111665225e-9,"KS"
"kdds",-0.0019252491790569114,2.7436458721369805e-8,"KS"
"intercept",-17.69431680356769,1.1325257617755813,"KY"
"time",0.0122290372802989,2.5996614543380465e-7,"KY"
"wreq",0.3642589592565457,0.0019663960485794846,"KY"
"gdds",0.00023616783204525495,4.989338184564395e-9,"KY"
"kdds",-0.002842579189438577,8.785241698322835e-8,"KY"
"intercept",-15.419157910722431,0.21722973825275316,"LA"
"time",0.012034782170896364,4.756008842119539e-8,"LA"
"wreq",0.15316015595700436,0.00011260806653099219,"LA"
"gdds",2.9823865346096004e-5,3.4148098978568175e-10,"LA"
"kdds",-0.0012730312808669566,5.972428607561902e-9,"LA"
"intercept",-19.463725786437244,22.76562498205412,"ME"
"time",0.012463254253429706,6.347602131105047e-6,"ME"
"wreq",0.5214936344775734,0.15748407762679048,"ME"
"gdds",0.00040145619582964765,4.086221527066277e-7,"ME"
"kdds",-0.005342804576347643,7.089507486095945e-6,"ME"
"intercept",-15.710884739008266,7.460554317289216,"MD"
"time",0.011081575446290869,1.9584327999682385e-6,"MD"
"wreq",0.5069140234079471,0.029307439272736754,"MD"
"gdds",0.0004834734365698487,8.825590525675377e-8,"MD"
"kdds",-0.0038265469967065048,1.4266306875066558e-6,"MD"
"intercept",-15.895119566448406,21.863019095300366,"MA"
"time",0.011038377960758993,6.8572885555222226e-6,"MA"
"wreq",0.5327391739140879,0.15887154324203406,"MA"
"gdds",0.00040373785715569005,4.538410556619583e-7,"MA"
"kdds",-0.005011089994946938,7.55714888655688e-6,"MA"
"intercept",-20.447263645357186,3.70407656488221,"MI"
"time",0.0130761230166449,9.945848387360403e-7,"MI"
"wreq",0.5349251396728257,0.020231395527691435,"MI"
"gdds",0.0007230509785382388,4.985619615114387e-8,"MI"
"kdds",-0.00499195256791397,8.822410922848886e-7,"MI"
"intercept",-34.85111561321666,2.2672629240549487,"MN"
"time",0.021091605991430003,4.583353177351394e-7,"MN"
"wreq",0.3168379612843168,0.0008636699190698895,"MN"
"gdds",0.0006494295245527221,2.5786221386300294e-10,"MN"
"kdds",-0.0031592257207514168,1.5270503638577992e-8,"MN"
"intercept",-22.114166489262153,0.0695574357436656,"MS"
"time",0.01513773625137225,2.647644376214436e-8,"MS"
"wreq",0.11392189062386039,7.259355617924474e-5,"MS"
"gdds",5.3230848585189295e-6,1.5759217589540731e-10,"MS"
"kdds",-0.0013153708229870842,2.911637136934171e-9,"MS"
"intercept",-20.19732487049655,0.6302717364528159,"MO"
"time",0.013934779304596514,1.4659256585233908e-7,"MO"
"wreq",0.27521835337175915,0.00016622199273610188,"MO"
"gdds",0.000404788855891095,2.638789665859299e-10,"MO"
"kdds",-0.0023618948266994405,6.955467796600941e-9,"MO"
"intercept",-21.8794245220834,6.086169515679142,"MT"
"time",0.013933124785521597,1.249011926757296e-6,"MT"
"wreq",0.231832140249142,0.009241638433131564,"MT"
"gdds",0.0010411348918360356,2.290741902912099e-9,"MT"
"kdds",-0.0035143877405067188,1.496592717661505e-7,"MT"
"intercept",-28.807829038140973,1.5195068449142402,"NE"
"time",0.01798878944213364,3.2438813439300546e-7,"NE"
"wreq",0.18384358296556286,8.950417259759655e-5,"NE"
"gdds",0.0008277929318663433,1.1194476560267238e-9,"NE"
"kdds",-0.002511468037691552,1.329717141267221e-8,"NE"
"intercept",-8.975563712302897,24.95762678725796,"NV"
"time",0.0057519122952005165,4.6911468409303526e-6,"NV"
"wreq",0.5460845689131819,0.045067908507250905,"NV"
"gdds",0.0013648661009043322,1.3552567950285444e-7,"NV"
"kdds",-0.003924370767611953,2.2883182160568336e-6,"NV"
"intercept",-18.38620398318694,36.405684308372024,"NH"
"time",0.011782976122382141,8.921433138804857e-6,"NH"
"wreq",0.5219204445889285,0.2269181857058136,"NH"
"gdds",0.00038141558650892554,5.857050682071929e-7,"NH"
"kdds",-0.005185899576984862,1.0215048525371939e-5,"NH"
"intercept",-16.786099822371412,9.487421315218878,"NJ"
"time",0.011589168466905596,2.7056948733890165e-6,"NJ"
"wreq",0.49420289735947076,0.04923525208627647,"NJ"
"gdds",0.0003922891131358684,1.4470854767993955e-7,"NJ"
"kdds",-0.004082642835184996,2.3693214540056273e-6,"NJ"
"intercept",-16.096721163994264,4.6009119548710675,"NM"
"time",0.010543734705298314,1.2019519788113866e-6,"NM"
"wreq",-0.037776596745724145,0.0011020223879603967,"NM"
"gdds",0.0010737507365063484,7.555711299652365e-9,"NM"
"kdds",-0.002145636926018711,7.487950574848496e-8,"NM"
"intercept",-17.71707435084375,5.030331801286873,"NY"
"time",0.011740404299813795,1.4672095590177013e-6,"NY"
"wreq",0.5501626902962152,0.033141568366565496,"NY"
"gdds",0.000522851576783537,9.148500636692714e-8,"NY"
"kdds",-0.005078279543435345,1.5427741562036053e-6,"NY"
"intercept",-13.696660842171244,1.2685310275489006,"NC"
"time",0.010322271495003706,2.9773535509206184e-7,"NC"
"wreq",0.17511732349355996,0.0009690122028032461,"NC"
"gdds",0.00020475113999129436,2.351452543746747e-9,"NC"
"kdds",-0.001983779065663127,4.6209961131357663e-8,"NC"
"intercept",-35.268420979633014,4.3040272590400965,"ND"
"time",0.02101209988456374,7.929309970183952e-7,"ND"
"wreq",0.2828341508464069,0.0012820027147196294,"ND"
"gdds",0.0009053573508835602,6.608222633231878e-10,"ND"
"kdds",-0.0033268781795726065,2.5366801910837366e-8,"ND"
"intercept",-18.834560687554657,2.3410693569364645,"OH"
"time",0.0124815809063692,5.848614023606079e-7,"OH"
"wreq",0.4775637224709083,0.009361556397760236,"OH"
"gdds",0.0005427996700557493,2.3645889635818734e-8,"OH"
"kdds",-0.004041161535998584,4.1433670783085267e-7,"OH"
"intercept",-22.376633429603494,1.3462720692820949,"OK"
"time",0.015178830159580034,3.546297333016605e-7,"OK"
"wreq",0.2409419326362016,0.000342738093560256,"OK"
"gdds",0.00035016797101728613,1.1558807441663523e-9,"OK"
"kdds",-0.0017674370127516966,2.1063010182826402e-8,"OK"
"intercept",-6.827877042448209,12.079582773565193,"OR"
"time",0.0058854736338805995,3.650909448028102e-6,"OR"
"wreq",-0.20734256007940208,0.09785849149217478,"OR"
"gdds",0.00046868147356162804,2.5025731124468453e-7,"OR"
"kdds",-0.004330986548084604,4.529505561830166e-6,"OR"
"intercept",-16.78526954425665,3.95266622629248,"PA"
"time",0.011246484755010222,1.0423441271221627e-6,"PA"
"wreq",0.4866477665718055,0.022378771773326867,"PA"
"gdds",0.0004755091811574001,6.113769255749057e-8,"PA"
"kdds",-0.00454512329193774,1.0384411296303948e-6,"PA"
"intercept",-15.113322342528608,56.73235868278074,"RI"
"time",0.010643837473912865,1.938435467092898e-5,"RI"
"wreq",0.5110459375883651,0.4534118154329632,"RI"
"gdds",0.00041170733157952635,1.3634299014499027e-6,"RI"
"kdds",-0.004958597137420612,2.2148493190782347e-5,"RI"
"intercept",-13.470587775761826,2.13591018488542,"SC"
"time",0.010477181122770945,5.186727895564075e-7,"SC"
"wreq",0.1515689894076944,0.0001722513142832746,"SC"
"gdds",0.00025576106595322646,5.246207428068055e-10,"SC"
"kdds",-0.0015874084152956475,1.0264094748829494e-8,"SC"
"intercept",-32.46374684213636,2.7340445766196053,"SD"
"time",0.019791844182940565,5.368853327056466e-7,"SD"
"wreq",0.2541352668432096,0.00017402080991463665,"SD"
"gdds",0.0008450368729298438,1.4598012344304002e-9,"SD"
"kdds",-0.0028902545054970527,2.0021075097223446e-8,"SD"
"intercept",-16.88540930534894,1.2471649509205858,"TN"
"time",0.012097381015173056,2.8857343260512696e-7,"TN"
"wreq",0.2486812781001959,0.0007817697183699723,"TN"
"gdds",7.177627381977679e-5,1.6271321755088083e-9,"TN"
"kdds",-0.002113039342125209,3.319175655749084e-8,"TN"
"intercept",-15.189599559242014,0.37817004336236176,"TX"
"time",0.011226334617157281,1.0550232807362075e-7,"TX"
"wreq",0.22948931748651272,0.00010544353908490402,"TX"
"gdds",0.00046136783723440986,1.6393434961995245e-10,"TX"
"kdds",-0.0015321826509988353,5.016926074324187e-9,"TX"
"intercept",-12.469936493045928,16.210861472859026,"UT"
"time",0.007932920318647568,3.0417984566797377e-6,"UT"
"wreq",0.6231057123000713,0.0460130440612155,"UT"
"gdds",0.0012420306283651883,9.920630431989523e-8,"UT"
"kdds",-0.005020499285639486,1.8907053343253274e-6,"UT"
"intercept",-20.788365038783258,25.63643096997642,"VT"
"time",0.013164033920997542,6.832312957473593e-6,"VT"
"wreq",0.5168581052667761,0.16509922009836006,"VT"
"gdds",0.00046178419611609545,4.086213034784934e-7,"VT"
"kdds",-0.005292087684508903,7.2361304480208645e-6,"VT"
"intercept",-14.055370350441576,1.2557451598602418,"VA"
"time",0.010106116410744636,2.9530161622838125e-7,"VA"
"wreq",0.43039299960286276,0.0036544621596255834,"VA"
"gdds",0.00042958124374397764,1.0719797244140484e-8,"VA"
"kdds",-0.0033842895365370626,1.777469455310927e-7,"VA"
"intercept",-8.666610118266224,11.568914872977688,"WA"
"time",0.007188614241801329,3.7262435615731223e-6,"WA"
"wreq",0.10011235724561533,0.0875236769845872,"WA"
"gdds",0.0007898433627809604,2.3169802534493296e-7,"WA"
"kdds",-0.004879378290278971,4.062194121744916e-6,"WA"
"intercept",-14.81711516949621,3.949526717754357,"WV"
"time",0.010376153357583363,8.716100111147777e-7,"WV"
"wreq",0.38993086988043835,0.016360679160884576,"WV"
"gdds",0.0003748735263149483,4.236255261780981e-8,"WV"
"kdds",-0.003813712450669293,7.460009920630288e-7,"WV"
"intercept",-28.836533146894737,2.9510619024351015,"WI"
"time",0.017955543312227467,6.987071631623877e-7,"WI"
"wreq",0.3365655154091475,0.006257581557701545,"WI"
"gdds",0.0005616863655212804,2.8959519395008317e-9,"WI"
"kdds",-0.0035483145478593823,1.593324599313818e-7,"WI"
"intercept",-17.74425464388008,16.20920497191996,"WY"
"time",0.011132146370609023,3.1689092264662494e-6,"WY"
"wreq",0.2521842499733731,0.05440738951889443,"WY"
"gdds",0.0011025975342219161,6.947535296679229e-8,"WY"
"kdds",-0.004262464884374427,1.8134160303097032e-6,"WY"
