"resid","storage","storagemax"
"reservoir.110",0,2417620.8
"reservoir.1100",0,29603.52
"reservoir.1101",0,10268.721
"reservoir.1102",0,58545.89472
"reservoir.1103",4.46214979231215e-12,456387.6
"reservoir.1104",0,34129.15812
"reservoir.1105",0,27383.256
"reservoir.1106",0,18045.8124
"reservoir.1107",2781.13121031199,13067.48712
"reservoir.1108",0,139284.5616
"reservoir.1109",0,240399.0846
"reservoir.111",0,129762.096
"reservoir.1110",0,21145.54764
"reservoir.1111",0,114985.0056
"reservoir.1112",0,11959.82208
"reservoir.1113",9951.02104819184,12889.866
"reservoir.1114",4.27910347052176e-14,17885.46
"reservoir.1115",2672.90053523838,8894.62428
"reservoir.1116",68103.3598046807,239295.12
"reservoir.1117",0,18255.504
"reservoir.1118",0,548898.6
"reservoir.1119",173.791638610957,14292.33276
"reservoir.112",9029.0736,9029.0736
"reservoir.1120",0,8884.75644
"reservoir.1121",0,234361.2
"reservoir.1122",0,156651.96
"reservoir.1123",3566.46162456967,275164.7184
"reservoir.1124",0,14289.8658
"reservoir.1125",0,41531.2716
"reservoir.1126",0,72158.58
"reservoir.1127",0,113480.16
"reservoir.1128",43788.54,43788.54
"reservoir.1129",0,238061.64
"reservoir.113",0,56493.384
"reservoir.1130",0,229427.28
"reservoir.1131",135.56372553947,10998.94116
"reservoir.1132",0,81903.072
"reservoir.1133",0,11644.0512
"reservoir.1134",0,10546.254
"reservoir.1135",0,27345.01812
"reservoir.1136",112.494334056718,14296.0332
"reservoir.1137",1070.30389449311,11471.364
"reservoir.1138",0,9621.144
"reservoir.1139",891.205446670697,162819.36
"reservoir.1140",0,47118.936
"reservoir.1141",9.473903143468e-15,56933.73636
"reservoir.1142",0,50942.724
"reservoir.1143",4932.70008206311,162227.2896
"reservoir.1144",0,155876.1011
"reservoir.1145",0,10768.2804
"reservoir.1146",185.964690950298,143268.702
"reservoir.1147",0,106667.65
"reservoir.1148",0,142158.57
"reservoir.1149",0,432951.48
"reservoir.115",3795.6882956378,6479.47044
"reservoir.1150",7.48438348333972e-14,17638.764
"reservoir.1151",39524.905200352,217092.48
"reservoir.1152",232.851913289075,16528.632
"reservoir.1153",2727.03201623261,178702.882
"reservoir.1154",13314.3546471105,13568.28
"reservoir.1155",23164.7544,23164.7544
"reservoir.1156",7667.31168,7667.31168
"reservoir.1157",0,87577.08
"reservoir.1158",0,67348.008
"reservoir.1159",118.658445488851,257797.32
"reservoir.116",2140.3423941652,7647.576
"reservoir.1160",0,27136.56
"reservoir.1161",0,9221.49648
"reservoir.1162",0,191806.14
"reservoir.1163",2278.46724319284,82396.464
"reservoir.1164",0,19202.81664
"reservoir.1165",0,4791054.646
"reservoir.1166",1404.88107469081,32995.59
"reservoir.1167",0,97013.202
"reservoir.1169",0,8325.99
