fips,profit,crop,yield,price,costs
30027,157.36415844343458,Soybean,30.257085947257067,9.56,131.893583212343
16079,268.34581099083886,Soybean,41.86604541874287,9.56,131.893583212343
22035,276.9424738534357,Soybean,20.59539739542523,10.08,-69.34086810754934
5099,293.448379916897,Barley,102.61349011253307,4.106072013093289,127.89
39001,318.1426833526984,Soybean,44.41115472782022,9.91,121.97185999999999
29201,101.89123146199063,Soybean,22.589615687385532,9.91,121.97185999999999
46009,251.51091304612248,Soybean,37.68847356671266,9.91,121.98186
1131,82.21368991368583,Barley,51.169022180739894,4.106072013093289,127.89
17131,479.7565811298258,Soybean,60.720327056490994,9.91,121.98186
29125,135.8131973293472,Soybean,26.012619306694972,9.91,121.97185999999999
40097,226.68328508586262,Soybean,14.128325867742856,10.57,-77.34688066382063
41057,265.6118044964594,Wheat,79.70752795170019,5.226505139500734,150.98
6037,677.6180771815152,Corn,222.34216375616256,4.3357861635220125,286.40999999999997
48223,71.34098028773656,Soybean,20.445631802592203,10.7,147.42728
42109,354.3938860874727,Soybean,50.7481175474331,9.75,140.40026
8075,383.15258221522595,Soybean,52.30380421543249,9.54,115.82570999999999
30033,365.92474350680186,Soybean,50.49795110134191,9.54,115.82570999999999
41045,489.0569530673496,Corn,178.85267488317,4.3357861635220125,286.40999999999997
22125,122.05255615451505,Barley,60.8714497352963,4.106072013093289,127.89
19033,485.9917748589222,Soybean,61.34950906749972,9.91,121.98186
56015,487.84355592523127,Soybean,63.27770083073703,9.54,115.82570999999999
18183,342.28059100147044,Soybean,42.67929343101536,9.91,80.67120689989179
38027,669.2706942492322,Soybean,49.80456806082517,9.54,-194.13511494896008
8045,823.543941167364,Soybean,99.94116363804466,9.56,131.893583212343
49003,631.5040412120576,Barley,59.021288410295305,4.233601462522852,-381.63142827824834
38085,368.56867130237515,Soybean,50.77509237970389,9.54,115.82570999999999
48347,139.64866656229964,Barley,65.15683741278339,4.106072013093289,127.89
40043,294.0482073094295,Wheat,13.884783070352631,4.506692111959287,-231.4737649700054
21211,441.11505259037745,Soybean,22.56413484478881,10.57,-202.61214728095968
13281,266.17526069306183,Soybean,38.65444305542634,10.7,147.42728
