"fips","depthaquif","piezohead0","storagecoef","areaaquif","elevation"
1001.0,50.0,0.0,0.1,1.5653700999999997e8,88.45
1003.0,50.0,0.0,0.1,5.2507328999999994e8,47.275
1005.0,50.0,0.0,0.1,2.3427068e8,67.1
1007.0,50.0,0.0,0.1,1.6217803e8,68.32
1009.0,50.0,0.0,0.1,1.6851316999999997e8,265.35
1011.0,50.0,0.0,0.1,1.6191125999999997e8,138.775
1013.0,50.0,0.0,0.1,2.0147091999999997e8,135.725
1015.0,50.0,0.0,0.1,1.5858311e8,172.325
1017.0,50.0,0.0,0.1,1.5620549e8,227.225
1019.0,50.0,0.0,0.1,1.5539481999999997e8,179.645
1021.0,50.0,0.0,0.1,1.8150719999999997e8,176.9
1023.0,574.2372591881019,0.0,0.0005308809271838234,2.3850274e8,106.75
1025.0,794.826814825212,0.0,0.00038159794635334883,3.2441563e8,123.525
1027.0,50.0,0.0,0.1,1.56954e8,227.225
1029.0,50.0,0.0,0.1,1.4530159e8,358.375
1031.0,50.0,0.0,0.1,1.7624691e8,59.475
1033.0,50.0,0.0,0.1,1.6113166999999997e8,163.48
1035.0,50.0,0.0,0.1,2.2085447999999997e8,65.88
1037.0,50.0,0.0,0.1,1.7258465e8,201.3
1039.0,50.0,0.0,0.1,2.7034161e8,79.3
1041.0,50.0,0.0,0.1,1.5822828e8,181.17
1043.0,50.0,0.0,0.1,1.9555018e8,244.61
1045.0,50.0,0.0,0.1,1.457393e8,143.35
1047.0,50.0,0.0,0.1,2.5739419999999997e8,44.835
1049.0,50.0,0.0,0.1,2.0168071e8,317.2
1051.0,50.0,0.0,0.1,1.7017336e8,88.45
1053.0,50.0,0.0,0.1,2.4686325999999997e8,25.925
1055.0,50.0,0.0,0.1,1.4209516999999997e8,172.325
1057.0,50.0,0.0,0.1,1.6300424e8,111.325
1059.0,50.0,0.0,0.1,1.6744868e8,256.2
1061.0,50.0,0.0,0.1,1.4994805e8,32.635
1063.0,50.0,0.0,0.1,1.7092446e8,33.55
1065.0,50.0,0.0,0.1,1.700335e8,67.1
