"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","fips"
0.0234781551430656,0.0212060756130915,0.0234781551430656,0.0889285057639423,0.144209862460139,0.130777629828766,0.132375542933512,0.132375542933512,0.128105364129205,0.132375542933512,0.0268465128310143,0.015843110287177,4009
0.0844254144466377,0.076255213048576,0.0844254144466377,0.099805758398343,0.117438124855432,0.0887310550185898,0.0838519926777504,0.0838519926777504,0.0811470896881456,0.0838519926777504,0.0534590099904472,0.0627569420739399,4013
0.0550324212687774,0.0497067030814764,0.0550324212687774,0.0959905667565637,0.132958005468198,0.109509013512401,0.107133625243785,0.107133625243785,0.103677701848824,0.107133625243785,0.0383207602622131,0.038371530801414,4021
0.119114624239636,0.107587402539026,0.119114624239636,0.130154009271484,0.146252010135337,0.073245848355136,0.0542111838287764,0.0542111838287764,0.052462435963332,0.0542111838287764,0.0297020477927443,0.0597334459773391,4027
0.0938104462584499,0.0868317677761409,0.0961351714664417,0.103475209102479,0.136594713739393,0.132188432651026,0.0708224180439977,0.0691104513971361,0.0668810819972285,0.0586692791976647,0.0277266862492107,0.057754342120831,6019
0.0813454874630929,0.0746781504383337,0.0826793808424408,0.0971256255022193,0.148993501504388,0.144187259520375,0.0834941595945843,0.0815865194959894,0.0789546962864414,0.0644731980348419,0.0147797408071381,0.0477022805101555,6047
0.147727272727273,0.159090909090909,0.176136363636364,0.170454545454545,0.176136363636364,0.170454545454545,0,0,0,0,0,0,6079
0.153542332876504,0.145811126338765,0.161433747017918,0.156226206791533,0.161433747017918,0.156226206791533,0.00362925739810162,0,0,0,0,0.0616973757677275,6089
0.152339759556118,0.148557428531419,0.164474295874071,0.15916867342652,0.164474295874071,0.15916867342652,0.00287871518396,0,0,0,0,0.04893815812732,6093
0.0945057770578819,0.0860811758744043,0.0953041590038048,0.0922298312940046,0.109859320042308,0.117915409597246,0.076294823061443,0.0749414519906323,0.0725239857973861,0.0620986628390119,0.0468384074941452,0.0714069959477324,6113
0.0653633857358832,0.059037896793701,0.0653633857358832,0.0632548894218224,0.10201002626064,0.129784212347088,0.113807261813181,0.113807261813181,0.0986839846552213,0.060269420265692,0.0632548894218224,0.0653633857358832,8003
0.0792107588571446,0.0715452015483886,0.0792107588571446,0.0783386858561148,0.0952347307683474,0.0951653344118973,0.0868266086071274,0.0793085967036086,0.0825975974660857,0.0966953949794371,0.0766555730875593,0.0792107588571446,8013
0.0638416470931655,0.0576634231809237,0.0638416470931655,0.0658476038095446,0.103704618737994,0.109167506741419,0.104077830444941,0.0965116261574251,0.099283173451239,0.110437037074599,0.0617822391224182,0.0638416470931655,8069
0.0711181537927132,0.0642357518127732,0.0711181537927132,0.0688240197993999,0.0998091280903821,0.12064686485132,0.104419742145801,0.101785816636507,0.0915850824580495,0.0665151130282266,0.0688240197993999,0.0711181537927132,8105
0.0763953323234884,0.0690022356470218,0.0763953323234884,0.0739309667646662,0.0948642174701089,0.107000831216009,0.0960660802431731,0.0960660802431731,0.0871956478205583,0.0727569768601578,0.0739309667646662,0.0763953323234884,8109
0.0629822820128669,0.0568872224632346,0.0629822820128669,0.0631131218359171,0.106040919628061,0.116359862009969,0.105559267203139,0.0863611633121656,0.0985071779162223,0.117273824096369,0.0609505954963228,0.0629822820128669,8123
0.0831709351485201,0.0751221349728569,0.0831709351485201,0.0863817167781766,0.0939182978348655,0.0908886753240634,0.0939182978348655,0.0812500741204982,0.0648448851252247,0.0836751108072567,0.0804880017566323,0.0831709351485201,16001
0.0882939821956989,0.0797494032735345,0.0882939821956989,0.0854457892216441,0.0964560769862971,0.0976889314075413,0.100945229121126,0.0703220895531,0.0391355352097651,0.0799292094182509,0.0854457892216441,0.0882939821956989,16005
0.0979067456030422,0.0884318992543607,0.0979067456030422,0.0947484634868151,0.0979067456030422,0.0947484634868151,0.0979067456030422,0.0541623790200607,0.00067167476800707,0.0829549284819152,0.0947484634868151,0.0979067456030422,16009
0.0697189660548608,0.0629719693398743,0.0697189660548608,0.0732104145928036,0.107772556742063,0.118978742427229,0.122944700508136,0.100178150995801,0.0704857636437789,0.0668308364358665,0.0674699671498653,0.0697189660548608,16011
0.0913894324853229,0.082545293857711,0.0913894324853229,0.0884413862761189,0.0913894324853229,0.0884413862761189,0.0913894324853229,0.0512972665867054,0.0524966858152894,0.0913894324853229,0.0884413862761189,0.0913894324853229,16013
0.0846605036044579,0.0764675516427362,0.0846605036044579,0.0819295196172174,0.100669140822678,0.105942475444547,0.109473891292699,0.0667314122851332,0.0443414692380083,0.0785335092263893,0.0819295196172174,0.0846605036044579,16019
0.0931929121994751,0.0841742432769453,0.0931929121994751,0.0901866892252985,0.0931929121994751,0.0901866892252985,0.0931929121994751,0.0637950677454541,0.031205236263557,0.0843008240407725,0.0901866892252985,0.0931929121994751,16021
0.089104320337197,0.0804813215948877,0.089104320337197,0.0862299874230939,0.089104320337197,0.0862299874230939,0.089104320337197,0.0631986131411673,0.063004180971481,0.089104320337197,0.0862299874230939,0.089104320337197,16023
0.0888167071387935,0.0802215419318135,0.0888167071387935,0.0859516520698001,0.0888167071387935,0.0859516520698001,0.0888167071387935,0.066530017560866,0.0632379975841289,0.088071951019824,0.0859516520698001,0.0888167071387935,16025
0.0642361189618326,0.058019720352623,0.0642361189618326,0.070792113788386,0.0886062902369465,0.126038543174986,0.13151167098375,0.119197490144394,0.0846040342600102,0.0663577940813106,0.0621639860920961,0.0642361189618326,16027
