"fips","name","state","soy_revenue","soy_opcost","soy_opcost_full"
"01001","Autauga","AL",310.29999999999995,147.42728,147.42728
"01003","Baldwin","AL",310.29999999999995,147.42728,147.42728
"01005","Barbour","AL",310.29999999999995,147.42728,147.42728
"01007","Bibb","AL",327.67,131.72159,131.72159
"01009","Blount","AL",327.67,131.72159,131.72159
"01011","Bullock","AL",310.29999999999995,147.42728,147.42728
"01013","Butler","AL",310.29999999999995,147.42728,147.42728
"01015","Calhoun","AL",327.67,131.72159,131.72159
"01017","Chambers","AL",310.29999999999995,147.42728,147.42728
"01019","Cherokee","AL",327.67,131.72159,131.72159
"01021","Chilton","AL",327.67,131.72159,131.72159
"01023","Choctaw","AL",310.29999999999995,147.42728,147.42728
"01025","Clarke","AL",310.29999999999995,147.42728,147.42728
"01027","Clay","AL",310.29999999999995,147.42728,147.42728
"01029","Cleburne","AL",327.67,131.72159,131.72159
"01031","Coffee","AL",310.29999999999995,147.42728,147.42728
"01033","Colbert (new)","AL",310.29999999999995,147.42728,147.42728
"01035","Conecuh","AL",310.29999999999995,147.42728,147.42728
"01037","Coosa","AL",310.29999999999995,147.42728,147.42728
"01039","Covington","AL",310.29999999999995,147.42728,147.42728
"01041","Crenshaw","AL",310.29999999999995,147.42728,147.42728
"01043","Cullman","AL",327.67,131.72159,131.72159
"01045","Dale","AL",310.29999999999995,147.42728,147.42728
"01047","Dallas","AL",310.29999999999995,147.42728,147.42728
"01049","Dekalb","AL",327.67,131.72159,131.72159
"01051","Elmore","AL",310.29999999999995,147.42728,147.42728
"01053","Escambia","AL",310.29999999999995,147.42728,147.42728
"01055","Etowah","AL",327.67,131.72159,131.72159
"01057","Fayette","AL",310.29999999999995,147.42728,147.42728
"01059","Franklin","AL",310.29999999999995,147.42728,147.42728
"01061","Geneva","AL",310.29999999999995,147.42728,147.42728
"01063","Greene","AL",310.29999999999995,147.42728,147.42728
"01065","Hale","AL",310.29999999999995,147.42728,147.42728
"01067","Henry","AL",310.29999999999995,147.42728,147.42728
"01069","Houston","AL",310.29999999999995,147.42728,147.42728
"01071","Jackson","AL",327.67,131.72159,131.72159
"01073","Jefferson","AL",327.67,131.72159,131.72159
"01075","Lamar","AL",310.29999999999995,147.42728,147.42728
"01077","Lauderdale","AL",327.67,131.72159,131.72159
"01079","Lawrence","AL",327.67,131.72159,131.72159
"01081","Lee","AL",310.29999999999995,147.42728,147.42728
"01083","Limestone","AL",327.67,131.72159,131.72159
"01085","Lowndes","AL",310.29999999999995,147.42728,147.42728
"01087","Macon","AL",310.29999999999995,147.42728,147.42728
"01089","Madison","AL",327.67,131.72159,131.72159
"01091","Marengo","AL",310.29999999999995,147.42728,147.42728
"01093","Marion","AL",310.29999999999995,147.42728,147.42728
"01095","Marshall","AL",327.67,131.72159,131.72159
"01097","Mobile","AL",310.29999999999995,147.42728,147.42728
"01099","Monroe","AL",310.29999999999995,147.42728,147.42728
"01101","Montgomery","AL",310.29999999999995,147.42728,147.42728
"01103","Morgan","AL",327.67,131.72159,131.72159
"01105","Perry","AL",310.29999999999995,147.42728,147.42728
