"fips","coef","mean","serr"
1001,"gddoffset",2429.9941105493244,0.0
1001,"kddoffset",106.56084831151635,0.0
1003,"gddoffset",2566.7556306084084,0.0
1003,"kddoffset",103.26199042272233,0.0
1005,"gddoffset",2432.706098901911,0.0
1005,"kddoffset",102.32994156495994,0.0
1007,"gddoffset",2348.2757293599925,0.0
1007,"kddoffset",103.85009549317869,0.0
1009,"gddoffset",2246.889969805841,0.0
1009,"kddoffset",76.40261247447658,0.0
1011,"gddoffset",2418.086955420986,0.0
1011,"kddoffset",101.7245038829464,0.0
1013,"gddoffset",2455.082225650666,0.0
1013,"kddoffset",113.56066287111602,0.0
1015,"gddoffset",2250.915515772312,0.0
1015,"kddoffset",73.40418023484918,0.0
1017,"gddoffset",2292.2829676294464,0.0
1017,"kddoffset",82.5332834709768,0.0
1019,"gddoffset",2207.241286708557,0.0
1019,"kddoffset",65.9228715388061,0.0
1021,"gddoffset",2352.5957401779347,0.0
1021,"kddoffset",92.78440375154449,0.0
1023,"gddoffset",2425.143707790925,0.0
1023,"kddoffset",115.4936118911568,0.0
1025,"gddoffset",2442.673533653852,0.0
1025,"kddoffset",118.92691254874177,0.0
1027,"gddoffset",2173.6311396467004,0.0
1027,"kddoffset",57.112824243282624,0.0
1029,"gddoffset",2142.3798077534557,0.0
1029,"kddoffset",58.5998140979256,0.0
1031,"gddoffset",2483.0939576931046,0.0
1031,"kddoffset",111.564572997195,0.0
1033,"gddoffset",2253.386640730047,0.0
1033,"kddoffset",81.22949870327137,0.0
1035,"gddoffset",2430.4659919179185,0.0
1035,"kddoffset",105.4019508290645,0.0
1037,"gddoffset",2276.222294605691,0.0
1037,"kddoffset",80.05349975806782,0.0
1039,"gddoffset",2423.926449580755,0.0
1039,"kddoffset",111.24835020173182,0.0
1041,"gddoffset",2435.1521601804516,0.0
1041,"kddoffset",109.7751687197292,0.0
1043,"gddoffset",2232.2011637141495,0.0
1043,"kddoffset",81.38220663123082,0.0
1045,"gddoffset",2503.1368757683117,0.0
1045,"kddoffset",117.5586201735998,0.0
1047,"gddoffset",2461.2394713802455,0.0
1047,"kddoffset",116.17704825665335,0.0
1049,"gddoffset",2077.6782626017093,0.0
1049,"kddoffset",42.51416833588044,0.0
1051,"gddoffset",2380.2011819280706,0.0
1051,"kddoffset",93.74205349980919,0.0
1053,"gddoffset",2454.931733506095,0.0
1053,"kddoffset",114.65974122896185,0.0
1055,"gddoffset",2258.852266612663,0.0
1055,"kddoffset",72.91121134143975,0.0
1057,"gddoffset",2270.015139502648,0.0
1057,"kddoffset",93.28221180538415,0.0
1059,"gddoffset",2212.6245440069324,0.0
1059,"kddoffset",71.33610988439591,0.0
1061,"gddoffset",2482.4994005568083,0.0
1061,"kddoffset",114.6462166472105,0.0
1063,"gddoffset",2418.124254725358,0.0
1063,"kddoffset",110.19809559367326,0.0
1065,"gddoffset",2441.8188242682686,0.0
1065,"kddoffset",118.88190866812108,0.0
1067,"gddoffset",2485.527402953572,0.0
1067,"kddoffset",112.38078566908396,0.0
1069,"gddoffset",2514.3445542430204,0.0
1069,"kddoffset",123.16840449510252,0.0
1071,"gddoffset",2105.294350491326,0.0
1071,"kddoffset",52.26015515725161,0.0
1073,"gddoffset",2315.5632166043197,0.0
1073,"kddoffset",86.74042026896123,0.0
1075,"gddoffset",2285.047672081209,0.0
1075,"kddoffset",99.04072415519421,0.0
1077,"gddoffset",2240.2907735711597,0.0
1077,"kddoffset",78.59852543494792,0.0
1079,"gddoffset",2275.140468983953,0.0
1079,"kddoffset",78.8150389361799,0.0
1081,"gddoffset",2346.4381845757484,0.0
1081,"kddoffset",90.33833375002756,0.0
1083,"gddoffset",2240.3310770732833,0.0
1083,"kddoffset",76.55491214578102,0.0
1085,"gddoffset",2475.819119621044,0.0
1085,"kddoffset",118.23033745487425,0.0
1087,"gddoffset",2405.9668767868448,0.0
1087,"kddoffset",104.01461444666944,0.0
1089,"gddoffset",2196.980536860645,0.0
1089,"kddoffset",65.10636441592887,0.0
1091,"gddoffset",2439.2590099565505,0.0
1091,"kddoffset",114.80684953149564,0.0
1093,"gddoffset",2222.883824198608,0.0
1093,"kddoffset",83.14958933181912,0.0
1095,"gddoffset",2224.9180986105885,0.0
1095,"kddoffset",64.03561707805059,0.0
1097,"gddoffset",2584.455735096342,0.0
1097,"kddoffset",103.88718688373167,0.0
1099,"gddoffset",2446.262544671829,0.0
1099,"kddoffset",109.5654776068151,0.0
1101,"gddoffset",2469.6082857194856,0.0
1101,"kddoffset",110.55708021398908,0.0
1103,"gddoffset",2235.142348128428,0.0
1103,"kddoffset",74.96565817979831,0.0
1105,"gddoffset",2411.7174807601705,0.0
1105,"kddoffset",104.90772019952722,0.0
1107,"gddoffset",2379.76306048709,0.0
1107,"kddoffset",109.92307149746736,0.0
1109,"gddoffset",2452.9441174290937,0.0
1109,"kddoffset",102.9723509530983,0.0
1111,"gddoffset",2118.613897721826,0.0
1111,"kddoffset",67.5277703215122,0.0
1113,"gddoffset",2431.9618957109583,0.0
1113,"kddoffset",109.08243017799649,0.0
1117,"gddoffset",2322.8634200288816,0.0
