knownareas
0
0
0
0
0
37084
26456
10727
233368
0
75661
24713
6797
0
37277
0
6139
6896
9024
51763
8090
6537
24220
0
0
0
0
8933
0
0
217763
372965
0
35111
42877
15737
204319
245004
47164
0
32868
47770
43004
81311
37606
0
0
217661
0
0
12221
22317
61400
66601
47434
0
0
122453
0
0
73580
322594
230895
