"time","fips","supersource","minefp"
1951,1001,34201.44,37
1951,1003,0,100
1951,1005,0,92
1951,1007,0,100
1951,1009,0,72
1951,1011,594.69,37
1951,1013,0,97
1951,1015,0,92
1951,1017,2977.452,37
1951,1019,0,97
1951,1021,0,97
1951,1023,0,87
1951,1025,0,100
1951,1027,0,100
1951,1029,0,100
1951,1031,0,100
1951,1033,0,92
1951,1035,0,100
1951,1037,0,100
1951,1039,0,100
1951,1041,0,100
1951,1043,15141.24,37
1951,1045,0,100
1951,1047,0,100
1951,1049,0,77
1951,1051,0,100
1951,1053,0,100
1951,1055,0,97
1951,1057,0,97
1951,1059,0,92
1951,1061,0,100
1951,1063,0,72
1951,1065,0,97
1951,1067,0,92
1951,1069,0,92
1951,1071,0,87
1951,1073,0,97
1951,1075,0,100
1951,1077,0,97
1951,1079,0,100
1951,1081,0,100
1951,1083,0,62
1951,1085,0,100
1951,1087,0,100
1951,1089,0,82
1951,1091,0,92
1951,1093,0,92
1951,1095,0,92
1951,1097,1323144,37
1951,1099,0,100
1951,1101,0,100
1951,1103,0,100
1951,1105,0,100
1951,1107,0,72
1951,1109,0,100
1951,1111,0,100
1951,1113,0,100
1951,1115,0,100
1951,1117,756122.4,37
1951,1119,0,100
1951,1121,0,100
1951,1123,0,100
1951,1125,0,100
1951,1127,687646.8,37
1951,1129,78195.24,37
1951,1131,0,100
1951,1133,1701.084,37
1951,4001,0,100
1951,4003,0,100
1951,4005,0,100
1951,4007,0,100
1951,4009,0,67
1951,4011,0,72
1951,4012,374460,37
1951,4013,0,82
1951,4015,18587.52,37
1951,4017,10925.7,37
1951,4019,0,97
1951,4021,0,100
1951,4023,0,100
1951,4025,0,82
1951,4027,0,100
1951,5001,0,87
1951,5003,0,97
1951,5005,0,100
1951,5007,512331.6,37
1951,5009,1368.768,37
1951,5011,0,97
1951,5013,0,97
1951,5015,0,97
1951,5017,28117.08,37
1951,5019,0,87
1951,5021,0,100
1951,5023,0,97
1951,5025,0,97
1951,5027,0,82
1951,5029,0,100
1951,5031,0,97
1951,5033,0,97
1951,5035,0,100
1951,5037,0,100
1951,5039,0,100
1951,5041,0,100
1951,5043,0,92
1951,5045,0,100
1951,5047,0,97
1951,5049,0,82
1951,5051,0,92
1951,5053,0,97
1951,5055,0,97
1951,5057,0,92
1951,5059,4542.156,37
1951,5061,0,92
1951,5063,0,97
1951,5065,0,100
1951,5067,0,100
1951,5069,0,100
1951,5071,0,92
1951,5073,0,87
1951,5075,0,100
1951,5077,0,100
1951,5079,0,100
1951,5081,0,97
1951,5083,0,87
1951,5085,151639.2,37
1951,5087,0,97
1951,5089,0,97
1951,5091,0,92
1951,5093,0,100
1951,5095,0,100
1951,5097,0,87
1951,5099,0,92
1951,5101,0,97
1951,5103,0,92
1951,5105,0,97
1951,5107,0,100
1951,5109,0,87
1951,5111,0,97
1951,5113,3832.608,37
1951,5115,0,97
1951,5117,0,97
1951,5119,0,100
1951,5121,0,100
1951,5123,0,97
1951,5125,14120.64,37
1951,5127,0,97
1951,5129,0,97
1951,5131,0,92
1951,5133,0,97
1951,5135,0,100
1951,5137,0,92
1951,5139,0,77
1951,5141,0,97
1951,5143,0,92
1951,5145,0,77
1951,5147,0,100
1951,5149,0,97
1951,6001,279463.2,37
1951,6003,0,77
1951,6005,8540.028,37
1951,6007,0,82
1951,6009,0,100
1951,6011,0,72
1951,6013,0,100
1951,6015,0,100
1951,6017,0,100
