"filepath","choice","costs","objective","exclcosts"
"currentprofits-pfixed-lybymc.csv","optimal",0.0,4.192762964371772e10,4.192762964371772e10
"currentprofits-pfixed-lybymc.csv","observed",NaN,3.5967892710187454e10,3.5967892710187454e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",0.0,3.1624107483717262e10,3.1624107483717262e10
"all2050profits-pfixed-notime-histco-lybymc.csv","observed",NaN,2.407077310970276e10,2.407077310970276e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",0.0,2.8380960305797203e10,2.8380960305797203e10
"all2070profits-pfixed-notime-histco-lybymc.csv","observed",NaN,1.9657651843154415e10,1.9657651843154415e10
"currentprofits-pfixed-lybymc.csv","optimal",1.0,4.188079510077657e10,4.192748898551446e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",1.0,3.15718410871797e10,3.162391211573694e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",1.0,2.832975393763116e10,2.838083130018395e10
"currentprofits-pfixed-lybymc.csv","optimal",1.0069386314760276,4.188047110911787e10,4.192748898551446e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",1.0069386314760276,3.1571479785501972e10,3.1623912115736942e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",1.0069386314760276,2.8329399530635563e10,2.838083130018395e10
"currentprofits-pfixed-lybymc.csv","optimal",1.013925407558815,4.188014486940098e10,4.192748898551446e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",1.013925407558815,3.157111597688512e10,3.1623912115736942e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",1.013925407558815,2.8329042664540615e10,2.838083130018395e10
"currentprofits-pfixed-lybymc.csv","optimal",1.0209606623060468,4.187981636602666e10,4.192748898551446e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",1.0209606623060468,3.1570749643934265e10,3.1623912115736942e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",1.0209606623060468,2.832868332228323e10,2.838083130018395e10
