fips,profit,crop,yield,price,costs
48389,7278.628318468787,Corn,1744.7904562534084,4.3357861635220125,286.40999999999997
28119,5848.835603038696,Corn,1415.0249508741824,4.3357861635220125,286.40999999999997
51550,2596.7826860398436,Cotton,3324.5113302217387,0.9331695331695331,505.5499999999999
56025,1056.1489877905058,Rice,13294.327325579696,0.11300000000000002,446.11000000000007
13065,2026.6104260614836,Corn,470.4016919802176,4.9799999999999995,315.99000000000007
18075,2384.7452930966456,Corn,618.0385898211651,4.331437125748503,292.25
1121,2055.8024940115474,Corn,476.26355301436706,4.9799999999999995,315.99000000000007
17057,3511.1755657110516,Corn,878.0978357278573,4.331437125748503,292.25
26163,2760.94211238568,Corn,682.411870271283,4.472243589743591,290.97
18033,3022.376758907887,Corn,765.2487298508565,4.331437125748503,292.25
26101,3196.2826076886577,Corn,779.75462152512,4.472243589743591,290.97
30043,1122.9046550036874,Cotton,1671.4575068634565,0.9493538713893943,463.9
20077,3798.3441490526207,Corn,935.6923424790567,4.347042253521127,269.1499999999999
37173,2652.9732213905486,Cotton,3283.1521683573646,0.9493538713893943,463.9
13091,4665.742478485167,Corn,1000.3478872460175,4.9799999999999995,315.99000000000007
47005,1482.7275335326117,Corn,408.03154648556733,4.3357861635220125,286.40999999999997
28099,1756.7100237628474,Cotton,2573.147114530612,0.9055176093916756,573.32
45089,1597.7055983571133,Cotton,2253.8836980814776,0.9331695331695331,505.5499999999999
39171,2873.606649146042,Corn,730.9021364586838,4.331437125748503,292.25
41067,72926.2257636746,Cotton,56316.44266489537,1.30784140969163,726.7499999999999
51197,747.7437691578481,Cotton,1276.282538759323,0.9493538713893943,463.9
36053,1778.8993532293282,Corn,462.82571861162893,4.472243589743591,290.97
48499,3410.596648290846,Corn,748.3105719459531,4.9799999999999995,315.99000000000007
40045,21085.759518297607,Corn,4912.514825684067,4.347042253521127,269.1499999999999
51071,1623.1003751975845,Cotton,2198.3376674318783,0.9493538713893943,463.9
26081,3289.071821697169,Corn,800.5024211801543,4.472243589743591,290.97
48423,3046.048311194998,Corn,675.1080946174695,4.9799999999999995,315.99000000000007
18139,2298.2408484399834,Corn,598.0672864995882,4.331437125748503,292.25
51735,2133.19228098414,Corn,491.80367088034944,4.9799999999999995,315.99000000000007
13209,1337.9313502460718,Cotton,1934.194469589656,0.9331695331695331,466.9999999999999
17195,2429.354538773282,Corn,628.3375378103796,4.331437125748503,292.25
31013,14251.48152707417,Corn,3630.5166566482794,3.9981944444444446,264.03
24043,1203.0313817560193,Wheat,233.29543325504753,5.771786283891547,143.5
35051,4320.625001888862,Cotton,5039.7698330198355,0.9493538713893943,463.9
48459,10153.906095608756,Corn,2102.3887742186257,4.9799999999999995,315.99000000000007
42081,1725.6593013662828,Cotton,2306.3679070079825,0.9493538713893943,463.9
21053,1878.5196985230425,Corn,451.66125819415055,4.735185185185185,260.18
21071,3078.2731069918877,Corn,705.0311606474851,4.735185185185185,260.18
19047,4015.385293661471,Corn,994.5048649221893,4.331437125748503,292.25
41009,85135.30021812115,Cotton,65651.72931660435,1.30784140969163,726.7499999999999
27111,7779.804134121457,Corn,1863.5972079882258,4.331437125748503,292.25
6019,5305.301226056117,Cotton,4612.219173789877,1.30784140969163,726.7499999999999
39169,1702.1296893704884,Corn,445.6599130560238,4.472243589743591,290.97
17041,2792.8728406515306,Corn,712.2631013877177,4.331437125748503,292.25
53051,2762.7330930016456,Cotton,3398.7675094002802,0.9493538713893943,463.9
51685,3286.379982320516,Corn,723.367466329421,4.9799999999999995,315.99000000000007
6051,5388.885533955574,Cotton,6165.019926015501,0.9493538713893943,463.9
27093,5894.854855545017,Corn,1383.1591977081177,4.472243589743591,290.97
18127,2553.0163718117005,Corn,656.8873769165051,4.331437125748503,292.25
45049,2107.2700924565806,Cotton,1931.732757301414,1.30784140969163,419.13
42005,1558.0691875224882,Corn,383.98692266802647,4.735185185185185,260.18
22021,7559.200571093766,Corn,1581.3635684927242,4.9799999999999995,315.99000000000007
29117,2466.370576199734,Rice,25774.164391148086,0.11300000000000002,446.11000000000007
38049,5088.233312687122,Corn,1338.670088975832,3.9981944444444446,264.03
29039,2282.317524700474,Corn,594.3910646643799,4.331437125748503,292.25
41013,4962.72206347968,Corn,1210.6528932727037,4.3357861635220125,286.40999999999997
54081,4613.5805285595225,Corn,1029.2650314517568,4.735185185185185,260.18
48053,2315.134210348373,Rice,24435.789472109493,0.11300000000000002,446.11000000000007
36061,3492.411325023288,Cotton,4167.372614421601,0.9493538713893943,463.9
40065,10749.501267397938,Corn,2534.746759931485,4.347042253521127,269.1499999999999
13231,745.280632457944,Rice,10543.27993325614,0.11300000000000002,446.11000000000007
47039,1974.7180083295307,Corn,521.5035804470551,4.3357861635220125,286.40999999999997
40149,7521.2870850128875,Corn,1792.123616627511,4.347042253521127,269.1499999999999
26105,2782.3480109313423,Corn,687.1982594998916,4.472243589743591,290.97
37035,1467.90538410913,Corn,358.21192451990566,4.9799999999999995,315.99000000000007
21001,2663.6432181637674,Wheat,563.9029486031393,4.905849889624725,102.78
42111,1637.464872039454,Cotton,2213.4684814252387,0.9493538713893943,463.9
6025,40085.56463539116,Corn,9311.338962020329,4.3357861635220125,286.40999999999997
19029,3108.1943893915536,Corn,785.0614682081833,4.331437125748503,292.25
27151,8222.234901798358,Corn,1965.7413127812615,4.331437125748503,292.25
37089,1848.586455211061,Cotton,2435.8529784333223,0.9493538713893943,463.9
13165,3263.2473490879297,Corn,718.7223592546045,4.9799999999999995,315.99000000000007
21099,1980.6216786186787,Cotton,2574.932016700035,0.9493538713893943,463.9
20161,4277.294609408772,Corn,1045.8708115215875,4.347042253521127,269.1499999999999
8009,8329.1689150906,Corn,1977.9699422350718,4.347042253521127,269.1499999999999
29197,2683.071463783873,Rice,27691.871360919224,0.11300000000000002,446.11000000000007
17029,2772.5327511515225,Corn,707.5671797087222,4.331437125748503,292.25
55077,2920.5424254732343,Corn,718.0987262944149,4.472243589743591,290.97
18089,2437.446924835879,Corn,630.205829055909,4.331437125748503,292.25
21207,1842.4655582251255,Corn,444.0471652098427,4.735185185185185,260.18
1119,1254.8032238601259,Corn,315.4203260763305,4.9799999999999995,315.99000000000007
36033,4366.703637774825,Corn,1041.4624213351192,4.472243589743591,290.97
17083,2145.4064611070335,Corn,562.7823723023081,4.331437125748503,292.25
