fips,naics,year,MGwithdrawal,MG_min_of_min_withdrawal,MG_max_of_maxwithdrawl,fix_revenue2015dollar,hours,materials_2015dollar,labor_2015dollar,ln_fix_revenue,ln_MGwithdrawal,ln_hours,ln_materials
36001,333,2014,0,.,.,578476.7,694.6,179072.6,51376.48,6.360398,.,6.543336,12.09555
36001,335,2009,0,.,.,163049.2,349.5934,76553.38,19863.76,5.094052,.,5.856771,11.24574
36001,335,2010,0,.,.,141519.6,288.484,67560.72,17964.04,4.952438,.,5.664639,11.12078
36001,335,2011,0,.,.,117702.2,224.6967,57444.77,15808.5,4.768158,.,5.414752,10.95858
36001,335,2012,0,.,.,98510.42,166.2652,49430.7,14061.68,4.590162,.,5.113584,10.80833
36001,335,2013,0,.,.,82779.02,113.1895,42987.7,12597.83,4.416175,.,4.729064,10.66867
36001,335,2014,0,.,.,67376.77,60.11384,36663.56,11156.01,4.2103,.,4.09624,10.50954
36003,311,2009,204.4,189.8,335.8,202414.6,746.8651,146298,24433.32,5.310318,5.320079,6.615885,11.8934
36003,311,2010,200.75,189.8,335.8,176277.5,622.3676,131507.5,21952.22,5.172059,5.302061,6.433531,11.78682
36003,311,2011,189.8,189.8,335.8,147895.1,492.346,114740,19233.33,4.996503,5.245971,6.199182,11.65042
36003,311,2012,197.1,189.8,335.8,123976.5,373.3725,101289.1,16885.2,4.820092,5.283711,5.922576,11.52573
36003,311,2013,208.05,189.8,335.8,104962.3,265.447,90203.98,14758.34,4.653602,5.337779,5.581415,11.40983
36003,311,2014,222.65,189.8,335.8,91964.48,157.5215,79294.77,12669.71,4.521402,5.405601,5.059562,11.28093
36003,312,2009,0,.,.,3470.871,8.858811,2531.991,436.3722,1.244406,.,2.181413,7.836761
36003,312,2010,0,.,.,3521.286,9.466121,2677.687,455.746,1.258826,.,2.247719,7.892709
36003,312,2011,0,.,.,3500.01,10.0437,2769.188,465.8795,1.252766,.,2.306946,7.92631
36003,312,2012,0,.,.,3546.487,10.68074,2897.488,483.0199,1.265957,.,2.368442,7.9716
36003,312,2013,0,.,.,3643.278,11.37723,3051.756,505.2014,1.292884,.,2.431614,8.023473
36003,312,2014,0,.,.,3730.748,12.07372,3196.008,525.8259,1.316609,.,2.491031,8.069658
36003,322,2009,0,.,.,0,0,0,0,.,.,.,.
36003,322,2010,0,.,.,0,0,0,0,.,.,.,.
36003,322,2011,0,.,.,0,0,0,0,.,.,.,.
36003,322,2012,0,.,.,0,0,0,0,.,.,.,.
36003,322,2013,0,.,.,0,0,0,0,.,.,.,.
36003,322,2014,0,.,.,0,0,0,0,.,.,.,.
36003,324,2009,0,.,.,0,0,0,0,.,.,.,.
36003,324,2010,0,.,.,0,0,0,0,.,.,.,.
36003,324,2011,0,.,.,0,0,0,0,.,.,.,.
36003,324,2012,0,.,.,0,0,0,0,.,.,.,.
36003,324,2013,0,.,.,0,0,0,0,.,.,.,.
36003,324,2014,0,.,.,0,0,0,0,.,.,.,.
36003,325,2009,0,.,.,3218.26,8.163289,2420.762,404.119,1.168841,.,2.099647,7.791838
36003,325,2010,0,.,.,3355.596,9.002439,2604.732,434.5909,1.210629,.,2.197496,7.865085
36003,325,2011,0,.,.,3446.47,9.889143,2745.614,459.0435,1.237351,.,2.291437,7.91776
36003,325,2012,0,.,.,3546.487,10.68074,2897.488,483.0199,1.265957,.,2.368442,7.9716
36003,325,2013,0,.,.,3643.278,11.37723,3051.756,505.2014,1.292884,.,2.431614,8.023473
36003,325,2014,0,.,.,3730.748,12.07372,3196.008,525.8259,1.316609,.,2.491031,8.069658
36003,326,2009,0,.,.,20156.46,51.12796,15161.62,2531.06,3.003525,.,3.934332,9.626522
36003,326,2010,0,.,.,21016.62,56.3837,16313.85,2721.911,3.045314,.,4.03218,9.69977
36003,326,2011,0,.,.,21585.78,61.93726,17196.22,2875.062,3.072035,.,4.126122,9.752444
36003,326,2012,0,.,.,22212.2,66.89516,18147.43,3025.229,3.100642,.,4.203126,9.806284
36003,326,2013,0,.,.,22818.43,71.25739,19113.64,3164.155,3.127568,.,4.266298,9.858157
36003,326,2014,0,.,.,23366.27,75.61961,20017.11,3293.33,3.151293,.,4.325716,9.904343
36003,327,2009,0,.,.,55538.04,165.1728,30479.75,6686.768,4.017068,.,5.106992,10.32482
36003,327,2010,0,.,.,55164.07,191.1152,24881.26,6774.475,4.010312,.,5.252876,10.12187
36003,327,2011,0,.,.,53962.87,218.1935,18915.55,6769.785,3.988296,.,5.385382,9.847739
36003,327,2012,0,.,.,53383.95,243,13930.92,6805.607,3.97751,.,5.493062,9.541866
36003,327,2013,0,.,.,53158.72,265.5346,9685.677,6852.889,3.973282,.,5.581745,9.178404
36003,327,2014,0,.,.,52846.88,288.0692,5551.484,6886.703,3.967399,.,5.663201,8.62182
36003,331,2009,0,.,.,0,0,0,0,.,.,.,.
36003,331,2010,0,.,.,0,0,0,0,.,.,.,.
36003,331,2011,0,.,.,0,0,0,0,.,.,.,.
36003,331,2012,0,.,.,0,0,0,0,.,.,.,.
36003,331,2013,0,.,.,0,0,0,0,.,.,.,.
36003,331,2014,0,.,.,0,0,0,0,.,.,.,.
36003,332,2009,0,.,.,493116.7,1285.671,352382.2,59104.54,6.200746,.,7.159036,12.77247
36003,332,2010,0,.,.,421640.5,1216.781,311361.1,52507.59,6.044153,.,7.103964,12.64871
36003,332,2011,0,.,.,342633.4,1141.368,264450.1,45142.36,5.836661,.,7.039983,12.48541
36003,332,2012,0,.,.,279799.1,1079,228596.6,39149.82,5.634072,.,6.98379,12.33971
36003,332,2013,0,.,.,235427.3,1029.676,201290.2,34137.03,5.461402,.,6.936999,12.2125
36003,332,2014,0,.,.,203669.5,980.3512,174454,29215.47,5.316498,.,6.887911,12.06942
36003,333,2009,0,.,.,253903.7,644.0405,190985.5,31882.86,5.536955,.,6.467762,12.15995
36003,333,2010,0,.,.,264738.8,710.245,205499.7,34286.93,5.578744,.,6.56561,12.2332
36003,333,2011,0,.,.,271908.3,780.2013,216614.5,36216.12,5.605465,.,6.659552,12.28587
36003,333,2012,0,.,.,279799.1,842.6541,228596.6,38107.73,5.634072,.,6.736557,12.33971
36003,333,2013,0,.,.,287435.5,897.6035,240767.6,39857.72,5.660998,.,6.799728,12.39159
36003,333,2014,0,.,.,294336.4,952.5529,252148.3,41484.89,5.684723,.,6.859146,12.43777
36003,335,2009,0,.,.,971.6203,2.734269,793.816,132.3315,-0.0287902,.,1.005864,6.676852
36003,335,2010,0,.,.,1882.007,5.383093,1537.604,256.3233,0.632339,.,1.683263,7.337981
36003,335,2011,0,.,.,2780.067,8.202808,2271.322,378.6361,1.022475,.,2.104477,7.728117
36003,335,2012,0,.,.,3546.487,10.68074,2897.488,483.0199,1.265957,.,2.368442,7.9716
36003,335,2013,0,.,.,4194.346,12.81689,3426.791,571.2564,1.433738,.,2.550764,8.13938
36003,335,2014,0,.,.,4815.292,14.95304,3934.104,655.827,1.571797,.,2.704914,8.277438
36005,311,2009,0,.,.,472961.2,1960.802,231261.6,63108.71,6.159013,.,7.581109,12.35131
36005,311,2010,0,.,.,456625.4,1760.202,236092.3,56534.33,6.123863,.,7.473184,12.37198
36005,311,2011,0,.,.,432926.8,1551.734,237013.9,49213.34,6.070569,.,7.347128,12.37587
36005,311,2012,0,.,.,417146.6,1359,240492.9,43139.84,6.033438,.,7.214504,12.39045
36005,311,2013,0,.,.,406712.9,1182,245485.3,37910.84,6.008108,.,7.074963,12.41099
36005,311,2014,0,.,.,395879.4,1005,249895.6,32772.99,5.98111,.,6.912743,12.4288
36005,312,2009,0,.,.,13727.11,60.639,6115.945,1988.438,2.619373,.,4.104938,8.718655
36005,312,2010,0,.,.,10184.54,42.426,4486.144,1434.77,2.320871,.,3.747761,8.408749
36005,312,2011,0,.,.,6479.84,23.38798,2785.036,862.1512,1.868696,.,3.152222,7.932016
36005,312,2012,0,.,.,3364.438,6,1352.382,371.9318,1.213261,.,1.791759,7.209623
36005,312,2013,0,.,.,710.2552,.,130.2283,.,-0.342131,.,.,4.869289
36005,312,2014,.,.,.,.,.,.,.,.,.,.,.
36005,322,2009,0,.,.,82643.67,393.9467,38875.18,11564.57,4.414538,.,5.976216,10.56811
36005,322,2010,0,.,.,58938.96,303.6312,29443.72,8289.25,4.076502,.,5.715814,10.29024
36005,322,2011,0,.,.,34405.18,210.5468,19590.6,4981.62,3.538207,.,5.349708,9.882805
36005,322,2012,0,.,.,13483.5,123,11240.76,2005.747,2.601467,.,4.812184,9.327302
