Irrigation
39962.27932
151545.3176
5432.6025
53517.75975
138164.7735
69501.978
67866.94838
29888.14725
58634.56463
0
221014.17
75813.51375
12934.45238
27255.76425
130806.468
11.041875
16341.975
3723.32025
28141.32263
18627.64313
17355.61913
18658.56038
71310.63713
0
60834.10613
93222.13388
5370.768
25729.77713
131519.7731
5093.819547
6757.6275
243440.2181
7886.107125
136256.7375
115983.855
24983.34638
10615.65863
207591.6668
166301.6794
0
51949.8135
138279.609
155485.0586
222783.0784
96179.148
21692.86763
8305.698375
161089.9144
16646.73075
176440.329
40996.2735
56638.19363
206737.0256
102839.607
199893.2715
0
27988.94475
84156.7545
9312.717375
980.5185
103775.958
662273.9955
514546.9583
