fips,x
8001,35821.40093
8003,7799.828255
8005,139057.7252
8007,366.3361959
8009,1278.66037
8011,2109.78961
8013,528.9382821
8015,4141.010929
8017,1598.325462
8019,549.6331125
8021,8375.225421
8023,1981.923573
8025,2109.78961
8027,1214.727351
8029,14921.27998
8031,0
8033,92.06354661
8035,94832.09961
8037,17929.9254
8039,3708.115072
8041,63825.56803
8043,0
8045,3913.421103
8047,159.2294021
8049,4444.623445
8051,4554.85001
8053,895.0622587
8055,69.30144207
8057,753.7366399
8059,9589.413778
8061,1214.727351
8063,8055.560328
8065,858.5904024
8067,4648.335708
8069,958.920239
8071,2107.974475
8073,2621.253758
8075,9526.019753
8077,686.5902393
8079,767.1962218
8081,1110.415587
8083,268.3270128
8085,1054.727441
8087,13774.61343
8089,8630.957495
8091,601.1391761
8093,1199.684289
8095,4155.646201
8097,977.0518924
8099,9973.550883
8101,939.9394592
8103,2887.080516
8105,5370.373552
8107,2537.353671
8109,4667.110349
8111,0
8113,1991.759425
8115,2621.253758
8117,10315.2257
8119,2486.951513
8121,1598.325462
8123,6163.253208
8125,5498.239589
