"collection","colid","area","lat","lon","elev","MAXCAP","fips","height","normcap"
"reservoir",2476,"7106.9325600000002",32.7066,-93.9184,"NA",931277400,22017,10.3632,129000
"reservoir",2477,"NA",32.475,-88.7984,"NA",175585878,28075,20.4216,42110
"reservoir",2478,"3809.8752899999999",32.5833,-101.135,"NA",444052800,48415,30.48,204000
"reservoir",2479,"42216.837",32.3233,-86.7834,"NA",288881016,1085,21.336,234200
"reservoir",2480,"38.849850000000004",32.685,-95.5517,"NA",19711010.4,48499,15.24,7990
"reservoir",2481,"297.84885000000003",32.6483,-98.8684,"NA",47170742.16,48429,15.24,9515
"reservoir",2482,"NA",32.195,-85.525,"NA",9867840,1011,15.24,6400
"reservoir",2483,"1238.01522",32.6166,-99.6684,"NA",156651960,48253,25.6032,76800
"reservoir",2484,"NA",32.6516,-93.655,"NA",94977960,22015,10.0584,25000
"reservoir",2485,"NA",32.6483,-93.6617,"NA",22202640,22015,9.4488,6600
"reservoir",2486,"1193.9853900000001",32.6466,-98.2683,"NA",210598207.8,48363,28.3464,44100
"reservoir",2487,"1111.10571",32.65,-97.45,"NA",505726800,48439,37.7952,88250
"reservoir",2488,"NA",32.585,-92.0617,"NA",13148896.8,22073,4.572,9660
"reservoir",2489,"600.87768000000005",32.6416,-96.9959,"NA",328105680,48113,32.9184,142900
"reservoir",2490,"82.879679999999993",32.555,-92.12,"NA",16651980,22073,10.668,13500
"reservoir",2491,"77.699700000000007",32.6116,-95.2517,"NA",40174443.6,48499,17.3736,11890
"reservoir",2492,"90.649649999999994",32.555,-94.9584,"NA",16841935.92,48459,14.0208,6950
"reservoir",2493,"7692.2703000000001",32.4,-90.0634,"NA",557532960,28121,15.8496,340000
"reservoir",2494,"663.03743999999995",32.5133,-93.7967,"NA",265198200,22017,15.24,78970
"reservoir",2495,"269.35896000000002",32.4389,-100.307,"NA",23855503.2,48353,21.0312,11900
"reservoir",2496,"362.59859999999998",32.45,-92.1734,"NA",65374440,22073,6.7056,15000
"reservoir",2497,"9712.4624999999996",31.848,-83.942,"NA",90870471.6,13321,12.8016,73670
"reservoir",2498,"NA",31.4933,-110.868,"NA",14086341.6,4023,29.8704,7540
"reservoir",2499,"67.339740000000006",32.44,-98.9834,"NA",40458144,48133,29.2608,26000
"reservoir",2500,"113.95956",32.385,-99.7284,"NA",21969512.28,48441,15.24,7620
"reservoir",2501,"53612.792999999998",32.1016,-87.4,"NA",409268664,1131,16.764,331800
"reservoir",2502,"833.97677999999996",32.3183,-100.917,"NA",87207036,48335,24.6888,31640
"reservoir",2503,"670.80741",32.36,-98.675,"NA",89118930,48133,27.432,27290
"reservoir",2504,"525.76796999999999",32.2816,-100.86,"NA",111259896,48335,35.052,42500
"reservoir",2505,"41732.508869999998",32.3733,-97.6884,"NA",296827094.2,48221,24.0792,153485
"reservoir",2506,"95.570631000000006",32.318,-99.4787,"NA",20414094,48059,19.2024,5748
"reservoir",2507,"409.21841999999998",32.3616,-94.605,"NA",124632052.7,48183,11.8872,46700
"reservoir",2508,"3776.2054199999998",32.325,-93.4267,"NA",392246640,22015,13.1064,10500
"reservoir",2509,"119.13954",32.3166,-93.1534,"NA",61674000,22013,10.668,16800
"reservoir",2510,"77.699700000000007",32.3416,-96.805,"NA",29187837.24,48139,18.8976,13500
"reservoir",2511,"688.93733999999995",32.3166,-93.67,"NA",330202596,22031,13.1064,7800
"reservoir",2512,"165.75935999999999",32.2883,-97.76,"NA",282466920,48425,46.3296,151500
"reservoir",2513,"264.17898000000002",32.235,-99.8884,"NA",19723345.2,48441,16.764,7923
"reservoir",2514,"258.99900000000002",32.2883,-97.4167,"NA",82273116,48251,23.7744,25600
"reservoir",2515,"336.69869999999997",32.2717,-94.5517,"NA",224863404,48401,16.764,77619
"reservoir",2516,"461.01821999999999",32.2666,-96.6334,"NA",331066032,48139,23.7744,54900
"reservoir",2517,"NA",32.1716,-91.9451,"NA",17268720,22021,7.9248,12000
"reservoir",2518,"40481.543700000002",32.1683,-92.11,"NA",193409664,22021,9.144,94900
"reservoir",2519,"2608.1199299999998",32.2347,-96.1406,"NA",1338325800,48213,27.432,679200
"reservoir",2520,"NA",32.2283,-95.965,"NA",66977964,48213,13.716,20038
"reservoir",2521,"277.12893000000003",32.2116,-95.1717,"NA",105844918.8,48423,15.24,42500
"reservoir",2522,"NA",32.1716,-92.9867,"NA",26396472,22013,14.9352,7750
"reservoir",2523,"54.389789999999998",32.205,-95.7234,"134.11199999999999",57973560,48213,17.3736,32840
"reservoir",2524,"53612.792999999998",31.9017,-103.91,"-0.13106400000000001",499559400,48301,29.8704,310000
"reservoir",2525,"19321.325400000002",31.6267,-85.0634,"NA",1152563712,13061,30.7848,924600
"reservoir",2526,"530.94794999999999",32.1166,-93.5634,"NA",51806160,22031,4.572,11500
"reservoir",2527,"631.95755999999994",32.04,-100.267,"NA",97859369.28,48081,28.956,39360
"reservoir",2528,"NA",32.1116,-96.1034,"NA",9596474.4,48213,5.4864,6240
"reservoir",2529,"NA",32.03,-99.465,"NA",113085446.4,48083,27.432,38846
"reservoir",2530,"31.079879999999999",32.0766,-96.4034,"NA",17762112,48349,14.9352,7357
"reservoir",2531,"2173.0016099999998",32.055,-95.4384,"NA",1288986600,48001,22.86,411840
"reservoir",2532,"297.84885000000003",32.0333,-94.42,"NA",113480160,48365,14.0208,44650
"reservoir",2533,"47914.815000000002",31.7567,-88.1284,"NA",235347984,NA,15.8496,190800
"reservoir",2534,"3260.7974100000001",31.9667,-98.5,"NA",534096840,48093,24.6888,59400
"reservoir",2535,"12996.569820000001",31.895,-100.515,"NA",999118800,48081,42.3672,488760
"reservoir",2536,"422.16836999999998",31.905,-91.7717,"NA",135682800,22041,10.668,20500
"reservoir",2537,"828.79679999999996",31.95,-96.7,"NA",414202584,48349,23.4696,63300
"reservoir",2538,"5179.9799999999996",31.95,-96.1,"NA",1455506400,48161,30.48,1135000
"reservoir",2539,"471.37817999999999",31.935,-94.975,"NA",98678400,48401,12.192,26960
"reservoir",2540,"308.20881000000003",31.615,-87.55,"NA",118858132.8,1099,10.668,96360
"reservoir",2541,"NA",31.6978,-88.787,"NA",7863435,28153,7.3152,5100
"reservoir",2542,"660.44745",31.9133,-97.2084,"NA",443929452,48217,31.6992,52400
"reservoir",2543,"NA",31.7017,-89.02,"NA",28863432,28067,5.1816,18000
"reservoir",2544,"106.18959",31.9083,-95.3084,"NA",69177258.84,48073,22.86,30500
"reservoir",2545,"124.31952",31.85,-99.5667,"NA",60798229.2,48083,26.2128,8640
"reservoir",2546,"1087.7958000000001",31.8583,-92.95,"NA",150484560,22069,6.096,52000
"reservoir",2547,"NA",31.8483,-92.9584,"NA",345374400,22069,9.144,109000
"reservoir",2548,"3975.63465",31.8383,-99.0017,"NA",552845736,48049,36.576,118900
"reservoir",2549,"67780.0383",31.85,-97.3667,"NA",2590801392,48035,45.1104,627100
"reservoir",2550,"NA",31.385,-85.7217,"NA",11101320,1045,11.2776,6060
"reservoir",2551,"NA",31.8183,-96.0417,"NA",87379723.2,48161,21.9456,50600
"reservoir",2552,"1675.72353",31.4067,-86.4817,"NA",37004400,1039,10.668,30000
"reservoir",2553,"103.5996",31.755,-93.1084,"NA",69938316,22069,9.7536,19500
"reservoir",2554,"21271.587869999999",31.26,-85.11,"NA",22424666.4,13099,13.1064,18180
"reservoir",2555,"3281.5173300000001",31.3667,-86.52,"NA",9867840,1039,12.4968,8000
"reservoir",2556,"NA",31.705,-94.3634,"NA",16651980,48419,18.8976,7380
"reservoir",2557,"208.235196",31.6167,-92.785,"NA",43788540,22043,9.7536,11200
"reservoir",2558,"4918.3910100000003",31.5783,-91.9784,"NA",208458120,22025,16.1544,43
"reservoir",2559,"512.81802000000005",31.6433,-96.5784,"NA",55506600,48293,15.24,10000
"reservoir",2560,"88.059659999999994",31.5667,-92.9717,"NA",19735680,22069,8.2296,12000
"reservoir",2561,"4276.0734899999998",31.6,-97.2167,"NA",1021691484,48309,41.148,152500
"reservoir",2562,"626.77757999999994",31.555,-92.66,"NA",205991160,22043,9.144,31000
"reservoir",2563,"227.660121",31.5883,-94.8267,"NA",150484560,48347,21.6408,42318
"reservoir",2564,"NA",31.4833,-91.8617,"NA",184158564,22025,10.668,123700
"reservoir",2565,"NA",31.5533,-96.98,"NA",72722280.36,48309,16.4592,37814
"reservoir",2566,"3581.9561699999999",31.4667,-100.483,"NA",858872124,48451,37.1856,119200
"reservoir",2567,"9927.4316699999999",31.3883,-100.478,"NA",52422900,48451,14.3256,13990
"reservoir",2568,"NA",31.2617,-102.847,"NA",10484580,48371,7.62,6000
"reservoir",2569,"7285.6418700000004",31.3767,-100.533,"NA",1341429236,48451,37.7952,186203
"reservoir",2570,"NA",31.4567,-96.9867,"NA",13050218.4,48309,16.1544,8500
"reservoir",2571,"NA",31.4517,-94.7,"NA",33748012.8,48005,11.5824,16200
"reservoir",2572,"NA",31.3817,-93.4034,"NA",8412333.6,22085,11.2776,6200
"reservoir",2573,"753.68709000000001",31.3333,-91.935,"NA",155418480,22025,10.668,15000
"reservoir",2574,"126.90951",31.4067,-95.605,"NA",33303960,48225,18.8976,19500
"reservoir",2575,"NA",31.325,-92.7334,"NA",60687216,22079,12.8016,25000
"reservoir",2576,"NA",31.2783,-92.6167,"NA",55814970,22079,9.4488,25000
"reservoir",2577,"1748.24325",31.3283,-96.3184,"NA",688131355.4,48395,18.8976,225400
"reservoir",2578,"44418.328500000003",30.7083,-84.8651,"NA",501039576,12063,16.1544,367300
"reservoir",2579,"NA",30.9583,-103.672,"NA",9438588.96,48389,13.4112,6350
"reservoir",2580,"300.43884000000003",31.1767,-93.3584,"NA",119647560,22115,17.0688,57000
"reservoir",2581,"NA",31.175,-93.5684,"NA",6514686294,48351,28.956,4477000
"reservoir",2582,"NA",31.2,-96.4612,"NA",87435229.8,48395,17.0688,30300
"reservoir",2583,"1354.56477",31.14,-99.3917,"NA",261991152,48307,31.6992,30430
"reservoir",2584,"NA",31.13,-92.4617,"NA",47118936,22079,10.3632,25000
"reservoir",2585,"551.66786999999999",31.0917,-93.3484,"NA",67841400,22115,10.9728,24000
"reservoir",2586,"9062.3750099999997",31.1,-97.4834,"NA",2314871916,48027,56.9976,457600
