collection,colid,area,lat,lon,elev,MAXCAP
reservoir,1,NA,48.8733,-122.688,NA,6907488
reservoir,2,145.03944,48.7583,-122.422,NA,94977960
reservoir,3,556.84785,48.6583,-121.687,NA,218552920.3
reservoir,4,556.84785,48.6483,-121.69,NA,389903028
reservoir,5,2587.40001,48.7317,-121.067,NA,2014766232
reservoir,6,2913.73875,48.7133,-121.13,NA,112986768
reservoir,7,3001.79841,48.6983,-121.207,NA,13296914.4
reservoir,8,769.22703,48.5483,-121.74,NA,199170015.6
reservoir,9,NA,48.9317,-119.418,NA,49339200
reservoir,10,797.71692,48.095,-123.555,NA,9991188
reservoir,11,NA,48.8116,-119.533,NA,17305724.4
reservoir,12,634.54755,48.0017,-123.598,NA,48229068
reservoir,13,NA,48.9866,-117.347,NA,150484560
reservoir,14,NA,48.5583,-119.745,NA,21314534.4
reservoir,15,NA,48.4683,-120.25,NA,7049338.2
reservoir,16,313.38879,48.5416,-119.747,NA,20475768
reservoir,17,132.607488,48.84,-117.288,NA,38495677.32
reservoir,18,NA,48.78,-117.41,NA,123348000
reservoir,19,NA,48.3616,-119.697,NA,8325990
reservoir,20,176.11932,47.975,-121.687,NA,59207040
reservoir,21,NA,47.945,-121.83,NA,16281936
reservoir,22,NA,47.665,-122.397,NA,564933840
reservoir,23,106.18959,47.385,-123.605,NA,93744480
reservoir,24,33.66987,48.2217,-118.893,NA,7894272
reservoir,25,243.45906,47.4216,-123.222,NA,589603440
reservoir,26,NA,47.3983,-123.2,NA,10792950
reservoir,27,NA,47.6933,-121.688,NA,82889856
reservoir,28,95.82963,48.275,-118.375,NA,23374446
reservoir,29,1481.47428,48.49,-116.902,NA,101145360
reservoir,30,NA,47.925,-120.177,NA,11673654.72
reservoir,31,194249.25,47.9966,-119.627,NA,731453640
reservoir,32,NA,47.9483,-119.862,NA,445532976
reservoir,33,165.75936,48.8303,-113.516,NA,111506592
reservoir,34,2463.08049,47.835,-120.012,NA,1469992389
reservoir,35,NA,47.4216,-122.102,NA,43869949.68
reservoir,36,NA,47.4183,-122.107,NA,43869949.68
reservoir,37,NA,48.2317,-117.287,NA,15568984.56
reservoir,38,191918.259,47.955,-118.983,NA,11577443280
reservoir,39,NA,48.2566,-117.075,NA,16738323.6
reservoir,40,NA,47.4116,-121.752,NA,215859000
reservoir,41,209.78919,47.41,-121.725,NA,92511000
reservoir,42,59310.771,48.18,-117,NA,3036827760
reservoir,43,23271.06015,48.4116,-115.308,NA,7434183960
reservoir,44,36.518859,48.0583,-117.65,NA,6895153.2
reservoir,45,NA,47.2416,-122.17,NA,71961223.2
reservoir,46,569.7978,47.2766,-121.785,NA,130748880
reservoir,47,229214.115,47.5316,-120.297,NA,508193760
reservoir,48,142.44945,47.3233,-121.338,NA,210925080
reservoir,49,621597.6,47.62,-119.303,NA,1572687000
reservoir,51,NA,46.69,-67.8917,NA,12088104
reservoir,52,165.75936,47.265,-121.205,NA,302202600
reservoir,53,129.4995,48.4933,-113.267,NA,25903080
reservoir,54,NA,47.5883,-119.34,NA,9574271.76
reservoir,55,15332.7408,47.8366,-117.838,NA,312070440
reservoir,56,NA,48.5666,-112.597,NA,6414096
reservoir,57,56565.3816,48.0866,-116.063,NA,138149760
reservoir,58,523.17798,47.245,-121.073,NA,875770800
reservoir,59,4283.84346,48.3416,-114.013,NA,4425726240
reservoir,60,85.46967,47.9166,-116.917,NA,6167400
reservoir,61,NA,47.7766,-117.543,NA,7154184
reservoir,62,232063.104,47.345,-120.092,NA,160352400
reservoir,63,NA,48.1833,-114.622,NA,24669600
reservoir,64,106.18959,47.8567,-116.863,NA,11212333.2
reservoir,65,NA,47.4483,-119.253,NA,94361220
reservoir,66,NA,48.7666,-109.312,NA,9251100
reservoir,67,NA,46.785,-122.717,NA,43171800
reservoir,68,82.87968,48.1166,-114.706,NA,32563872
reservoir,69,74.073714,47.7683,-117.077,NA,13938324
reservoir,70,1199.16537,48.5166,-111.405,NA,7400880
reservoir,71,NA,46.7416,-122.833,NA,9559470
reservoir,72,56547.25167,47.96,-115.733,NA,610572600
reservoir,73,173.52933,46.5567,-68.325,NA,80311882.8
reservoir,74,NA,46.5083,-68.095,NA,12581496
reservoir,75,NA,48.3433,-112.695,NA,37004400
reservoir,76,743.32713,46.8017,-122.308,NA,300969120
reservoir,77,161.356377,47.7517,-116.752,NA,90044040
reservoir,78,9753.90234,48.6016,-109.947,NA,278766480
