"month","flows","dataset"
23386,4.897921292004032e9,"observed"
23387,1.592554311315919e9,"observed"
23388,1.658797691359035e9,"observed"
23389,2.999953117073425e9,"observed"
23390,3.165513476293911e9,"observed"
23391,3.2680014287770786e9,"observed"
23392,3.240101806622787e9,"observed"
23393,3.3827038465519977e9,"observed"
23394,2.842295572733966e9,"observed"
23395,2.5799572883927236e9,"observed"
23396,1.8370976732195091e9,"observed"
23397,1.8938143335365124e9,"observed"
23398,1.6406009357191072e9,"observed"
23399,2.0728437552216372e9,"observed"
23400,2.685812596080981e9,"observed"
23401,3.1368404680854874e9,"observed"
23402,3.4098131640826726e9,"observed"
23403,3.8298057018817577e9,"observed"
23404,4.564160312842243e9,"observed"
23405,3.15266954973107e9,"observed"
23406,3.088347074008985e9,"observed"
23407,2.6695777017524576e9,"observed"
23408,1.5977831073546968e9,"observed"
23409,1.7688721311543105e9,"observed"
23410,1.8235962649421191e9,"observed"
23411,2.4986317144070635e9,"observed"
23412,3.2253071484085712e9,"observed"
23413,3.4134477982745733e9,"observed"
23414,3.1476757131497517e9,"observed"
23415,4.496620937686017e9,"observed"
23416,4.713153997759501e9,"observed"
23417,3.8950094197938385e9,"observed"
23418,2.663721812280632e9,"observed"
23419,1.848328227455478e9,"observed"
23420,1.5856928423039398e9,"observed"
23421,1.0031367396587445e9,"observed"
23422,6.443727443931286e8,"observed"
23423,1.092752532419645e9,"observed"
23424,1.9180612943918245e9,"observed"
23425,2.9934133847397118e9,"observed"
23426,2.8830921070817747e9,"observed"
23427,4.1013676592193303e9,"observed"
23428,4.099258667910339e9,"observed"
23429,4.882527331867674e9,"observed"
23430,2.8193100317527514e9,"observed"
23431,2.0459942098460693e9,"observed"
23432,1.4200552191483245e9,"observed"
23433,1.1162460680819287e9,"observed"
23434,1.1293672160128515e9,"observed"
23435,1.2727042539203625e9,"observed"
23436,2.3828421257524586e9,"observed"
23437,2.562640558575108e9,"observed"
23438,2.1092446444673672e9,"observed"
23439,2.603303128907387e9,"observed"
23440,3.2483094337893906e9,"observed"
23441,3.479929393456704e9,"observed"
23442,2.4102978526077743e9,"observed"
23443,1.6826643218153467e9,"observed"
23444,1.3834360275466213e9,"observed"
23445,1.233217112931521e9,"observed"
23446,1.7710253160935698e9,"observed"
