"month","flows","dataset"
23447,1.5689225731758308e9,"observed"
23448,1.8938715642656e9,"observed"
23449,1.7891832641851416e9,"observed"
23450,2.4493660503231597e9,"observed"
23451,3.447518430280764e9,"observed"
23452,3.5684546400750456e9,"observed"
23453,2.9161307468993754e9,"observed"
23454,2.3971041578458586e9,"observed"
23455,1.8603932672614694e9,"observed"
23456,1.680412326543522e9,"observed"
23457,1.1939124248095963e9,"observed"
23458,1.6820335695884757e9,"observed"
23459,1.7023138935464435e9,"observed"
23460,2.0440335156810796e9,"observed"
23461,2.1628142505744286e9,"observed"
23462,3.5923478051823816e9,"observed"
23463,3.48785853694045e9,"observed"
23464,3.746536618960949e9,"observed"
23465,3.686458023971422e9,"observed"
23466,2.6524203126630383e9,"observed"
23467,2.191027691838313e9,"observed"
23468,1.4621406988966482e9,"observed"
23469,1.0751176717371895e9,"observed"
23470,1.3203895846726227e9,"observed"
23471,1.1541694428083124e9,"observed"
23472,1.9390509965306215e9,"observed"
23473,2.0307122563998566e9,"observed"
23474,2.846272765779323e9,"observed"
23475,3.19345533329638e9,"observed"
23476,4.795141631997664e9,"observed"
23477,5.014744830632226e9,"observed"
23478,4.1912079993019295e9,"observed"
23479,2.1967321028302774e9,"observed"
23480,1.3821979138039205e9,"observed"
23481,1.7526683295293376e9,"observed"
23482,1.8897205992881575e9,"observed"
23483,3.330041041011696e9,"observed"
23484,3.5690488099598036e9,"observed"
23485,3.3099865305903435e9,"observed"
23486,3.5210413999716606e9,"observed"
23487,4.366877159733273e9,"observed"
23488,4.972213262774794e9,"observed"
23489,4.94957992189716e9,"observed"
23490,3.153431668435126e9,"observed"
23491,3.2380339730521393e9,"observed"
23492,2.034875438988669e9,"observed"
23493,1.9705750831441283e9,"observed"
23494,1.44696572324727e9,"observed"
23495,1.9404540324363418e9,"observed"
23496,1.636788991459197e9,"observed"
23497,2.3990784463699927e9,"observed"
23498,2.909540014430249e9,"observed"
23499,3.450343901572687e9,"observed"
23500,3.9469585758973475e9,"observed"
23501,3.3274792873689613e9,"observed"
23502,2.8016218324404078e9,"observed"
23503,2.346037478783252e9,"observed"
23504,1.7352260405346115e9,"observed"
23505,1.8641744429910326e9,"observed"
23506,3.162427774600026e9,"observed"
23507,2.4156017465901475e9,"observed"
23508,2.9315530013719854e9,"observed"
23509,3.1309721826703506e9,"observed"
23510,3.6755965455525703e9,"observed"
23511,3.8844297842729454e9,"observed"
23512,4.0131897701571865e9,"observed"
23513,3.8554121728225393e9,"observed"
23514,2.710700565766568e9,"observed"
23515,1.9824744532601025e9,"observed"
23516,1.7470547209325826e9,"observed"
23517,1.5684703268020597e9,"observed"
23518,1.7069740742610497e9,"observed"
23519,1.837080252864635e9,"observed"
23520,1.9208724083937917e9,"observed"
23521,1.9792706300304005e9,"observed"
23522,3.531581567821162e9,"observed"
23523,5.019717304076898e9,"observed"
23524,4.46949760690782e9,"observed"
23525,4.31628381857431e9,"observed"
23526,3.0307211101595383e9,"observed"
23527,2.339476020211786e9,"observed"
23528,1.709356942063426e9,"observed"
23529,1.9032501940930738e9,"observed"
23530,1.4569936977371325e9,"observed"
23531,2.282808847452911e9,"observed"
23532,3.385370924277131e9,"observed"
23533,3.2596585907952404e9,"observed"
23534,3.23302023157818e9,"observed"
23535,4.2872731698294673e9,"observed"
23536,4.412814047718999e9,"observed"
23537,3.0794959420445237e9,"observed"
23538,2.7952077625838118e9,"observed"
23539,2.0114824535052772e9,"observed"
23540,1.398750043813922e9,"observed"
23541,1.6748235463213027e9,"observed"
23542,1.8301341582597032e9,"observed"
23543,1.9912892431990466e9,"observed"
23544,1.8725486587843413e9,"observed"
23545,1.8139052257489965e9,"observed"
23546,2.1056679578075504e9,"observed"
23547,3.8092229625606594e9,"observed"
23548,2.9976170308564444e9,"observed"
23549,2.8960580402212853e9,"observed"
23550,2.4073464680997677e9,"observed"
23551,1.8040102603888376e9,"observed"
23552,1.200947197639122e9,"observed"
23553,1.0662938582689834e9,"observed"
23554,7.518429089599657e8,"observed"
23555,1.72059232421423e9,"observed"
23556,1.344046323551167e9,"observed"
23557,2.2773639700139465e9,"observed"
23558,2.0758335174822383e9,"observed"
23559,4.227910695875768e9,"observed"
23560,4.303868611877312e9,"observed"
23561,3.102547121460504e9,"observed"
23562,2.555402840714629e9,"observed"
23563,1.9763119196337304e9,"observed"
23564,1.749029035110288e9,"observed"
23565,1.7354662322506425e9,"observed"
23566,1.603903435975461e9,"observed"
23567,1.7234348100362668e9,"observed"
23568,3.0791201074609947e9,"observed"
23569,3.004883674228694e9,"observed"
23570,3.367179128355648e9,"observed"
23571,3.9134107787306566e9,"observed"
23572,4.1328512122412887e9,"observed"
23573,3.237647951676503e9,"observed"
23574,3.101422848964715e9,"observed"
23575,2.2657027619601765e9,"observed"
23576,1.6878472225682268e9,"observed"
23577,2.119881836852048e9,"observed"
23578,1.559824519247167e9,"observed"
23579,1.584777311005736e9,"observed"
23580,1.903379596816516e9,"observed"
23581,2.629392052824398e9,"observed"
23582,3.487056366013882e9,"observed"
23583,3.590586798150367e9,"observed"
23584,3.6465006791239157e9,"observed"
23585,3.621181535508999e9,"observed"
23586,2.0307701228556232e9,"observed"
23587,1.4753938315206578e9,"observed"
23588,1.5096518255231888e9,"observed"
23589,1.3302097973577747e9,"observed"
23590,1.275236279847998e9,"observed"
23591,1.6572400238416438e9,"observed"
23592,2.3193301692482185e9,"observed"
23593,2.304645281385877e9,"observed"
23594,2.059330270171526e9,"observed"
23595,2.9854395285641317e9,"observed"
23596,3.067843132554801e9,"observed"
23597,4.078287390875312e9,"observed"
23598,3.231829949124113e9,"observed"
23599,2.5304664834351196e9,"observed"
23600,1.7771180698678212e9,"observed"
23601,1.4989967496931996e9,"observed"
23602,1.8823956581482403e9,"observed"
23603,1.71612993281027e9,"observed"
23604,2.9684331035637608e9,"observed"
23605,3.0226143298376927e9,"observed"
23606,2.6290163788082285e9,"observed"
23607,3.6520015990525e9,"observed"
23608,3.5527840684883957e9,"observed"
23609,4.0008503160393806e9,"observed"
23610,3.146953895042901e9,"observed"
23611,2.1582972204936337e9,"observed"
23612,1.6355835263184805e9,"observed"
23613,1.5684342882585487e9,"observed"
23614,1.6728206013511896e9,"observed"
23615,2.311046445159366e9,"observed"
23616,2.792081421696363e9,"observed"
23617,3.0882534029739933e9,"observed"
23618,3.2391065573369455e9,"observed"
23619,3.5943998367745543e9,"observed"
23620,4.97908928994541e9,"observed"
23621,4.430246919348575e9,"observed"
23622,3.347878468261457e9,"observed"
23623,2.6329770123928413e9,"observed"
23624,1.7779530743405151e9,"observed"
23625,1.5211584716613097e9,"observed"
23626,1.8423856078580654e9,"observed"
23627,1.7614841811646328e9,"observed"
23628,2.461229252766547e9,"observed"
23629,2.860116859627827e9,"observed"
23630,2.7609649948089647e9,"observed"
23631,3.739610372386505e9,"observed"
23632,4.41102402286813e9,"observed"
23633,3.754093410235115e9,"observed"
23634,3.0027177297431173e9,"observed"
23635,1.738421477903955e9,"observed"
23636,1.4797340365616715e9,"observed"
23637,1.7007492427944994e9,"observed"
23638,2.2217850902842383e9,"observed"
23639,2.2362307503854733e9,"observed"
23640,2.3906329012522707e9,"observed"
23641,2.593371856157065e9,"observed"
23642,3.082129696333819e9,"observed"
23643,3.810716268779483e9,"observed"
23644,3.3475946031666803e9,"observed"
23645,3.834022037215441e9,"observed"
23646,2.7532216749695487e9,"observed"
23647,2.3483335256590786e9,"observed"
23648,1.956654263090538e9,"observed"
23649,1.8013084376921673e9,"observed"
23650,1.9024950063890624e9,"observed"
23651,1.7832413692775102e9,"observed"
23652,3.289709233640934e9,"observed"
23653,3.56176671417381e9,"observed"
23654,3.026068418636778e9,"observed"
23655,3.909875550941634e9,"observed"
23656,3.9603602967906923e9,"observed"
23657,4.100355828997813e9,"observed"
23658,3.318518192181774e9,"observed"
23659,2.6324654985384135e9,"observed"
23660,1.699794118964046e9,"observed"
23661,1.6125162376055517e9,"observed"
23662,1.875381991076645e9,"observed"
23663,3.1523933270911264e9,"observed"
23664,4.019965147947543e9,"observed"
23665,4.1555577886788883e9,"observed"
23666,3.7347356956079774e9,"observed"
23667,6.456558910766024e9,"observed"
23668,6.7056311589049635e9,"observed"
23669,5.2194719110771675e9,"observed"
23670,3.844629331788479e9,"observed"
23671,2.4960729177816906e9,"observed"
23672,1.6327310294825346e9,"observed"
23673,2.03601368380233e9,"observed"
23674,2.3294954379611516e9,"observed"
23675,3.09741158356046e9,"observed"
23676,3.924572281658716e9,"observed"
23677,5.418343788372425e9,"observed"
23678,3.7348155929038696e9,"observed"
23679,4.451384192191868e9,"observed"
23680,4.8766455272384205e9,"observed"
23681,4.576136434425011e9,"observed"
23682,4.018992040714328e9,"observed"
23683,2.206870148051546e9,"observed"
23684,2.169990307997299e9,"observed"
23685,2.2094799967053576e9,"observed"
23686,1.479664548126299e9,"observed"
23687,2.444944754351074e9,"observed"
23688,2.7598095362589293e9,"observed"
23689,3.6235398673523626e9,"observed"
23690,4.0010486776112537e9,"observed"
23691,5.674071755514647e9,"observed"
23692,4.480176480398419e9,"observed"
23693,4.592453361827914e9,"observed"
23694,3.856952050269722e9,"observed"
23695,2.8669218343002806e9,"observed"
23696,2.225840616938163e9,"observed"
23697,2.09852324134974e9,"observed"
23698,2.3509909399269886e9,"observed"
23699,2.346327405760155e9,"observed"
23700,2.590682232345423e9,"observed"
23701,2.627862394823164e9,"observed"
23702,2.817849025877205e9,"observed"
23703,3.9629028571149063e9,"observed"
23704,3.491102146809515e9,"observed"
23705,3.699832289502103e9,"observed"
23706,2.7790071866379194e9,"observed"
23707,2.3012270375184927e9,"observed"
23708,1.4943014344541276e9,"observed"
23709,1.3048805679029512e9,"observed"
23710,1.8496539125809677e9,"observed"
23711,1.3816755080399404e9,"observed"
23712,1.6857803002782626e9,"observed"
23713,1.6123204836556644e9,"observed"
23714,1.6551440722175457e9,"observed"
23715,4.112456511390584e9,"observed"
23716,3.76020696467729e9,"observed"
23717,2.428105798256787e9,"observed"
23718,1.776684637687746e9,"observed"
23719,1.308242887201332e9,"observed"
23720,1.6498336932262607e9,"observed"
23721,2.1060743933368707e9,"observed"
23722,2.2287736108707924e9,"observed"
23723,2.9360680224200764e9,"observed"
23724,3.278106121040321e9,"observed"
23725,3.4849722331191955e9,"observed"
23726,2.6378784298620634e9,"observed"
23727,4.622960772428606e9,"observed"
23728,4.354908592344324e9,"observed"
23729,4.859097291824772e9,"observed"
23730,3.0935520166927767e9,"observed"
23731,2.345814565447091e9,"observed"
23732,1.8787376636267946e9,"observed"
23733,1.5369624723267884e9,"observed"
23734,1.0062870126442806e9,"observed"
23735,1.4587407522439475e9,"observed"
23736,2.4954373756476088e9,"observed"
23737,3.0918705493635235e9,"observed"
23738,3.5916229940081377e9,"observed"
23739,5.829484745686849e9,"observed"
23740,6.002976906819607e9,"observed"
23741,4.766539027998334e9,"observed"
23742,3.114583349533739e9,"observed"
23743,2.469623999793667e9,"observed"
23744,1.904629226366914e9,"observed"
23745,2.252656192495235e9,"observed"
23746,2.067260169715367e9,"observed"
23747,2.4820376905507746e9,"observed"
23748,2.663016060047256e9,"observed"
23749,3.0490934377634745e9,"observed"
23750,2.8164492715666695e9,"observed"
23751,4.998117122899511e9,"observed"
23752,5.104735352261713e9,"observed"
23753,3.997261600017308e9,"observed"
23754,2.714742620766136e9,"observed"
23755,1.749503949455853e9,"observed"
23756,1.5300116750322683e9,"observed"
23757,1.5295222072192216e9,"observed"
23758,1.3479403871916614e9,"observed"
23759,1.615015207617373e9,"observed"
23760,1.8393513365844996e9,"observed"
23761,1.265235437927254e9,"observed"
23762,2.478279124616852e9,"observed"
23763,2.768450060864211e9,"observed"
23764,3.058337006176317e9,"observed"
23765,3.602187040330969e9,"observed"
23766,3.6208898080156307e9,"observed"
23767,2.3168363435884466e9,"observed"
23768,1.7265336948656094e9,"observed"
23769,1.3436132919666107e9,"observed"
23770,2.3325083233975153e9,"observed"
23771,2.145294860574182e9,"observed"
23772,2.400366479552983e9,"observed"
23773,2.868023339853776e9,"observed"
23774,3.4519610848528624e9,"observed"
23775,4.0730249251644893e9,"observed"
23776,4.489312575362934e9,"observed"
23777,4.185546721001045e9,"observed"
23778,3.973192307203764e9,"observed"
23779,2.8448241563796997e9,"observed"
23780,1.932505732884368e9,"observed"
23781,1.581688436880142e9,"observed"
23782,1.7180790220740535e9,"observed"
23783,2.4222653585439887e9,"observed"
23784,4.929597425238688e9,"observed"
23785,3.56630503379526e9,"observed"
23786,4.403874275251198e9,"observed"
23787,5.783873864358406e9,"observed"
23788,6.80060994849025e9,"observed"
23789,6.2762528920982e9,"observed"
23790,3.8558578701499953e9,"observed"
23791,2.3361360462093697e9,"observed"
23792,1.6360592144324515e9,"observed"
23793,1.4138303324357147e9,"observed"
23794,1.782022567185996e9,"observed"
23795,2.9995090067322416e9,"observed"
23796,3.901882095676783e9,"observed"
23797,2.8888873381896067e9,"observed"
23798,3.67369271095615e9,"observed"
23799,4.851953607105026e9,"observed"
23800,5.466757475804355e9,"observed"
23801,5.389579636049406e9,"observed"
23802,3.62460023835067e9,"observed"
23803,2.6045835280100384e9,"observed"
23804,1.7336716779195838e9,"observed"
23805,1.2113336966351278e9,"observed"
23806,2.3604206443370686e9,"observed"
23807,2.8697408385747576e9,"observed"
23808,2.95251395768713e9,"observed"
23809,2.248977182627368e9,"observed"
23810,3.043362139789281e9,"observed"
23811,3.8630444680042305e9,"observed"
23812,3.65159879242341e9,"observed"
23813,3.2291670385889635e9,"observed"
23814,2.713483334097102e9,"observed"
23815,1.7936451485957375e9,"observed"
23816,1.6971007890391355e9,"observed"
23817,1.7212491002600288e9,"observed"
23818,2.4852929312946186e9,"observed"
23819,3.668356535968981e9,"observed"
23820,2.69475017047549e9,"observed"
23821,2.1194813193088012e9,"observed"
23822,3.496019909867937e9,"observed"
23823,3.9289809341186767e9,"observed"
23824,3.4775617921172304e9,"observed"
23825,3.601374034071248e9,"observed"
23826,3.150863349889736e9,"observed"
23827,2.110570523723557e9,"observed"
23828,1.6822320181521282e9,"observed"
23829,2.1640062286010222e9,"observed"
23830,2.7789074153632946e9,"observed"
23831,2.9531217746067705e9,"observed"
23832,3.2905828410269766e9,"observed"
23833,3.1971439894191613e9,"observed"
23834,3.54068047894498e9,"observed"
23835,4.582468502984577e9,"observed"
23836,3.8720849188914986e9,"observed"
23837,3.073594632281295e9,"observed"
23838,2.6570685860782914e9,"observed"
23839,2.0402304953745513e9,"observed"
23840,1.514369925343705e9,"observed"
23841,1.4491658172971044e9,"observed"
23842,1.0403772742443595e9,"observed"
23843,1.7194577363597474e9,"observed"
23844,2.891874566225752e9,"observed"
23845,2.7387078635485344e9,"observed"
23846,2.5893786064154115e9,"observed"
23847,3.1458579624929705e9,"observed"
23848,3.4256754988828487e9,"observed"
23849,2.475586253084983e9,"observed"
23850,1.500029688055315e9,"observed"
23851,1.378695931590279e9,"observed"
23852,1.1651864935338712e9,"observed"
23853,1.5344990436856053e9,"observed"
23854,1.168833057025579e9,"observed"
23855,2.4998761456466627e9,"observed"
23856,1.9431437235663888e9,"observed"
23857,2.6961046407282877e9,"observed"
23858,3.1039884950371947e9,"observed"
23859,4.043192925124392e9,"observed"
23860,3.930604468340249e9,"observed"
23861,4.339669116693828e9,"observed"
23862,4.38862995896453e9,"observed"
23863,3.06568926377372e9,"observed"
23864,1.7905924001504045e9,"observed"
23865,1.9446387803421507e9,"observed"
23866,1.6935768077826781e9,"observed"
23867,1.86891676873357e9,"observed"
23868,1.6857765834612625e9,"observed"
23869,3.2718245989342265e9,"observed"
23870,4.473042737733343e9,"observed"
23871,4.621051642690198e9,"observed"
23872,4.0712704838654823e9,"observed"
23873,5.048659834799553e9,"observed"
23874,3.0767786040288677e9,"observed"
23875,2.0590527541641836e9,"observed"
23876,1.5993629620506432e9,"observed"
23877,1.2260881894420953e9,"observed"
23878,2.243925994763356e9,"observed"
23879,2.2101111392349386e9,"observed"
23880,3.408855749703617e9,"observed"
23881,3.736186582714631e9,"observed"
23882,3.56473961471481e9,"observed"
23883,4.588075651108987e9,"observed"
23884,5.133281038018857e9,"observed"
23885,5.170055520064698e9,"observed"
23886,3.228964002195792e9,"observed"
23887,2.261298778099489e9,"observed"
23888,1.8727405242476437e9,"observed"
23889,1.5273046062492614e9,"observed"
23890,1.5438170022107868e9,"observed"
23891,2.149419977708137e9,"observed"
23892,3.3908971893387375e9,"observed"
23893,2.995353019924244e9,"observed"
23894,3.364959020936142e9,"observed"
23895,4.305010827197599e9,"observed"
23896,3.752084752288167e9,"observed"
23897,2.8825182047385116e9,"observed"
23898,2.7844107405092688e9,"observed"
23899,2.4883466232575765e9,"observed"
23900,2.029732491952221e9,"observed"
23901,1.78880581453125e9,"observed"
23902,1.523962789799099e9,"observed"
23903,2.9996810492263584e9,"observed"
23904,3.447204890966234e9,"observed"
23905,4.580620122050362e9,"observed"
23906,3.2077462446910553e9,"observed"
23907,5.524697128564322e9,"observed"
23908,5.706220702156914e9,"observed"
23909,4.976506643946934e9,"observed"
23910,3.8276879134117546e9,"observed"
23911,3.366723151633933e9,"observed"
23912,2.0763363334873285e9,"observed"
23913,2.145090812238356e9,"observed"
23914,1.919338049540129e9,"observed"
23915,2.3225299384178944e9,"observed"
23916,2.895648868984759e9,"observed"
23917,2.740054434491747e9,"observed"
23918,3.5379885954038115e9,"observed"
23919,4.664316415618131e9,"observed"
23920,4.938086312593986e9,"observed"
23921,3.490088850667356e9,"observed"
23922,2.4604416772122364e9,"observed"
23923,2.3892756728163137e9,"observed"
23924,1.8479703323006763e9,"observed"
23925,1.385427981921468e9,"observed"
23926,2.0872613176322713e9,"observed"
23927,2.477848931847694e9,"observed"
23928,2.8481147528175745e9,"observed"
23929,4.187412822807696e9,"observed"
23930,3.280519894242075e9,"observed"
23931,4.798594834662582e9,"observed"
23932,4.172848323298188e9,"observed"
23933,5.479460962580243e9,"observed"
23934,4.142574456961731e9,"observed"
23935,2.6333709543272095e9,"observed"
23936,2.172803646011124e9,"observed"
23937,1.4686962563948789e9,"observed"
23938,2.3309664210483265e9,"observed"
23939,2.726214122206278e9,"observed"
23940,2.648934923471525e9,"observed"
23941,3.3862980521806936e9,"observed"
23942,3.4945865618191276e9,"observed"
23943,4.049967208396166e9,"observed"
23944,4.460225879483821e9,"observed"
23945,5.077329217753481e9,"observed"
23946,3.6795617931748066e9,"observed"
23947,2.7301329598423243e9,"observed"
23948,1.8806052715026865e9,"observed"
23949,2.291398257592691e9,"observed"
23950,2.269950747640715e9,"observed"
23951,3.2239247040977435e9,"observed"
23952,4.2262683690323224e9,"observed"
23953,3.81010309502988e9,"observed"
23954,4.1151488080318155e9,"observed"
23955,5.676549948200873e9,"observed"
23956,4.847164047092024e9,"observed"
23957,4.876359640765833e9,"observed"
23958,4.574532120120712e9,"observed"
23959,2.824691115541193e9,"observed"
23960,1.9898264225061603e9,"observed"
23961,1.6323602963532784e9,"observed"
23962,1.9379217063239362e9,"observed"
23963,2.236894485965916e9,"observed"
23964,2.608391607358529e9,"observed"
23965,5.18372818192015e9,"observed"
23966,5.251483696433493e9,"observed"
23967,6.320534268121547e9,"observed"
23968,5.498054031146328e9,"observed"
23969,4.587056310972425e9,"observed"
23970,3.973720619233425e9,"observed"
23971,2.659246839268753e9,"observed"
23972,1.6581016822544787e9,"observed"
23973,1.574281982012102e9,"observed"
23974,2.2015931822278914e9,"observed"
23975,2.4484271863957043e9,"observed"
23976,2.5899192655116363e9,"observed"
23977,3.8989453877024617e9,"observed"
23978,3.4879910192559543e9,"observed"
23979,4.0769590564563036e9,"observed"
23980,4.213304903912621e9,"observed"
23981,4.0068153633964396e9,"observed"
23982,3.4225854135161676e9,"observed"
23983,2.5678369908925714e9,"observed"
23984,1.5906016289594283e9,"observed"
23985,1.8144267400983293e9,"observed"
23986,1.5852535834461842e9,"observed"
23987,1.5771161356121445e9,"observed"
23988,1.9390694498093817e9,"observed"
23989,1.9544351400177517e9,"observed"
23990,2.409214858707677e9,"observed"
23991,3.1497880638647823e9,"observed"
23992,4.0049867539919424e9,"observed"
23993,3.4440570839260674e9,"observed"
23994,3.2179039143065953e9,"observed"
23995,2.0172212272550879e9,"observed"
23996,1.3283900205779624e9,"observed"
23997,1.3121418459008687e9,"observed"
23998,1.2412817703628309e9,"observed"
23999,1.9507358309058871e9,"observed"
24000,1.5665831362002268e9,"observed"
24001,2.046101820609716e9,"observed"
24002,2.9390646211940274e9,"observed"
24003,4.363578371057488e9,"observed"
24004,3.802428997579459e9,"observed"
24005,3.3028451208873053e9,"observed"
24006,3.0991342100007787e9,"observed"
24007,1.8175245865765605e9,"observed"
24008,1.5355306298595433e9,"observed"
24009,1.5396838017440557e9,"observed"
24010,1.7214157591987886e9,"observed"
24011,1.905339663706025e9,"observed"
24012,3.290732037429909e9,"observed"
24013,2.8944296879455566e9,"observed"
24014,2.3718387254727345e9,"observed"
24015,3.826459428676642e9,"observed"
24016,4.168015791828471e9,"observed"
24017,4.404366534021519e9,"observed"
24018,2.881725519457123e9,"observed"
24019,1.9906436655251918e9,"observed"
24020,1.3811606838004e9,"observed"
24021,1.5266503066907177e9,"observed"
24022,2.244411225832222e9,"observed"
24023,2.5364733815176706e9,"observed"
24024,3.579533358321722e9,"observed"
24025,2.6664724558692756e9,"observed"
24026,3.341079142307516e9,"observed"
24027,4.480825795578592e9,"observed"
24028,4.2935057676468477e9,"observed"
24029,4.76190635576288e9,"observed"
24030,3.9997173363233194e9,"observed"
24031,2.7962460769638853e9,"observed"
24032,2.159066198087216e9,"observed"
24033,2.0457608955789795e9,"observed"
24034,1.8000894198669097e9,"observed"
24035,2.6177858877209644e9,"observed"
24036,2.9801500900078964e9,"observed"
24037,2.915967814723132e9,"observed"
24038,3.484363411475897e9,"observed"
24039,3.848839222330928e9,"observed"
24040,3.8169083116442122e9,"observed"
24041,4.257663056454262e9,"observed"
24042,3.818836591830271e9,"observed"
24043,2.7366926186331806e9,"observed"
24044,2.1576248472010527e9,"observed"
24045,2.6800137431479945e9,"observed"
24046,2.369316889796139e9,"observed"
24047,3.51782239630676e9,"observed"
24048,3.944645767553321e9,"observed"
24049,4.463710555030883e9,"observed"
24050,3.526367252797077e9,"observed"
24051,4.0872245606040754e9,"observed"
24052,4.82980452481848e9,"observed"
24053,3.81856321742225e9,"observed"
24054,3.223986397414152e9,"observed"
24055,2.4397743600427675e9,"observed"
24056,1.9391013388519022e9,"observed"
24057,1.38758978539045e9,"observed"
24058,2.0371632701306725e9,"observed"
24059,2.1671769307464886e9,"observed"
24060,2.496227685779354e9,"observed"
24061,3.563065276266177e9,"observed"
24062,2.80595730206188e9,"observed"
24063,3.390188535543468e9,"observed"
24064,3.996259991268211e9,"observed"
24065,4.006853222242549e9,"observed"
24066,3.091465332762426e9,"observed"
24067,2.0858878542129536e9,"observed"
24068,1.4958778282233129e9,"observed"
24069,1.6828609903390074e9,"observed"
24070,2.2357213542398887e9,"observed"
24071,3.2756043767868133e9,"observed"
24072,3.012185261676411e9,"observed"
24073,3.998288264787152e9,"observed"
24074,2.443551927357337e9,"observed"
24075,3.6957320311108418e9,"observed"
24076,3.9656132808992543e9,"observed"
24077,3.543473474908993e9,"observed"
24078,2.999482390606081e9,"observed"
24079,2.648275399293185e9,"observed"
24080,1.6719798370271194e9,"observed"
24081,1.342141560746732e9,"observed"
24082,1.906849520264257e9,"observed"
24083,1.6073027189140224e9,"observed"
24084,2.475455816394677e9,"observed"
24085,2.7975773006060677e9,"observed"
24086,3.20941828907852e9,"observed"
24087,4.954775960568207e9,"observed"
24088,5.130325150864403e9,"observed"
24089,4.59455076032892e9,"observed"
24090,3.889982046779386e9,"observed"
24091,2.570709396969496e9,"observed"
24092,2.1057749253893075e9,"observed"
24093,2.4172185977457466e9,"observed"
24094,1.6659034018229895e9,"observed"
24095,1.9451631277965925e9,"observed"
24096,2.7022499036723995e9,"observed"
24097,2.4241675958883247e9,"observed"
24098,2.373285119310529e9,"observed"
24099,3.8992229703527346e9,"observed"
24100,4.811409933153009e9,"observed"
24101,5.567093257481651e9,"observed"
24102,3.580641151499549e9,"observed"
24103,2.5656097400177145e9,"observed"
24104,2.06456327345302e9,"observed"
24105,1.9795843775586622e9,"observed"
24106,4.093267885665158e9,"observed"
24107,3.137262474075197e9,"observed"
24108,4.253451642546274e9,"observed"
24109,3.8767529974490633e9,"observed"
24110,3.8255256436080623e9,"observed"
24111,4.767045752201307e9,"observed"
24112,3.7516660973018513e9,"observed"
24113,4.405309352733694e9,"observed"
24114,3.893885145203924e9,"observed"
24115,2.8423418467430134e9,"observed"
24116,1.9773607910795214e9,"observed"
24117,2.0507239049772372e9,"observed"
24118,1.8253642903378038e9,"observed"
24119,2.1348384724653585e9,"observed"
24120,2.2950560184366226e9,"observed"
17398,1.6591221288712733e9,"paleo"
17399,1.7847419303600137e9,"paleo"
17400,2.001207430315716e9,"paleo"
17401,2.2716141310056868e9,"paleo"
17402,2.7434882308914385e9,"paleo"
17403,3.5621275438606696e9,"paleo"
17404,4.1090136494145737e9,"paleo"
17405,4.083469854610398e9,"paleo"
17406,3.444508555848237e9,"paleo"
17407,2.405184731380839e9,"paleo"
17408,1.6762553368893275e9,"paleo"
17409,1.671525397488684e9,"paleo"
17410,1.6566570852697139e9,"paleo"
17411,1.8615515700226097e9,"paleo"
17412,2.066706554146244e9,"paleo"
17413,2.2002067246258326e9,"paleo"
17414,3.025079957123387e9,"paleo"
17415,3.8864597497425127e9,"paleo"
