"sw","gw","cost"
187169.17456790674,0.0,186272.75091292898
0.0,12592.196935872604,19285.95409946694
245335.76096473998,0.0,24533.576096474007
7101.790569446583,0.0,710.1790569446583
164933.88603162215,2128.9545537928216,206225.77374380556
97863.55824706928,0.0,9786.35582470693
242672.95606497166,0.0,24267.295606497166
58801.933619299314,0.0,5880.193361929929
73330.71506048816,0.0,72979.5066536102
2281.9499999999985,0.0,228.19499999999982
226768.35098233045,0.0,22676.83509823304
78456.41799578271,0.0,75613.9422243556
58664.06309585269,4360.111639757179,68216.28712506851
2127.1757087057285,0.0,2116.987863255322
128960.91015196902,0.0,12896.0910151969
206799.99000000017,0.0,20679.998999999996
16140.762540488404,0.0,1614.07625404884
67174.77465845922,0.0,6717.477465845923
41442.94846661224,0.0,4144.294846661224
60127.691435224486,119.04646897481402,60945.88792281188
138513.87132447065,0.0,13851.387132447066
62009.32856279163,0.0,6200.932856279165
101023.15101619562,0.0,10102.31510161956
4675.859878542963,0.0,467.58598785429615
3707.7630973433425,0.0,370.7763097343343
14354.8895060991,0.0,1435.4889506099098
4873.357155110401,0.0,4850.016812647054
27231.5226598031,0.0,2991.9128605847445
1357.4314989401364,0.0,135.74314989401358
117758.61324100608,0.0,11775.861324100608
27876.350502870995,0.0,27802.205724362782
345862.56517178233,56309.0593455012,1.7601648227961191e6
4411.769999999995,0.0,4390.640372231691
136268.6669561445,0.0,13626.86669561445
229357.5258745523,0.0,22935.752587455216
47074.07383919824,0.0,4990.537124660689
29811.794773274494,1654.284891983762,45153.33420717796
264018.5157304398,0.0,73701.93738999417
181470.33327774704,0.0,18147.033327774705
3969.209999999998,0.0,8667.109682216074
81041.6182175078,0.0,8104.161821750778
122180.28727438959,0.0,12218.02872743896
140513.2316022361,0.0,14051.323160223616
422167.49597500643,0.0,42216.749597500675
164550.6570280301,0.0,16455.065702803004
13548.10336543122,0.0,13483.216396917875
3388.2975182703804,0.0,338.82975182703814
140853.00729834894,84079.77375236602,1.9323629967526668e6
10622.821562865904,0.0,1062.2821562865915
107956.990468252,0.0,32996.837612156705
247614.87728143652,0.0,24761.487728143657
83765.75938171273,0.0,8376.575938171278
60562.91785619775,126439.8752865233,519731.2823707638
177634.35225824532,0.0,17763.435225824527
123204.15091859196,0.0,12320.415091859195
2157.4799999999987,0.0,215.74799999999973
3277.8419404566694,0.0,327.784194045667
87071.85145946768,0.0,86654.83157619272
11189.777126678482,0.0,1118.9777126678496
4898.554290405377,0.0,489.8554290405376
125021.79437028704,5241.419263869981,215090.67610181795
897221.0423671079,0.0,89722.10423671079
566304.5335724737,145771.63787240215,3.2755209743329887e6
