"barl","corn_rain","corn_irr","sorghum","soy","wheat_rain","wheat_irr","hay"
0.0,39868.00277060479,8.13817470193082e6,0.0,0.0,2.3105921655487757e7,5.038914786359784e6,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.192670128244707e6,0.0
0.0,181293.54640606104,166836.02181083994,0.0,0.0,1.4597065270632677e7,1.162407450301299e6,0.0
0.0,0.0,97118.94712794024,0.0,0.0,102136.16532549517,258991.4188106839,0.0
0.0,1.759349774707019e6,7.095764113379858e7,0.0,0.0,1.4586491573658245e7,171176.34000116927,0.0
0.0,0.0,6.225066256437855e6,895527.3177504588,0.0,116064.92173466421,1.65626487761312e6,1.8293347071281955e7
1.0673894183427375e6,58981.475288013964,3.8103232235713727e6,0.0,0.0,2.0977194346798793e6,7.051996088521002e6,1.1624056889140006e7
0.0,0.0,0.0,0.0,0.0,3819.2777085289536,357213.6965237421,5.817398600205277e6
0.0,86637.9439981259,1.1941000940716984e7,1.7705176766760785e7,0.0,2.5534859732661364e6,37635.7933566104,5.44411984969308e6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,181438.2150048053,0.0,0.0,0.0,5.278978571342436e6,2.3844105352153692e7
3.245246241367565e6,0.0,0.0,0.0,0.0,0.0,1.8052360089891837e6,9.202258679481307e6
0.0,782729.2948300752,1.7757385922060974e7,272216.09232261346,5376.763253437893,2428.9551870495793,95822.47049652887,2.2034996437248117e6
0.0,0.0,0.0,0.0,0.0,116793.7761069113,143816.89004974207,0.0
64316.32274062356,0.0,5.826456686310319e6,0.0,0.0,85423.14489728872,2.760255094493045e6,8.465603257000392e6
0.0,0.0,0.0,0.0,0.0,1.1780637758081625e6,0.0,0.0
0.0,38377.86526036534,114200.10213842228,0.0,0.0,501033.96849823225,12131.693104543172,1.300049107616709e6
0.0,0.0,150864.43556582424,0.0,0.0,1.9927095466574605e6,35517.8591358321,1.2509080752928087e6
0.0,0.0,122800.74310569234,0.0,0.0,194128.8230220558,334779.5226082818,5.912826716243729e6
0.0,51163.36598933499,344232.2479784309,0.0,0.0,1.316488887694529e7,4008.5563055413227,1.0998682903760035e7
0.0,921249.1510345849,888081.5474178906,0.0,0.0,1.114970605284359e6,72944.87245814838,2.9562580406774413e6
0.0,0.0,769637.5924823951,0.0,0.0,18044.074891585293,188578.37959808653,3.764787850219635e6
0.0,0.0,97553.20223782191,0.0,0.0,209807.54723379482,1.637882251821328e6,9.100566370815221e6
0.0,0.0,0.0,0.0,0.0,7746.769361872013,12951.164539760135,0.0
0.0,0.0,0.0,0.0,0.0,6353.173047925126,3533.4109997108017,0.0
0.0,0.0,159414.70483582467,0.0,0.0,14460.7833754576,30328.683291513353,0.0
0.0,0.0,0.0,0.0,0.0,10691.119801191477,27815.36319590496,0.0
0.0,46324.5733848325,135776.6772650019,0.0,0.0,413035.9187446541,124389.9793833091,6.390975258070984e6
0.0,0.0,0.0,0.0,0.0,2343.2265313336898,42287.51233846851,0.0
0.0,0.0,207745.44973313037,0.0,0.0,1.0304563845887714e6,2.776278529176847e6,0.0
0.0,250603.1095511219,6.005384422405784e6,3.1916034544978138e7,0.0,1.3587452832665094e6,3829.622546916738,100439.933739732
