"barl","corn_rain","corn_irr","sorghum","soy","wheat_rain","wheat_irr","hay"
0.0,497584.4541578567,1.0851901363617699e8,0.0,258015.9252127461,3.102098574134393e7,50545.20031569608,1.348120439819363e7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,64228.19269388923,341486.822963694,0.0,0.0,261420.4255217281,2.626035646500627e6,1.6239458813969618e7
547290.6501414123,359511.1026957955,7.236824586478587e6,0.0,0.0,5.31896260987754e6,5.863620431122144e6,6.999198197186626e6
0.0,0.0,1.2833185985783802e6,0.0,0.0,870936.2149503621,295852.5312699851,9.78024087658173e6
0.0,56610.2350489966,208189.02134897246,8529.609519811716,0.0,2.177739955020131e7,26888.237851849055,8.887074137193324e6
0.0,1.8930917490022923e6,4.652352080227101e7,0.0,0.0,3.9632609544105776e7,649600.1557491508,1.476604614022464e7
0.0,271966.2707678067,1.2945282199244644e7,0.0,23997.96645667367,818991.0285557378,4.851201648505495e6,2.844798924408376e7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,128015.9573300767,0.0,0.0,2.1341454668733496e6,155169.81970472066,7.875936051743999e6
0.0,0.0,568944.6009402887,0.0,0.0,805844.660642456,1.7494031009946843e6,1.87990078014862e7
86513.70001117773,290767.3759348524,6.120195150886121e6,0.0,0.0,19303.051437095863,4.706842683617585e6,1.3033673907054963e7
0.0,52271.67578922814,1.0263699737198023e8,0.0,0.0,1.3217418528234603e7,402852.4512940187,1.1262361236825032e7
0.0,249343.15108692105,2.9480910814862985e7,64431.734146697825,0.0,12585.020474556039,1.0845843575781933e6,2.3224688678662773e7
0.0,0.0,78761.37173959125,0.0,0.0,19853.9071590931,201775.25827725657,0.0
0.0,0.0,0.0,0.0,0.0,3034.260181059749,48609.705249290295,0.0
0.0,5.745268932885339e6,8.802050086939092e7,0.0,0.0,3.722764931093263e7,24280.78494882205,1.9674741451716656e6
0.0,0.0,0.0,0.0,0.0,2330.875416245213,128430.66189648001,0.0
0.0,262792.1838245792,2.7881342216418274e7,0.0,0.0,2.8664360631911806e6,2.5537604827035298e6,0.0
0.0,255498.64996719206,1.5961965467791714e7,0.0,0.0,1.4877996728394881e6,1.1659318136362112e6,5.84634814316159e6
0.0,0.0,117145.82118062433,0.0,0.0,499035.3938637139,130868.00479561815,1.2345429546426382e7
1.7017878079746056e7,0.0,81411.96489551142,0.0,0.0,0.0,3.803648310855853e6,2.0002890329859365e7
0.0,0.0,71899.99169349374,0.0,0.0,1.3864700397763222e6,25424.922300531136,3.7536863172519304e7
0.0,0.0,162811.78066276052,0.0,0.0,0.0,1.6291626193045499e6,1.4355330967022376e7
0.0,0.0,0.0,0.0,0.0,211264.05015032887,0.0,0.0
0.0,0.0,120082.49648762975,0.0,0.0,41109.3153535505,116373.18241542477,0.0
0.0,1.1589911557335814e6,2.4498258104254022e7,0.0,0.0,2.1688008448272564e7,318859.7614413991,2.915892341371019e6
0.0,0.0,0.0,0.0,0.0,3952.1322926579824,5080.21215854987,0.0
0.0,0.0,0.0,0.0,0.0,3003.1329191639074,10575.250633862206,0.0
0.0,262582.05342693185,2.3889455772029176e7,255397.8315139394,254000.36190828026,3.412975949705384e7,105596.93823116407,8.08098988508582e6
2.57138040209686e6,823685.506407156,1.4009733575828433e8,0.0,203410.29731138554,4.248988985801194e7,1.867466722339233e7,4.074415809835376e7
0.0,4.524809786441536e6,3.286011885863472e8,0.0,0.0,3.692208647490432e7,43303.48574599233,7.291616016497104e6
