"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
0,0,0,179314.952229,370584.2346066,358629.904458,370584.2346066,370584.2346066,179314.952229,0,0,0
0,0,0,1312212.965805,2711906.795997,2624425.93161,2711906.795997,2711906.795997,1312212.965805,0,0,0
0,0,0,908.498808,1877.5642032,1816.997616,1877.5642032,1877.5642032,908.498808,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1098715.745925,2270679.208245,2197431.49185,2270679.208245,2270679.208245,1098715.745925,0,0,0
0,0,0,170116.401798,351573.8970492,340232.803596,351573.8970492,351573.8970492,170116.401798,0,0,0
0,0,0,454.249404,938.7821016,908.498808,938.7821016,938.7821016,454.249404,0,0,0
0,0,0,340.687053,704.0865762,681.374106,704.0865762,704.0865762,340.687053,0,0,0
0,0,0,369759.014856,764168.6307024,739518.029712,764168.6307024,764168.6307024,369759.014856,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,586208.855862,1211498.3021148,1172417.711724,1211498.3021148,1211498.3021148,586208.855862,0,0,0
0,0,0,374869.320651,774729.9293454,749738.641302,774729.9293454,774729.9293454,374869.320651,0,0,0
0,0,0,38724.761691,80031.1741614,77449.523382,80031.1741614,80031.1741614,38724.761691,0,0,0
0,0,0,1249.185861,2581.6507794,2498.371722,2581.6507794,2581.6507794,1249.185861,0,0,0
0,0,0,2498.371722,5163.3015588,4996.743444,5163.3015588,5163.3015588,2498.371722,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2271.24702,4693.910508,4542.49404,4693.910508,4693.910508,2271.24702,0,0,0
0,0,0,113.562351,234.6955254,227.124702,234.6955254,234.6955254,113.562351,0,0,0
0,0,0,26800.714836,55388.1439944,53601.429672,55388.1439944,55388.1439944,26800.714836,0,0,0
0,0,0,50308.121493,103970.1177522,100616.242986,103970.1177522,103970.1177522,50308.121493,0,0,0
0,0,0,6018.804603,12438.8628462,12037.609206,12438.8628462,12438.8628462,6018.804603,0,0,0
0,0,0,1362.748212,2816.3463048,2725.496424,2816.3463048,2816.3463048,1362.748212,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,567.811755,1173.477627,1135.62351,1173.477627,1173.477627,567.811755,0,0,0
0,0,0,9652.799835,19949.119659,19305.59967,19949.119659,19949.119659,9652.799835,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,340.687053,704.0865762,681.374106,704.0865762,704.0865762,340.687053,0,0,0
0,0,0,54396.366129,112419.1566666,108792.732258,112419.1566666,112419.1566666,54396.366129,0,0,0
0,0,0,1436450.177799,2968663.7007846,2872900.355598,2968663.7007846,2968663.7007846,1436450.177799,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,113.562351,234.6955254,227.124702,234.6955254,234.6955254,113.562351,0,0,0
0,0,0,8517.176325,17602.164405,17034.35265,17602.164405,17602.164405,8517.176325,0,0,0
0,0,0,113.562351,234.6955254,227.124702,234.6955254,234.6955254,113.562351,0,0,0
0,0,0,29412.648909,60786.1410786,58825.297818,60786.1410786,60786.1410786,29412.648909,0,0,0
0,0,0,601766.897949,1243651.5890946,1203533.795898,1243651.5890946,1243651.5890946,601766.897949,0,0,0
0,0,0,2952.621126,6102.0836604,5905.242252,6102.0836604,6102.0836604,2952.621126,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7154.428113,14785.8181002,14308.856226,14785.8181002,14785.8181002,7154.428113,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1816.997616,3755.1284064,3633.995232,3755.1284064,3755.1284064,1816.997616,0,0,0
0,0,0,140249.503485,289848.973869,280499.00697,289848.973869,289848.973869,140249.503485,0,0,0
0,0,0,215200.655145,444748.020633,430401.31029,444748.020633,444748.020633,215200.655145,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,651052.958283,1345509.4471182,1302105.916566,1345509.4471182,1345509.4471182,651052.958283,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,445505.102973,920710.5461442,891010.205946,920710.5461442,920710.5461442,445505.102973,0,0,0
0,0,0,166482.406566,344063.6402364,332964.813132,344063.6402364,344063.6402364,166482.406566,0,0,0
0,0,0,454.249404,938.7821016,908.498808,938.7821016,938.7821016,454.249404,0,0,0
0,0,0,1581469.300026,3268369.8867204,3162938.600052,3268369.8867204,3268369.8867204,1581469.300026,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1769301.42858,3656556.285732,3538602.85716,3656556.285732,3656556.285732,1769301.42858,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,171252.025308,353920.8523032,342504.050616,353920.8523032,353920.8523032,171252.025308,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,648327.461859,1339876.7545086,1296654.923718,1339876.7545086,1339876.7545086,648327.461859,0,0,0
0,0,0,90054.944343,186113.5516422,180109.888686,186113.5516422,186113.5516422,90054.944343,0,0,0
0,0,0,2386058.556861,4931187.6841794,4772117.113722,4931187.6841794,4931187.6841794,2386058.556861,0,0,0
