"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
0,0,0,1453030.281045,3002929.247493,2906060.56209,3002929.247493,3002929.247493,1453030.281045,0,0,0
0,0,0,383386.496976,792332.0937504,766772.993952,792332.0937504,792332.0937504,383386.496976,0,0,0
0,0,0,158873.729049,328339.0400346,317747.458098,328339.0400346,328339.0400346,158873.729049,0,0,0
0,0,0,634245.730335,1310774.509359,1268491.46067,1310774.509359,1310774.509359,634245.730335,0,0,0
0,0,0,681.374106,1408.1731524,1362.748212,1408.1731524,1408.1731524,681.374106,0,0,0
0,0,0,1529344.180917,3160644.6405618,3058688.361834,3160644.6405618,3160644.6405618,1529344.180917,0,0,0
0,0,0,1634275.793241,3377503.3060314,3268551.586482,3377503.3060314,3377503.3060314,1634275.793241,0,0,0
0,0,0,13173.232716,27224.6809464,26346.465432,27224.6809464,27224.6809464,13173.232716,0,0,0
0,0,0,912359.927934,1885543.8510636,1824719.855868,1885543.8510636,1885543.8510636,912359.927934,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1930.559967,3989.8239318,3861.119934,3989.8239318,3989.8239318,1930.559967,0,0,0
0,0,0,3576191.995341,7390796.7903714,7152383.990682,7390796.7903714,7390796.7903714,3576191.995341,0,0,0
0,0,0,1159925.853114,2397180.0964356,2319851.706228,2397180.0964356,2397180.0964356,1159925.853114,0,0,0
0,0,0,96073.748946,198552.4144884,192147.497892,198552.4144884,198552.4144884,96073.748946,0,0,0
0,0,0,302416.540713,624994.1841402,604833.081426,624994.1841402,624994.1841402,302416.540713,0,0,0
0,0,0,3921762.229434,8104975.2741636,7843524.458868,8104975.2741636,8104975.2741636,3921762.229434,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57916.79901,119694.717954,115833.59802,119694.717954,119694.717954,57916.79901,0,0,0
0,0,0,155239.733817,320828.7832218,310479.467634,320828.7832218,320828.7832218,155239.733817,0,0,0
0,0,0,1402949.284254,2899428.5207916,2805898.568508,2899428.5207916,2899428.5207916,1402949.284254,0,0,0
0,0,0,93007.565469,192215.6353026,186015.130938,192215.6353026,192215.6353026,93007.565469,0,0,0
0,0,0,273912.390612,566085.6072648,547824.781224,566085.6072648,566085.6072648,273912.390612,0,0,0
0,0,0,1313689.276368,2714957.8378272,2627378.552736,2714957.8378272,2714957.8378272,1313689.276368,0,0,0
0,0,0,2725042.174596,5631753.8274984,5450084.349192,5631753.8274984,5631753.8274984,2725042.174596,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2084436.952605,4307836.368717,4168873.90521,4307836.368717,4307836.368717,2084436.952605,0,0,0
0,0,0,6270345.210465,12958713.434961,12540690.42093,12958713.434961,12958713.434961,6270345.210465,0,0,0
0,0,0,306277.660647,632973.8320038,612555.321294,632973.8320038,632973.8320038,306277.660647,0,0,0
0,0,0,396786.854394,820026.1657476,793573.708788,820026.1657476,820026.1657476,396786.854394,0,0,0
0,0,0,3942089.890263,8146985.7732102,7884179.780526,8146985.7732102,8146985.7732102,3942089.890263,0,0,0
0,0,0,120603.216762,249246.6479748,241206.433524,249246.6479748,249246.6479748,120603.216762,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,130028.891895,268726.376583,260057.78379,268726.376583,268726.376583,130028.891895,0,0,0
0,0,0,3643648.031835,7530205.932459,7287296.06367,7530205.932459,7530205.932459,3643648.031835,0,0,0
0,0,0,4101304.306365,8476028.899821,8202608.61273,8476028.899821,8476028.899821,4101304.306365,0,0,0
0,0,0,757801.568223,1566123.2409942,1515603.136446,1566123.2409942,1566123.2409942,757801.568223,0,0,0
0,0,0,8517.176325,17602.164405,17034.35265,17602.164405,17602.164405,8517.176325,0,0,0
0,0,0,1185477.382089,2449986.5896506,2370954.764178,2449986.5896506,2449986.5896506,1185477.382089,0,0,0
0,0,0,8408042.905689,17376622.0050906,16816085.811378,17376622.0050906,17376622.0050906,8408042.905689,0,0,0
0,0,0,177270.829911,366359.7151494,354541.659822,366359.7151494,366359.7151494,177270.829911,0,0,0
0,0,0,1708659.133146,3531228.8751684,3417318.266292,3531228.8751684,3531228.8751684,1708659.133146,0,0,0
0,0,0,2783413.22301,5752387.327554,5566826.44602,5752387.327554,5752387.327554,2783413.22301,0,0,0
0,0,0,7823083.235688,16167705.3537552,15646166.471376,16167705.3537552,16167705.3537552,7823083.235688,0,0,0
0,0,0,1731712.290399,3578872.0668246,3463424.580798,3578872.0668246,3578872.0668246,1731712.290399,0,0,0
0,0,0,4681948.607028,9676027.1211912,9363897.214056,9676027.1211912,9676027.1211912,4681948.607028,0,0,0
0,0,0,1170487.151757,2419006.7802978,2340974.303514,2419006.7802978,2419006.7802978,1170487.151757,0,0,0
0,0,0,251654.169816,520085.2842864,503308.339632,520085.2842864,520085.2842864,251654.169816,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1317891.083355,2723641.572267,2635782.16671,2723641.572267,2723641.572267,1317891.083355,0,0,0
0,0,0,1187521.504407,2454211.1091078,2375043.008814,2454211.1091078,2454211.1091078,1187521.504407,0,0,0
0,0,0,1577721.742443,3260624.9343822,3155443.484886,3260624.9343822,3260624.9343822,1577721.742443,0,0,0
0,0,0,2800447.57566,5787591.656364,5600895.15132,5787591.656364,5787591.656364,2800447.57566,0,0,0
0,0,0,4972100.413833,10275674.1885882,9944200.827666,10275674.1885882,10275674.1885882,4972100.413833,0,0,0
0,0,0,2171539.275822,4487847.8366988,4343078.551644,4487847.8366988,4487847.8366988,2171539.275822,0,0,0
0,0,0,1289614.057956,2665202.3864424,2579228.115912,2665202.3864424,2665202.3864424,1289614.057956,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,416887.390521,861567.2737434,833774.781042,861567.2737434,861567.2737434,416887.390521,0,0,0
0,0,0,517503.633507,1069507.5092478,1035007.267014,1069507.5092478,1069507.5092478,517503.633507,0,0,0
0,0,0,683531.790669,1412632.3673826,1367063.581338,1412632.3673826,1412632.3673826,683531.790669,0,0,0
0,0,0,44175.754539,91296.5593806,88351.509078,91296.5593806,91296.5593806,44175.754539,0,0,0
0,0,0,153649.860903,317543.0458662,307299.721806,317543.0458662,317543.0458662,153649.860903,0,0,0
0,0,0,4631526.923184,9571822.3079136,9263053.846368,9571822.3079136,9571822.3079136,4631526.923184,0,0,0
0,0,0,19192.037319,39663.5437926,38384.074638,39663.5437926,39663.5437926,19192.037319,0,0,0
