"fips","x"
8001,62725.0
8003,1445.0
8005,38845.0
8007,730.0
8009,91265.0
8011,23002.483305939997
8013,30444.06042634
8015,7116.600082999999
8017,39555.55028766001
8019,0.0
8021,49693.421168999994
8023,17569.258827159996
8025,14103.87056916
8027,655.0
8029,25557.98161434
8031,4500.0
8033,5611.551031
8035,9626.071984
8037,6672.829696
8039,48652.561488
8041,10350.161556
8043,5023.148573
8045,18117.24238
8047,10.0
8049,20.0
8051,265.0
8053,30.0
8055,7248.452665
8057,65.0
8059,7800.0
8061,37441.45090714
8063,141134.994096
8065,0.0
8067,27998.395218999998
8069,47223.8463723
8071,12606.185411999999
8073,66894.53412268
8075,145616.942831
8077,38504.275538
8079,0.0
8081,19848.423941999998
8083,28356.750781000002
8085,28061.6415318
8087,102209.607968
8089,33937.89639928
8091,675.0
8093,55.0
8095,119964.521646
8097,170.0
8099,27325.0
8101,17135.033882
8103,15357.066193
8105,45700.951335959995
8107,44208.738429000005
8109,29938.813585999997
8111,250.0
8113,420.0
8115,57127.109701
8117,10.0
8119,15.0
8121,101435.7623397
8123,262968.78980954
8125,205557.208883
