"","fips","mean"
"1",8001,14.2826651681652
"2",8003,4.78623595739383
"3",8005,11.6025735081765
"4",8007,50
"5",8009,50
"6",8011,15.2682023014718
"7",8013,50
"8",8015,50
"9",8017,50
"10",8019,50
"11",8021,15.7400379794168
"12",8023,61.8069970940623
"13",8025,13.7839311573096
"14",8027,50
"15",8029,50
"16",8031,50
"17",8033,50
"18",8035,50
"19",8037,50
"20",8039,50
"21",8041,68.091559630979
"22",8043,50
"23",8045,50
"24",8047,50
"25",8049,50
"26",8051,50
"27",8053,50
"28",8055,45.8634693877551
"29",8057,50
"30",8059,50
"31",8061,50
"32",8063,201.142643884892
"33",8065,50
"34",8067,50
"35",8069,6.74354368932039
"36",8071,50
"37",8073,50
"38",8075,50
"39",8077,50
"40",8079,50
"41",8081,50
"42",8083,50
"43",8085,50
"44",8087,68.085585106383
"45",8089,11.6925290982026
"46",8091,50
"47",8093,50
"48",8095,50
"49",8097,50
"50",8099,20.9339055494182
"51",8101,13.0059444867597
"52",8103,50
"53",8105,8.9915719263012
"54",8107,50
"55",8109,10.1046871436226
"56",8111,50
"57",8113,50
"58",8115,184.643838383838
"59",8117,50
"60",8119,50
"61",8121,57.2576227576956
"62",8123,16.9565404040404
"63",8125,50
