x1,x2,x3,x4,x5,x6,x7,x8,x9,x11,x11,x12
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
13581,13581,13581,13581,13581,13581,13581,13581,13581,13581,13581,13581
4987,4987,4987,4987,4987,4987,4987,4987,4987,4987,4987,4987
782,782,782,782,782,782,782,782,782,782,782,782
218897,218897,218897,218897,218897,218897,218897,218897,218897,218897,218897,218897
1,1,1,1,1,1,1,1,1,1,1,1
7111,7111,7111,7111,7111,7111,7111,7111,7111,7111,7111,7111
716,716,716,716,716,716,716,716,716,716,716,716
3157,3157,3157,3157,3157,3157,3157,3157,3157,3157,3157,3157
1,1,1,1,1,1,1,1,1,1,1,1
3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491
1,1,1,1,1,1,1,1,1,1,1,1
813,813,813,813,813,813,813,813,813,813,813,813
6115,6115,6115,6115,6115,6115,6115,6115,6115,6115,6115,6115
1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595
44518,44518,44518,44518,44518,44518,44518,44518,44518,44518,44518,44518
3687,3687,3687,3687,3687,3687,3687,3687,3687,3687,3687,3687
842,842,842,842,842,842,842,842,842,842,842,842
3997,3997,3997,3997,3997,3997,3997,3997,3997,3997,3997,3997
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
214863,214863,214863,214863,214863,214863,214863,214863,214863,214863,214863,214863
272393,272393,272393,272393,272393,272393,272393,272393,272393,272393,272393,272393
1,1,1,1,1,1,1,1,1,1,1,1
5831,5831,5831,5831,5831,5831,5831,5831,5831,5831,5831,5831
11851,11851,11851,11851,11851,11851,11851,11851,11851,11851,11851,11851
6561,6561,6561,6561,6561,6561,6561,6561,6561,6561,6561,6561
211231,211231,211231,211231,211231,211231,211231,211231,211231,211231,211231,211231
164116,164116,164116,164116,164116,164116,164116,164116,164116,164116,164116,164116
6782,6782,6782,6782,6782,6782,6782,6782,6782,6782,6782,6782
1,1,1,1,1,1,1,1,1,1,1,1
21776,21776,21776,21776,21776,21776,21776,21776,21776,21776,21776,21776
11315,11315,11315,11315,11315,11315,11315,11315,11315,11315,11315,11315
2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334
15214,15214,15214,15214,15214,15214,15214,15214,15214,15214,15214,15214
4382,4382,4382,4382,4382,4382,4382,4382,4382,4382,4382,4382
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
151157,151157,151157,151157,151157,151157,151157,151157,151157,151157,151157,151157
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337
5515,5515,5515,5515,5515,5515,5515,5515,5515,5515,5515,5515
3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139
32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776
3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
88112,88112,88112,88112,88112,88112,88112,88112,88112,88112,88112,88112
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
37941,37941,37941,37941,37941,37941,37941,37941,37941,37941,37941,37941
145224,145224,145224,145224,145224,145224,145224,145224,145224,145224,145224,145224
34497,34497,34497,34497,34497,34497,34497,34497,34497,34497,34497,34497
