"collection","colid","area","lat","lon","elev","MAXCAP","ST"
"junction","6481-dn",NA,36.3458,-76.7625,NA,5.615294352e7,"VA"
"usgs","03085000",1875.15276,40.39118,-79.858104,NA,5.520513749e8,"PA"
"usgs","09371000",NA,37.027494,-108.741484,NA,1.23101304e7,"CO"
"junction","12987-dn",NA,40.7375,-74.0125,NA,3.93963274116e9,"NY"
"junction","2877-dn",NA,32.5292,-87.8542,NA,4.16646971316e9,"MS"
"reservoir","72",NA,47.96,-115.733,NA,7.755073782e9,"MT"
"junction","12613-up",NA,40.6958,-91.1125,NA,1.6898676e7,"IA"
"usgs","01102000",NA,42.659816,-70.893662,NA,6.43506516e6,"MA"
"junction","8198-dn",NA,37.9042,-87.5042,NA,5.831499960200001e9,"KY"
"reservoir","584",569.7978,43.605,-72.36,NA,8.8563864e7,"VT"
"usgs","11041000",533.53794,33.253646,-117.247535,NA,2.5039644e8,"CA"
"junction","10023-up",NA,39.1458,-84.8042,NA,9.55947e6,"IN"
"junction","3603-dn",NA,33.5375,-88.4958,NA,6.7198633572e8,"MS"
"junction","4021-up",1455.57438,34.0042,-97.9708,NA,1.120493232e9,"OK"
"junction","1177-up",NA,29.9458,-92.7875,NA,2.960352e7,"LA"
"usgs","11103000",NA,33.817239,-118.206458,NA,6.777528547199999e8,"CA"
"junction","10983-dn",NA,39.7042,-75.5125,NA,2.9642621315999997e8,"PA"
"junction","154-dn",426006.7352,26.3625,-98.8458,NA,5.033585184e9,"TX"
"reservoir","1865",NA,37.77,-87.9584,NA,9.13021896e8,"KY"
"usgs","03076500",168.34935,39.653611,-79.408306,NA,1.56898656e8,"MD"
"usgs","12045500",634.54755,48.054811,-123.583246,NA,4.8229068e7,"WA"
"usgs","13317000",NA,45.750278,-116.323889,NA,8.079294e6,"ID"
"usgs","05508000",NA,39.612333,-91.407306,NA,2.581334433e9,"MO"
"usgs","01529950",NA,42.146463,-77.057468,NA,1.04599104e8,"NY"
"junction","14262-dn",NA,41.7375,-112.1292,NA,1.903197966e8,"UT"
"usgs","11023000",722.60721,32.76505,-117.168645,NA,3.609285828e8,"CA"
"canal","02301802",NA,27.9561331,-82.3706485,NA,1.356828e7,"FL"
"usgs","11103500",2.58999,33.998345,-118.4023,NA,1.454519616e7,"CA"
"usgs","12150800",NA,47.830932,-122.048459,NA,1.58378832e8,"WA"
"usgs","03381500",NA,38.061157,-88.15976,NA,1.5641513184e8,"IL"
"junction","3350-dn",NA,33.1542,-79.2542,NA,1.2260003006439999e10,"SC"
"reservoir","513",NA,45.8067,-88.125,NA,8.973567e6,"WI"
"usgs","01376800",69.92973,41.095652,-73.964027,NA,4.485179976e7,"NY"
"junction","21330-dn",NA,48.2125,-93.8875,NA,4.061726292e7,"MN"
"reservoir","2683",48733.251840000004,28.0416,-97.8651,NA,6.67744398e8,"TX"
"junction","14418-dn",569.7978,42.1042,-121.2542,NA,1.5171804e8,"OR"
"usgs","11180700",NA,37.585768,-122.048296,NA,3.796725449e8,"CA"
