State,Total,Gravity,Sprinkler,Efficient
Alabama,100605,97,103131,9973
Alaska,968,11,1018,111
Arizona,851407,3005,240691,50208
Arkansas,4949965,3356,1207773,28785
California,7543928,15231,1662125,2783022
Colorado,2309178,9044,1470829,10126
Connecticut,4557,41,2691,3261
Delaware,114738,9,123652,3632
Florida,1356561,363,377278,645071
Georgia,1196373,256,1135450,175960
Hawaii,75770,228,10233,61127
Idaho,3511751,7902,3088161,28149
Illinois,541281,65,583527,10420
Indiana,454346,62,485970,6289
Iowa,175514,75,179003,2615
Kansas,2851085,1100,2865244,72663
Kentucky,50663,66,45564,7548
Louisiana,1096228,1416,261854,5993
Maine,20290,22,19970,887
Maryland,100530,44,102059,9562
Massachusetts,26800,61,25530,3981
Michigan,586466,135,589389,36558
Minnesota,516063,95,527697,6725
Mississippi,1701494,1064,530478,21166
Missouri,1235005,918,588721,64160
Montana,1872286,5350,849332,1079
Nebraska,8297457,7191,7362241,36168
Nevada,689953,1607,289042,3382
New Hampshire,3773,36,2063,2294
New Jersey,80071,41,73380,28099
New Mexico,694571,7112,458284,30253
New York,47580,76,39351,11932
North Carolina,135707,173,131949,15523
North Dakota,213686,140,194545,334
Ohio,40854,78,34259,13540
Oklahoma,426296,138,429033,7747
Oregon,1553034,3975,1141042,85456
Pennsylvania,22523,141,11835,12761
Rhode Island,2996,9,2552,519
South Carolina,133816,88,108599,34442
South Dakota,369802,371,332929,164
Tennessee,145965,76,146200,8179
Texas,4489837,3246,3980081,280045
Utah,1124729,5431,663834,5859
Vermont,2127,60,1727,686
Virginia,49141,29,43194,8399
Washington,1623123,1259,1420224,250033
West Virginia,1319,7,712,626
Wisconsin,472856,149,497601,3763
Wyoming,1418272,3710,452062,637
