"x1949","x1950","x1951","x1952","x1953","x1954","x1955","x1956","x1957","x1958","x1959","x1960","x1961","x1962","x1963","x1964","x1965","x1966","x1967","x1968","x1969","x1970","x1971","x1972","x1973","x1974","x1975","x1976","x1977","x1978","x1979","x1980","x1981","x1982","x1983","x1984","x1985","x1986","x1987","x1988","x1989","x1990","x1991","x1992","x1993","x1994","x1995","x1996","x1997","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009"
2432.22896837921,2427.8936578868875,2410.4316031591716,2429.9087164293855,2454.1213399047588,2355.44162668257,2370.471527613328,2395.5969271070976,2427.221725142068,2401.451188254147,2412.8338238002034,2335.424194307222,2281.113565371965,2434.1392802583123,2364.5349280595387,2380.156036897463,2365.818840140273,2351.21484539931,2281.4505889978827,2324.9833388667957,2355.326849005816,2365.9670203840556,2307.1658256148717,2280.8682048697683,2312.171484843065,2328.701658085668,2395.941734679809,2230.0404062275006,2389.1948399290754,2359.7770597036183,2330.767589986984,2375.824009378105,2359.8322999874217,2364.3907730390692,2307.910851243937,2310.4644088228297,2379.3076516093597,2418.227131715681,2417.226666705089,2298.702551198826,2359.829337431561,2361.2000105235543,2441.8358683855486,2270.6528599166763,2350.8860303996344,2360.075017125138,2356.1371014111796,2375.4652544591663,2273.6209930897176,2433.625197944981,2378.7208158497674,2390.9482488824165,2364.8289246972868,2387.960363495925,2385.113370182447,2408.726244406379,2322.652439041199,2373.956187979191,2393.8369723613146,2376.7987470402873,2407.9530419380917
2427.0058066252636,2324.438032867802,2369.0090467077885,2371.856765889173,2395.1724028720478,2350.0971212762015,2373.8546981478166,2387.610059874795,2401.417837728191,2341.983056491801,2403.468321399804,2305.993051499922,2272.0956362154197,2431.249972487805,2373.4583709483177,2383.981138207248,2367.193088761749,2320.4761247060746,2266.84114239563,2304.890688690747,2328.236407728097,2359.48737940016,2295.0508304621985,2288.5407226806788,2287.313497164277,2329.9792515619342,2375.6767841546352,2171.707570672767,2416.4621379634664,2326.293550210852,2284.5955684381324,2361.068798273049,2341.423053189946,2347.287162113724,2287.7527205110086,2304.327822931223,2351.271404237072,2403.2797296182835,2428.872534630046,2296.519114871716,2319.74319840726,2325.514612637836,2436.462188526648,2256.0506957409,2337.3108904160135,2332.6359421099205,2301.758059152365,2374.0033788050637,2261.3324021093767,2449.513610904916,2363.667621625432,2351.741306686451,2380.3887821023586,2336.240915259277,2339.6103348517177,2356.0762958271166,2304.183138664799,2350.5218525528435,2377.464419201193,2335.721110104448,2345.7279892462907
2254.490488018921,2206.1389740513605,2215.21833374313,2253.041515633155,2178.1397698403484,2279.246124504703,2193.397089680598,2286.6659544261656,2233.8554962387034,2339.083435913551,2311.641384206399,2275.679357912621,2296.6561025711903,2207.770639958261,2273.071392776091,2220.6988542880567,2167.7173722526036,2319.493116987365,2211.118030079065,2223.676722812124,2274.78423720377,2271.0314469593422,2205.3026485321693,2273.532380848099,2257.422513713145,2301.2175589698045,2183.6905306641065,2234.69033719835,2251.533684615724,2257.97026585055,2234.2593512687818,2218.895350426713,2340.107361802484,2234.5410100352196,2219.4773355139205,2295.6181244886316,2300.9835553418716,2302.773009256653,2283.105760151972,2288.029154340034,2309.366041544812,2311.5637550557512,2199.164600686064,2287.232275504971,2296.9170288621835,2316.9984624873628,2224.4264344414855,2385.5530544778208,2333.083754395892,2229.074315948982,2259.4315018566754,2410.5818003851073,2379.482186462762,2352.302948858712,2356.6955568280873,2335.309954643814,2310.812948096466,2403.5230357310265,2367.3710262830164,2279.9351727185654,2357.9480941934657
1862.7284732822905,1836.2253185435882,1842.151955169071,1843.9980736855405,1722.1011576163605,1871.3118220029487,1797.0986953779638,1836.642839508593,1891.0286213350998,1932.1669631981806,1930.8081776081285,1913.4339550081231,1911.5009730352006,1788.5335039472916,1809.6152295322004,1789.933471070721,1813.6741351942003,1905.6571142223625,1847.0707241563255,1908.0215257188959,1920.6445631158517,1905.0508756061042,1820.9737229318505,1929.92847380569,1962.2487941871245,1904.3954887533123,1854.944205869029,1877.8833749991866,1834.522805731694,1917.3207553515842,1924.9758426859464,1804.1203137025057,1984.4739567403478,1842.885461365254,1843.2200854835216,1948.4059871178063,1951.1480082255532,1918.302990212844,1935.1522485805076,1893.988056176694,1899.3450027688166,1932.9415551671013,1817.7389996191837,2010.7920000590384,1899.242747161223,1912.7850088134437,1828.3117178798295,1975.2320483402202,2006.0706357697836,1805.1254715658474,1810.932754175224,1939.0027432569607,2026.2169169332933,1917.3298800348953,1938.1205217226093,1966.490513280041,1918.5083787340877,2031.2611695497942,1974.6462842093033,1949.3460194831039,1942.1832399249647
1586.4231409033448,1503.1335847718944,1562.9942716618734,1643.8911072730295,1602.0734987609208,1683.3177592127317,1605.2859837585868,1680.962697399349,1517.4364130551505,1657.8709782941964,1655.1127270558984,1582.064708174153,1607.367217499301,1582.4412898918488,1697.4515212107444,1607.4175622965479,1527.2571127388676,1676.6853249756095,1512.1401060776584,1513.4477306480308,1608.8236413811621,1622.7319171729644,1544.0982370161787,1580.294024622991,1516.6150474488534,1649.3603329622933,1505.3403164677666,1549.8089622874757,1712.8478735191707,1572.758665830437,1547.7111081651153,1601.3272922087501,1669.6344654708423,1527.5002091853448,1511.8669945421682,1593.6471210415516,1615.9872426856473,1595.2239645165264,1640.4776419449706,1646.0794653578662,1599.8166192351302,1571.3064289492197,1596.2111969730374,1563.1072216043992,1545.3470835994103,1681.320342886537,1432.9129387345895,1682.8510617440752,1587.2999379667335,1611.8319516408965,1559.1495393602556,1731.320462205685,1720.5041017970568,1748.9666046586312,1696.3055986811632,1587.4157888144791,1612.426563469149,1732.3692578185824,1691.6660617976236,1610.2265053114281,1604.3696076177605
2252.9131653230297,2095.076865959359,2174.2965092844693,2217.4344429975968,2197.0790327568197,2096.01619381875,2272.5302712051803,2088.691633141596,2165.1362850189066,2057.2005700941327,2239.018002110465,2153.5551964756455,2153.6549095654013,2101.4114917058246,2092.9958554953855,2123.2095671759407,2157.105036664834,2146.576248987761,2113.384227286386,2124.5767989425917,2185.519882525702,2210.2763025665763,2166.433901595423,2136.511229622522,2218.516032242076,2122.794640600273,2250.8352941039648,2174.9836232707567,2172.8339734390106,2183.8779935583407,2228.217522990878,2205.8451493758844,2243.0721053330717,2133.7521841518533,2180.7567241410447,2194.8949584352363,2178.347954146955,2189.0329391331775,2242.3793906042447,2263.205976249613,2235.720715630843,2206.5415040549647,2321.9128032685194,2099.485674372097,2236.605981601325,2260.8960331462604,2221.090868359909,2166.1495837352186,2122.2967127898373,2250.9554855544147,2282.921643228508,2114.4730250258654,2226.3444253714633,2218.3966941101044,2210.719814124638,2228.309741931422,2267.182626523739,2262.927305517811,2268.8720839655043,2240.413324411212,2187.2322661517137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2502.634310212021,2378.433459094311,2454.1773680125643,2494.1872021886443,2493.638774457195,2412.907180362252,2526.10915965316,2416.7110296003284,2505.748737081458,2453.7566462225604,2555.4610089051234,2467.874259538535,2451.4385750030583,2447.22386454072,2411.8701820562524,2462.947139243401,2468.684929843648,2455.6481757258457,2354.000864070641,2452.7225854363146,2493.465367683632,2496.0019175550256,2425.9869861453044,2385.0925320708516,2496.9384219396834,2429.002530421981,2539.1381488215557,2455.9015047714834,2478.642837135909,2493.1677023032094,2446.1905419159107,2507.7772579420716,2478.957732257651,2447.512787408116,2466.751487784155,2466.7090192713263,2492.1485536047517,2527.0031593437334,2563.125260737624,2527.4134243599606,2512.808365634797,2482.905716389068,2594.679204505174,2345.8611007994,2526.26941268972,2482.591339532592,2531.960111004533,2429.881483869252,2395.602041331367,2507.7810409720823,2536.100344509188,2464.015595876563,2478.140352951558,2532.2467337923667,2438.7821993766925,2581.9759639843646,2520.785683482955,2540.242877180376,2544.576313028418,2486.658425203082,2520.596902394288
2531.3048412165654,2535.346922795183,2517.177324862397,2533.6848896128763,2560.451264296759,2516.759431462262,2500.883672004836,2515.0934895330406,2551.5810480662917,2542.595089928807,2539.172509089519,2488.997625058313,2483.838212103465,2536.3806830413073,2517.366406024329,2517.8984544083332,2482.638226775365,2509.9434910331643,2483.635444151148,2504.3034859238405,2517.213405813693,2509.013731027129,2481.810255396363,2476.7249468395603,2492.337763316731,2474.4808229961386,2536.0557206680082,2471.7685212127135,2482.5437796384736,2507.689450623446,2501.773783356036,2511.9086596505367,2503.6648379596486,2501.331873262033,2480.9732032535985,2476.846798371521,2523.2909053377957,2507.134586539596,2520.0286652715145,2463.502304826326,2511.4182640024314,2532.1489783489815,2575.5816337316455,2458.4989490456596,2491.938219252261,2524.791080323166,2534.099085387116,2528.8697589994094,2493.1749923214966,2560.1750576706054,2513.1169198523735,2512.625486953558,2495.7303535731157,2537.5975315131036,2564.792141659328,2539.219901343698,2508.145796026974,2515.1610501424407,2514.21356010054,2519.3441796408506,2551.013188985179
2420.3118979267433,2440.3677504540838,2410.9390162323903,2454.916839670597,2468.896963269263,2370.74803400275,2388.237539195408,2409.9208231141347,2431.717386833199,2426.709502839991,2431.0768621070565,2359.2496612159703,2308.7582534039648,2453.2317233983895,2359.9979049230296,2382.5299692833364,2378.8088164708115,2350.0981987535865,2278.3180290764785,2333.576313837333,2371.0353927467127,2387.235046492381,2342.491579110859,2281.4733172702054,2345.837037809543,2347.789681616694,2422.920951565608,2282.5667262929906,2396.3702118034357,2371.1720346661514,2345.670850773408,2397.197447858463,2381.380695735175,2391.101346609948,2342.948769470103,2341.5839881407833,2391.4067472260335,2448.0679688790988,2431.2052294347322,2318.4231905766073,2381.9469121570673,2401.2509314299136,2459.021362833294,2297.014047665199,2388.6982460242634,2378.421267332203,2397.7474494928524,2396.9302784125316,2274.199089619275,2448.7787484419364,2367.724626785385,2386.730376925285,2367.376015775148,2385.9465392205366,2397.39492423819,2437.6035802062183,2338.041650860225,2374.693641388348,2382.2791606321703,2383.434522599714,2416.148313452809
