"x1949","x1950","x1951","x1952","x1953","x1954","x1955","x1956","x1957","x1958","x1959","x1960","x1961","x1962","x1963","x1964","x1965","x1966","x1967","x1968","x1969","x1970","x1971","x1972","x1973","x1974","x1975","x1976","x1977","x1978","x1979","x1980","x1981","x1982","x1983","x1984","x1985","x1986","x1987","x1988","x1989","x1990","x1991","x1992","x1993","x1994","x1995","x1996","x1997","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009"
NaN,2949.921045343606,2539.037943818075,2760.348966465763,2743.031749383707,2652.368732880354,2742.729446024896,2634.6910670049524,2890.8688010213464,2409.0879885162794,2585.6662009286956,2314.3654827403466,2479.9003301452562,2636.8725202541864,2513.381465303891,2380.858779640043,2707.245266859591,2545.6711568494634,2713.810532991947,2443.4815926241417,2340.4106748547015,2388.4394524912627,2419.4078729135676,2728.9755416370513,2496.821796211377,2884.6577935934706,2619.601462607021,2536.466903586329,2358.742232177184,2270.7630765879926,2520.634617674897,2435.4589412341693,2427.6695798703727,2536.1856046542102,2438.6152278516306,2366.7935316973676,2624.7717010630363,2688.2702337752744,2560.149905013142,2475.793900047589,2661.5946246517124,2651.2802802907195,2822.8863205378093,2542.62119094856,2400.234053505194,2504.901382030661,2732.6827769082047,2359.7448484796805,2635.1589505366933,2483.284686762553,2805.006135596947,2737.67331893613,2387.1858407069476,2744.6044592396397,2496.6830125715774,2536.0752094021973,2572.731765536478,2641.8431543027164,2612.2445544880807,2578.6397981759446,2608.651381281705
NaN,2991.1502913383238,2763.9570886485303,2892.53707882604,2992.680844301761,2944.9857626145927,2948.796845046629,2798.133104094219,3009.368315090079,2717.492702422726,2859.188125309793,2575.0269292749244,2789.7173217792183,2831.055470393569,2876.063419075502,2828.2107318750036,2969.340293789498,2899.1190046222778,3056.135339901011,2702.681023119162,2674.339938527799,2682.0909560262953,2767.2317171088657,2984.142038600608,2672.136934513004,3070.2222932382087,2795.432919930144,2920.6055150531797,2735.22912730807,2545.1357275853147,2629.982577292587,2631.0668732619833,2849.098669891544,2760.0998403268204,2681.4207611499114,2594.2610795634027,2915.459510079932,3004.881256901133,2828.043592634427,2717.82948254123,2798.2290433868834,2929.03960254732,3033.4461767242183,2821.1583549487473,2570.8011283640058,2703.1977389179906,2915.1552110298226,2692.737152156751,2742.3849688382747,2809.921996667891,2995.5568925051516,3041.6339476699677,2631.7160592952982,2873.528919711992,2643.2918605580926,2895.420147187427,2897.6160824293975,2972.4239396517128,2904.533468764878,2745.453839267538,2733.5975667872576
NaN,2039.543141411273,1931.885337162504,1839.2857282235777,1892.0775539531874,2098.815386854818,1783.9482200611299,2027.299469710865,2032.8902305210056,1969.700241686795,2049.745049035506,1908.2536143602613,2019.9251929398254,1916.0766281506387,1970.1239386176426,1726.7599764118763,1862.4010820614951,1928.3190120903585,1917.1959763364428,1927.8906484913357,1930.2446869663845,1905.5352805657196,1901.0516493450841,2142.977030350145,1747.642830288238,1981.1498831108233,1713.7408522325868,1943.0949638985896,1885.8082045236367,1993.945688875675,1802.3421510492199,1892.6737443126426,2157.4125934887666,1950.36115526954,1824.1376953496938,2049.756993117575,1985.9176912842902,2224.4541603938906,1964.4960541914947,1961.1782935974638,2146.552362290017,2028.3951682226507,1867.0548399721806,2039.5538425444686,2062.615773439567,2052.0141434858356,2009.7843321252287,2198.197546761924,2138.8925550571676,1817.843604305094,2047.112535845369,2247.319589497536,2053.5575777185963,2118.4373582953,2103.037881400872,2124.9464119878853,2048.8548234568793,2181.7827490699015,2092.5851636164894,1929.6560653478568,2143.41081088577
NaN,2034.1629934432808,2124.829552449855,1935.472667148323,1999.0748978489785,2163.9148819844654,1890.013647019005,2069.168021850305,2147.573292083467,2143.618591713185,2293.245942232165,2156.794681073051,2165.136035306791,2032.1931444955212,2038.4463999970753,1945.402694183425,2060.0986124310048,2140.0762694919276,1917.2935558072722,2191.156373562725,2006.9562651153597,2202.6637711809285,1945.4226303196983,2156.7613999471814,2138.984489178453,2104.566959303138,1930.85443609611,2109.5564789077584,2108.06468178952,2241.4196925007204,2078.4167520373553,2100.7699755876356,2361.927950944024,2030.8822058247904,2063.243315689729,2241.7061064201216,2139.0996399522933,2365.7812180476467,2262.9774854931707,2181.4339311372737,2163.9182814020733,2185.9970220857185,2006.5173194798458,2371.109448028434,2155.798258635168,2211.6753920507617,2133.3384419430613,2302.903409848933,2388.308388652836,1984.9657006445477,2021.8828247228669,2333.7577103465064,2262.1298229529316,2192.023820095685,2207.5639777314855,2307.4091607515666,2161.7120756501427,2206.7287962279825,2253.032029748451,2113.5135524975344,2194.396085068845
NaN,2095.0807181906357,2063.5827051704164,1947.9683895206783,2074.0805054591456,2266.7002567537643,2043.948337613856,2135.238605523526,1977.0658573685962,1994.9217988318733,2092.677681616404,1911.9401293535277,2023.630438578307,1949.9245072433207,2245.8604203040973,2060.951838080531,1964.1666809529204,2106.1699492613634,2063.1453413040604,1954.5759270411795,1982.1598677681422,1889.31893460462,1928.399203634767,2046.1428888479993,1792.4854504664559,2117.9706212970896,1855.481803176696,2027.4509381207206,2088.6804787128435,2051.398750639962,1897.4246237212994,1945.7916358752352,2260.718536620632,1989.2292001310839,1759.884349135103,1891.95729828634,1971.5558816939492,2036.0060232864164,1957.5816800968187,2032.9543328668274,2156.346952161536,2082.894386579166,2045.9995350016636,2018.5326472203985,1885.0943101122382,2045.849730930768,1850.9046645032283,2122.672765677422,1984.655137729181,1931.4237780172612,2098.907164584484,2264.429570047998,2032.4915564454177,2255.3691605160675,2052.286405878571,2156.613571884945,2043.091513871131,2272.956233137062,2016.3271748052712,1968.603074167303,2132.555475032138
NaN,2266.5285753029766,2456.0298026015926,2390.734685616194,2464.4382451406077,2496.7880698884123,2403.428634392847,2025.5982294697076,2487.829254125385,2228.25382401541,2322.061052987194,2280.136365732302,2231.683515072415,2259.1337953416237,2131.1451778540304,2360.3005675595714,2274.0323119721493,2198.5057496483955,2197.5242479166236,2250.8578394957026,2284.864945451121,2191.47912562347,2207.7454002497375,2275.1223446512604,2377.1250386981255,2341.88086345592,2318.258365648685,2541.538195361922,2249.7476643834552,2209.7131137495926,2386.6652242114324,2419.2160142065254,2421.0033376566685,2246.884925546472,2488.864360855001,2269.1219412092596,2559.942296162146,2413.653577863029,2395.152019886994,2359.7006905165717,2375.080617946078,2442.76590077063,2685.9933226062385,2315.98955218619,2287.603301813351,2367.4739034015583,2501.292421222073,2214.2063643339693,2261.1391756129474,2421.70802587017,2508.2977211086604,2462.5464186254335,2318.186921650462,2637.1702898200147,2156.8041114466478,2407.396937707366,2355.2131640982975,2488.9894940270096,2507.5851144166354,2451.6451751019986,2329.2217454034017
NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaN,2836.180962086141,2781.4090805186606,2835.736713393521,2943.0143224260883,2903.1483169340404,2792.2124247451447,2543.085404776994,2983.71201328982,2637.10255358358,2806.6632608406485,2747.140446171956,2618.255010776327,2739.0676315434575,2573.0314182024717,2704.4856250450125,2746.2476498002975,2644.1158864016584,2613.7332708883673,2611.9113220623162,2702.7829352274525,2531.675230380399,2666.578134819112,2763.8745596878994,2875.786333991687,2890.19416846964,2794.1737730080326,3016.9210961241056,2689.0214473767533,2570.4133759834745,2744.7345833473905,2800.250951921685,2768.150415896169,2622.195381368429,2917.453239595247,2696.1993329696083,3013.53385504037,2934.520692864962,2771.317022815052,2737.633979890759,2806.6168918606277,2906.2639776655838,3149.76397293569,2715.1857617990154,2738.6376196880865,2739.2755202659573,2968.8229112695903,2587.281075353054,2763.0398010111107,3008.383790026353,2916.944703871824,3000.955181764132,2640.6963043134615,3182.945957417122,2536.5058653959863,2912.4581005900604,2773.899870063022,2971.0805488022984,2967.648619544307,2921.937126358609,2785.4847770786196
NaN,3497.787477644475,3153.532898853513,3402.4234398867156,3400.5036419439116,3398.1613899787453,3287.2820785689314,3276.4474988408156,3546.0297953309287,3042.983241532613,3377.823415527844,3124.085818707319,3264.467622353527,3330.302477553653,3178.7829608208294,3119.393577107245,3432.071320912113,3179.085437733925,3315.436240255897,3207.5204194463563,3065.9645696387825,3073.6996028544177,3146.473390313522,3513.8066831969163,3275.120306280849,3522.1479676308913,3430.29441957034,3208.475574651018,3050.6169186642846,3003.0481184343225,3269.692013869016,3197.409667611473,3023.2400155277137,3290.1280640352547,3206.5962564212464,3140.1498881611305,3321.145116923528,3260.362644001594,3264.878850613272,3151.5002511296507,3450.5502733585818,3348.4225323054116,3534.845335735725,3244.7544044645297,3274.4209040007395,3324.005597955045,3363.031226071391,3040.053436931631,3435.5862769571877,3238.9023783761263,3464.4531875478015,3296.604347534488,3147.613258882757,3472.267215171441,3211.952554246476,3148.778830683053,3216.1115357794247,3254.0383087533055,3311.880821150322,3361.2590047813337,3223.5774420201983
NaN,3086.748370555207,2734.3690764771573,3033.191000984115,2988.2883754958298,2932.4137056180866,2954.6982833257357,2844.0605200691766,3142.6595876192036,2665.113443355281,2892.5409050001635,2617.1089561915724,2743.2471987391214,2880.77245379116,2729.756973813663,2591.2873347262616,2959.626553373049,2688.605359205597,2869.9335625301146,2683.079337023571,2553.7861097396903,2634.5381820801804,2681.397864651898,2952.8329696730657,2816.0955025429525,3160.3416442504945,2901.807008427388,2813.2179570375033,2633.6648353076303,2556.9234779213507,2815.2789616528476,2742.692926565023,2683.291133891931,2770.390213688608,2738.150218727916,2635.0770964776643,2917.1664736332677,2982.679725790234,2783.8119899751423,2728.119043384491,2952.2683183498307,2923.917697680316,3089.7604638245743,2802.152594896238,2691.705497850785,2817.8209960773547,2975.957003458323,2598.8773661244,2837.7619920850257,2786.3116302228727,3030.106479832736,2892.6205500561605,2626.034921627953,3007.4092413318695,2700.9282008572504,2730.224049165125,2735.9312898311196,2808.1746816927143,2867.153675513645,2802.9085157750687,2756.3659014448817
NaN,2302.838313829376,2233.640716358428,2316.65863466005,2299.192927960972,2618.0076198652573,2530.6360016335707,2310.411939206403,2523.4957322706255,2260.2414070713653,2489.2157893976705,2118.5274704926082,2295.4947712929875,2403.764836967944,2572.5232991331304,2676.5747005159437,2368.056377085231,2458.03135214626,2353.30498927267,2383.5528961083023,2255.0261382284216,2323.3697052530574,2336.508263614475,2378.091300235676,2332.390046457327,2482.143377471063,2281.8617833888893,2626.66259849843,2590.7471837646785,2280.1886075965917,2171.5998523283292,2365.2087199792427,2607.8803584671596,2289.4042008946344,2276.212082521286,2211.9330215125483,2568.253818323966,2473.621625611131,2624.897556839991,2501.823273951978,2318.432095039895,2398.8989820205825,2610.7727204339208,2263.1081747822136,2091.6012232603657,2350.6426710343244,2356.30089250633,2120.2683937799115,2146.8459911190703,2384.5486817462915,2518.8181456342395,2646.0542281469156,2284.5793410780657,2538.8613359851815,2231.0067378625727,2404.659288988313,2509.336878827144,2495.9231091237416,2488.967000082153,2204.2242995173106,2307.601176235656
NaN,2033.7429717846733,2212.4331952616985,2077.5742131095853,2183.9279668985637,2270.0484421100705,2015.8393591904205,2214.5750333786204,2138.698267637596,2284.839328455369,2241.588271279558,2222.903020886369,2355.4625015032925,2067.888160035603,2266.592130269943,2031.0208997992095,2167.926651126337,2313.643426832851,2159.5008350417443,2174.4434902750795,2167.3905744278413,2134.448602192828,2092.028224025701,2146.9416150085653,2167.6192179095838,2182.424270440328,1985.0196696995322,2011.053645199679,2273.900723413146,2166.6888438765395,2169.2231360834126,2147.483961278678,2238.890261903988,2062.49672516046,2074.1155534144314,2046.3811863774072,2097.712169206064,2221.1898789152006,2322.717607829986,2348.4850724892626,2299.456599453871,2313.901446770455,2123.240597703464,2466.3914717072516,1964.1389926837537,2339.594512477444,2055.7500191489053,2215.4521678084448,2187.7808309850006,2186.265947134272,2063.6004216976394,2375.3294701578648,2190.7511323759227,2204.2523285718153,2340.7853002237102,2304.154741529081,2186.265332418043,2330.006245598847,2416.2630954729552,2053.4244755667623,2150.4455654923295
NaN,2406.447042945929,2281.990978611904,2409.5479762786968,2519.766215874404,2602.2480199626148,2494.176645126142,2339.3902706278773,2547.9965045935396,2249.1998086366148,2499.840644804827,2167.0289168590225,2272.3560558462304,2402.339992437314,2403.0307036218755,2555.6941837566183,2502.228322792996,2423.6876951535965,2431.9924516822302,2307.4785306837384,2251.020031137114,2255.2490803666537,2365.7277653418814,2481.2315072248944,2342.3533391073197,2496.796437587519,2342.8424133905132,2570.7564825862223,2398.0978554956005,2218.945206288771,2219.4860836518474,2261.257228273051,2443.2769621610532,2254.4234357992154,2328.2835091183897,2212.7624930638017,2503.1892852934507,2525.117257003024,2513.3451889663843,2371.657659799162,2259.292460452551,2437.7913275430956,2656.0445319008563,2382.286882540486,2198.420693442023,2284.241476840975,2445.895519059796,2138.8593453814697,2150.8298605824416,2427.2167687930887,2575.194650687234,2626.0952728949956,2339.9376393674,2565.2468998563927,2205.7320312091556,2523.0467299649436,2558.55702480877,2506.615544982097,2545.7764847690573,2228.799134840774,2335.6386132561793
NaN,2435.022580505001,2342.752548390907,2445.8745980206354,2526.647420053775,2585.7371323040275,2449.2570235548305,2280.095706996868,2596.5472117933255,2221.4708866277083,2467.9775783103196,2179.3043872564144,2244.179750113012,2415.221063029638,2300.1935355941564,2526.7592647019424,2495.80732242347,2373.2175144210537,2360.1644416072722,2265.5916059037336,2296.968583352333,2198.41602757357,2297.6273502147787,2456.2520207012376,2368.626267187002,2476.151965645938,2345.4491186051773,2579.8453820671625,2360.178400167742,2203.9985175350653,2241.018756005046,2249.089400210858,2389.618162657673,2252.6895986208233,2392.5712675591135,2223.7805928394637,2598.806044047604,2571.18833869555,2481.6742321110687,2369.6916373549348,2281.5432248927514,2420.8614704603765,2691.858204727674,2358.4088272081603,2260.859958653265,2295.0274509316864,2552.316796034676,2171.2884452930734,2202.679080407766,2473.5775575238745,2619.713400975862,2623.751710587301,2402.077140147534,2620.7010763923017,2224.7401363442677,2546.0385704580003,2532.028196314394,2474.8981695820994,2570.381451088936,2321.502588957004,2393.5486913655877
NaN,2886.175437559672,2750.246840908954,2741.612542516543,2884.954419897847,3005.99349189444,2944.3755030204134,2826.892460214071,2847.4595492156477,2631.447810905271,2883.848141273784,2583.751295226768,2783.1992854109817,2820.399747144965,3086.709477625907,2994.834469833775,2852.484546892275,2944.227477638849,2908.6618401418536,2744.362039609123,2599.324657663337,2683.666517160073,2691.9970499984975,2914.1750926294994,2624.0258076426226,2986.396955056965,2700.2893383518076,2996.568965581327,2893.1023785526295,2677.7197542242684,2592.2374580264513,2685.225994652216,3073.042074413853,2670.059349532224,2530.687478827383,2569.162033097785,2805.055990926518,2961.5197618948337,2860.735584484195,2763.6342050661906,2837.419324287205,2851.8966918124556,3057.3062389207817,2802.543368944688,2432.3219355875076,2757.2537787712486,2691.2152306702387,2752.598475932068,2624.00987335952,2666.3695176926453,2921.7311193026826,3011.5150973859913,2663.344615230176,2942.3783801213262,2640.555548963644,2845.557183608354,2858.760438596521,3026.1418908485903,2792.0208049023286,2607.3270820299444,2782.1854629201716
NaN,2584.842021764146,2444.2308511887254,2577.192956353866,2671.766347008398,2594.4128329054533,2524.0800183728575,2415.1595421050106,2748.118129809515,2307.0991102564294,2520.2502651923874,2260.4323276454083,2315.587025166778,2530.368382933941,2352.8491724632677,2475.830194647124,2633.0312561693995,2394.5681795635714,2562.3124286345183,2332.3253993590038,2336.1720109684884,2268.4941858079856,2418.9859474230184,2611.5139997987467,2517.2766562686497,2695.510922470179,2523.8243071962925,2626.251771479849,2364.1331499194002,2280.399055814755,2395.353837744476,2299.5529171871676,2431.5449512931623,2405.3707167840603,2448.0792617473344,2302.8485496621906,2634.985264437676,2702.387267243193,2531.5279566713984,2448.187586016525,2433.3942986171382,2574.807778952197,2769.3599644061587,2520.7462189670023,2373.5224542097185,2359.8600625387717,2640.703450369001,2286.0918375868046,2377.3920255425696,2531.644671848601,2673.7444329352056,2729.2823755202708,2446.9431866223813,2738.929057734428,2362.630047592144,2657.151930528728,2660.0621038856925,2523.820438047893,2640.0989694049445,2438.0822971619477,2470.2028991809666
NaN,3426.7808600702147,3055.9855805353054,3305.833172096034,3251.3319943347733,3155.3601130170323,3261.573809906246,3161.8334452373765,3364.705039466256,2887.197041232164,3006.0981687162875,2767.888971429257,3001.4635939523614,3058.254176380684,3008.298593937979,2862.94141074777,3166.9619571823105,3020.8798884188554,3169.122373054227,2951.1981794813532,2884.4947225289116,2901.718414233688,3022.2146479735243,3273.4054826637625,2874.6323868224677,3332.5369670779005,3122.270748505747,3044.0241980101414,2816.359280085842,2729.2837855701982,2946.4549403250903,2885.3570635873098,2930.8526759518368,3067.6768131935946,2921.8734026735747,2815.9707884946442,3123.4191656053963,3180.5865452849125,2932.431276882873,2910.5792126541173,3139.0518227546672,3103.4651720102333,3217.787300142598,3072.844715753394,2892.707634711603,2966.372500403854,3175.9222220053703,2935.1364954241917,3119.7451637335125,3026.3147535192397,3330.459632149851,3269.851369003134,2844.9885978126204,3149.0612475206726,2951.0632649391796,3038.054594107894,3125.47504221807,3197.707421634818,3057.398877043927,3157.7393258844654,3126.7149147987084
