"ST","YEAR","TP_TotPop","PS_GW","PS_SW","PS_To","DO_GW","DO_SW","DO_To","IN_GW","IN_SW","IN_To","IR_GW","IR_SW","IR_To","LI_GW","LI_SW","LI_To","MI_GW","MI_SW","MI_To","PT_GW","PT_SW","PT_To","TO_GW","TO_SW","TO_To"
"MI",2010,9883.640000000001,204.29999999999998,883.39,1087.6900000000003,230.91000000000003,0.0,230.91000000000003,74.99999999999999,536.8900000000001,611.89,146.69,62.550000000000004,209.24,21.92,80.38,102.3,10.71,66.04,76.75,4.12,8514.29,8518.41,693.65,10143.54,10837.19
"MN",2010,5303.924999999999,353.21,188.44,541.65,78.94999999999999,0.0,78.94999999999999,61.83,71.69999999999999,133.53,170.73000000000002,26.709999999999994,197.44,61.02,15.18,76.2,8.32,276.45,284.77,2.34,2506.33,2508.67,736.4,3084.81,3821.2100000000005
"MS",2010,2967.2970000000005,348.83000000000004,46.33,395.16,44.6,0.0,44.6,77.81,124.96000000000001,202.77,1959.87,133.09,2092.96,120.76000000000002,30.370000000000005,151.13,20.8,0.55,21.35,57.05999999999999,967.92,1024.98,2629.73,1303.22,3932.9499999999994
"MO",2010,5988.927,292.89,543.4499999999999,836.34,61.80999999999999,0.0,61.80999999999999,34.269999999999996,34.14,68.40999999999998,1352.5499999999997,49.629999999999995,1402.1799999999998,28.89,224.61,253.49999999999997,24.45,8.41,32.86,19.869999999999997,5893.5599999999995,5913.429999999999,1814.73,6753.799999999999,8568.53
"MT",2010,989.4150000000002,65.59999999999998,72.37,137.97,21.21,1.04,22.25,36.86000000000001,29.57,66.42999999999999,126.72,7033.719999999999,7160.4400000000005,14.799999999999999,45.900000000000006,60.69999999999999,20.33,26.15,46.48,0.85,150.12,150.97,286.37,7358.870000000001,7645.240000000002
"NE",2010,1826.3409999999997,234.21000000000004,61.410000000000004,295.62,44.010000000000005,0.0,44.010000000000005,28.79,2.3299999999999996,31.12,4300.589999999999,1359.53,5660.12,99.07,103.38,202.45,0.22000000000000003,8.769999999999998,8.99,5.25,1788.77,1794.02,4712.14,3324.19,8036.330000000001
"NV",2010,2700.5510000000004,133.01000000000002,447.8,580.8100000000001,29.81,0.0,29.81,0.7,4.53,5.23,653.0100000000001,920.7499999999999,1573.76,15.69,38.83,54.519999999999996,342.28999999999996,4.11,346.4,28.880000000000003,3.68,32.56,1203.39,1419.7,2623.09
"NH",2010,1316.47,34.7,56.55,91.25000000000001,33.32,0.0,33.32,10.63,7.0600000000000005,17.69,1.2500000000000002,0.67,1.9200000000000002,8.76,8.699999999999998,17.46,0.01,2.8400000000000003,2.85,1.02,1049.1,1050.12,89.69,1124.9199999999998,1214.6100000000001
"NJ",2010,8791.894,397.91,682.19,1080.1,98.34,0.0,98.34,34.78,48.489999999999995,83.27,67.58,70.06000000000002,137.64000000000001,10.14,0.0,10.14,1.73,6.909999999999999,8.64,1.57,4250.95,4252.5199999999995,612.05,5058.6,5670.649999999999
"NM",2010,2059.179,210.94,72.38,283.32,25.82,0.0,25.82,10.270000000000001,0.83,11.100000000000001,1237.03,1458.8700000000001,2695.9,48.57,7.35,55.92000000000001,27.41,9.68,37.09,9.59,42.27,51.86000000000001,1569.6299999999999,1591.38,3161.01
"NY",2010,19378.102,457.06,1805.98,2263.04,152.12,0.0,152.12,35.86,316.07,351.93,30.240000000000002,40.16,70.4,17.909999999999997,44.800000000000004,62.709999999999994,8.34,64.03999999999999,72.38,2.39,7599.55,7601.94,703.9200000000001,9870.6,10574.52
"NC",2010,9535.483,194.19,765.5999999999999,959.7899999999998,231.35,0.0,231.35,83.82000000000001,187.56,271.38,88.25999999999999,278.66999999999996,366.93000000000006,68.44000000000003,1469.7399999999998,1538.18,27.760000000000005,4.87,32.629999999999995,0.37,9019.489999999998,9019.86,694.19,11725.929999999998,12420.12
"ND",2010,672.5910000000001,30.519999999999996,38.31,68.82999999999998,3.68,0.0,3.68,5.77,12.91,18.680000000000003,77.53999999999999,87.23,164.76999999999998,12.940000000000001,14.54,27.48,22.340000000000003,4.63,26.97,0.0,836.6500000000001,836.6500000000001,152.79000000000002,994.2699999999999,1147.06
"OH",2010,11536.503999999999,455.15000000000003,918.01,1373.1599999999999,134.48999999999998,2.7500000000000004,137.24,196.77,292.51,489.28,17.16,35.419999999999995,52.58,23.069999999999993,35.230000000000004,58.300000000000004,79.05000000000001,35.84,114.89,23.029999999999998,7194.27,7217.3,928.72,8514.03,9442.75
"OK",2010,3751.34,130.4,527.01,657.41,26.810000000000002,0.0,26.810000000000002,6.46,14.3,20.759999999999998,429.36999999999995,134.77000000000004,564.14,35.74999999999999,63.75999999999999,99.50999999999999,1400.9499999999998,13.27,1414.22,1.26,384.13000000000005,385.39,2031.0000000000002,1137.24,3168.2400000000002
"OR",2010,3831.0739999999996,114.06,419.73,533.79,60.0,7.07,67.06999999999998,2.62,123.13,125.75,1911.4899999999998,3346.0000000000005,5257.49,36.38000000000001,692.6500000000001,729.03,7.47,1.17,8.64,1.48,11.2,12.68,2133.5,4600.95,6734.45
"PA",2010,12702.378999999999,226.22,1198.63,1424.8500000000001,200.72,0.0,200.72,73.77,792.47,866.2399999999999,7.390000000000001,19.750000000000004,27.139999999999997,93.44000000000003,66.46000000000001,159.9,51.43,10.54,61.970000000000006,4.49,5389.59,5394.08,657.4599999999999,7477.4400000000005,8134.900000000001
"RI",2010,1052.567,15.809999999999999,92.22,108.03,8.02,0.0,8.02,4.17,3.3499999999999996,7.5200000000000005,2.3,0.39,2.69,5.7700000000000005,8.91,14.68,0.43,0.49,0.92,0.0,233.64,233.64,36.5,339.0,375.5
"SC",2010,4625.3640000000005,114.25,504.37,618.62,115.25,0.0,115.25,22.72,365.0,387.72,67.69,57.42,125.11,7.2299999999999995,15.759999999999998,22.99,6.69,1.74,8.43,4.86,5499.22,5504.08,338.68999999999994,6443.509999999999,6782.2
"SD",2010,814.18,74.28999999999999,49.92,124.21,5.37,0.0,5.37,6.85,2.63,9.48,197.57999999999998,164.82,362.4,43.97,51.839999999999996,95.81,7.219999999999999,11.01,18.230000000000004,3.34,6.93,10.27,338.62,287.15000000000003,625.77
"TN",2010,6346.1050000000005,300.8,617.6400000000001,918.4399999999999,38.72,0.0,38.72,47.58,728.44,776.02,44.25999999999999,27.62,71.88000000000001,29.48,50.650000000000006,80.13,6.890000000000001,7.73,14.62,1.78,5795.0,5796.78,469.5100000000001,7227.08,7696.590000000001
"TX",2010,25145.561,1134.5700000000002,2858.27,3992.8400000000006,258.71999999999997,0.0,258.71999999999997,110.28999999999999,1179.6499999999999,1289.9399999999998,5097.41,1734.47,6831.880000000001,140.51,149.51000000000002,290.02,931.49,81.69999999999999,1013.1899999999998,38.8,11081.3,11120.099999999999,7711.789999999999,17084.899999999998,24796.69
"UT",2010,2763.8849999999998,364.1600000000001,308.84,672.9999999999999,8.44,0.0,8.44,68.69999999999999,49.50000000000001,118.19999999999999,493.94,2725.6000000000004,3219.54,104.89999999999999,8.76,113.66000000000001,44.17,206.24,250.41,34.51,46.04999999999999,80.55999999999999,1118.82,3344.99,4463.8099999999995
"VT",2010,625.741,13.959999999999999,29.150000000000002,43.11000000000001,13.63,0.0,13.63,2.0,3.6900000000000004,5.6899999999999995,0.77,1.6800000000000002,2.45,10.19,6.37,16.560000000000002,0.32,3.53,3.8500000000000005,0.74,344.49,345.22999999999996,41.61,388.91,430.52
"VA",2010,8001.024000000002,70.97,593.67,664.6400000000001,123.68000000000002,0.0,123.68000000000002,74.27,364.63,438.90000000000003,16.029999999999998,45.36,61.39,15.909999999999998,306.69000000000005,322.6,6.559999999999999,28.36,34.92,1.55,6000.35,6001.900000000001,308.97,7339.06,7648.030000000002
"WA",2010,6724.539999999999,470.76,438.86999999999995,909.6299999999999,112.82000000000001,0.02,112.84,99.36,391.52,490.88,797.8900000000001,2349.0200000000004,3146.91,105.63000000000002,135.28,240.90999999999997,13.350000000000001,3.3600000000000003,16.71,1.5699999999999998,36.36,37.93,1601.38,3354.4299999999994,4955.810000000001
"WV",2010,1852.9940000000004,34.17,154.99999999999997,189.17000000000002,30.880000000000003,0.6300000000000001,31.51,38.93,729.03,767.96,0.05,0.04,0.09,13.379999999999999,44.019999999999996,57.39999999999999,6.55,9.000000000000002,15.549999999999999,1.4000000000000001,2469.91,2471.31,125.35999999999999,3407.63,3532.9900000000002
"WI",2010,5686.986,260.65,220.76,481.41,78.36,0.0,78.36,54.3,381.84000000000003,436.14000000000004,255.77,123.02999999999999,378.80000000000007,91.28000000000002,37.54999999999999,128.82999999999998,10.93,8.629999999999999,19.56,2.7800000000000002,4631.71,4634.49,754.0699999999999,5403.519999999999,6157.589999999999
"WY",2010,563.626,51.47,47.51,98.98,8.55,0.0,8.55,4.92,1.82,6.74,437.21,3932.13,4369.339999999999,8.24,29.069999999999997,37.31,104.24,13.0,117.23999999999998,2.29,61.059999999999995,63.35,616.92,4084.5899999999997,4701.51
