"ST","YEAR","TP_TotPop","PS_GW","PS_SW","PS_To","DO_GW","DO_SW","DO_To","IN_GW","IN_SW","IN_To","IR_GW","IR_SW","IR_To","LI_GW","LI_SW","LI_To","MI_GW","MI_SW","MI_To","PT_GW","PT_SW","PT_To","TO_GW","TO_SW","TO_To"
"AL",2010,4779.736,280.5,550.57,831.0699999999999,37.97,0.0,37.97,33.95,540.48,574.4300000000001,84.89999999999999,73.99999999999999,158.89999999999998,44.13,41.45,85.58,12.719999999999999,7.490000000000001,20.21,0.0,8251.810000000001,8251.810000000001,494.17,9465.8,9959.970000000001
"AZ",2010,6392.333,585.0700000000002,628.3500000000001,1213.4199999999998,27.18,0.0,27.18,12.92,0.0,12.92,1693.8899999999999,2875.4800000000005,4569.37,66.47,7.77,74.24000000000001,86.60999999999999,0.0,86.60999999999999,77.28,27.14,104.41999999999999,2549.42,3538.7400000000002,6088.16
"AR",2010,2915.9179999999997,133.66,295.00999999999993,428.67,12.84,0.0,12.84,61.17,214.4,275.57000000000005,7378.33,1341.4,8719.73,196.7,109.86,306.56000000000006,0.18,44.11,44.28999999999999,4.26,1535.04,1539.3,7787.139999999999,3539.8199999999997,11326.96
"CA",2010,37253.956000000006,2826.4900000000002,3472.2300000000005,6298.719999999999,142.47,29.45,171.92,399.27,1.13,400.4,8685.98,14370.510000000002,23056.490000000005,255.63000000000002,905.5000000000001,1161.1299999999999,260.12000000000006,12.3,272.42,81.59,6519.51,6601.099999999999,12651.55,25310.63,37962.17999999999
"CO",2010,5029.196,130.22,717.3100000000002,847.53,37.93,0.0,37.93,3.4499999999999997,126.78,130.23,1296.69,8418.02,9714.710000000001,48.11000000000001,110.77999999999999,158.89000000000001,24.879999999999995,3.05,27.929999999999996,16.779999999999998,60.2,76.98,1558.06,9436.14,10994.199999999999
"CT",2010,3574.0969999999993,135.05999999999997,292.0,427.06000000000006,65.35000000000001,0.0,65.35000000000001,6.279999999999999,98.63999999999999,104.92000000000002,0.8500000000000002,23.11,23.959999999999997,7.679999999999999,23.05,30.73,0.92,3.8,4.72,0.0,2654.22,2654.22,216.14,3094.8199999999997,3310.9599999999996
"DE",2010,897.934,44.76,33.3,78.06,14.82,0.0,14.82,8.43,87.53,95.96000000000001,86.12,15.21,101.33,1.37,0.0,1.37,0.44,0.41000000000000003,0.85,0.37,424.7,425.07,156.31,561.1500000000001,717.46
"DC",2010,601.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1
"FL",2010,18801.31,2012.1699999999998,255.65000000000003,2267.82,213.84,0.0,213.84,165.45,47.71,213.16000000000003,1581.3200000000002,1338.52,2919.8399999999997,20.970000000000002,2.22,23.19,78.75,34.12,112.86999999999998,50.02,9135.23,9185.25,4122.5199999999995,10813.449999999999,14935.970000000001
"GA",2010,9687.655,242.58,872.9299999999998,1115.51,114.76999999999998,0.0,114.76999999999998,205.8,281.33000000000004,487.13,636.4599999999999,202.33,838.79,6.3,72.77,79.07,19.269999999999996,8.41,27.68,2.9200000000000004,2052.97,2055.89,1228.1,3490.7400000000002,4718.839999999999
"ID",2010,1567.582,211.51000000000002,27.089999999999996,238.60000000000002,79.00999999999999,0.0,79.00999999999999,32.56,17.16,49.72,3817.5300000000007,10222.46,14039.989999999996,104.14,2697.93,2802.0699999999997,1.28,18.92,20.200000000000003,0.88,0.0,0.88,4246.91,12983.56,17230.469999999998
"IL",2010,12830.632000000001,366.85999999999996,1137.9699999999998,1504.83,92.35999999999999,0.0,92.35999999999999,123.66000000000001,266.67,390.33000000000004,208.28000000000003,17.479999999999997,225.75999999999993,40.809999999999995,27.2,68.00999999999999,40.97,55.35999999999999,96.33000000000001,5.65,10708.029999999999,10713.68,878.59,12212.71,13091.3
"IN",2010,6483.802000000001,351.33,304.16999999999996,655.5000000000001,126.06,0.0,126.06,82.2,2124.6099999999997,2206.8100000000004,98.41000000000001,38.72,137.13,32.800000000000004,14.969999999999999,47.77,4.52,83.73000000000002,88.25,24.549999999999997,5356.93,5381.4800000000005,719.87,7923.13,8642.999999999998
"IA",2010,3046.355,308.55999999999995,84.31,392.87,38.379999999999995,0.0,38.379999999999995,122.57000000000001,2.7,125.27000000000001,41.64,1.18,42.81999999999999,116.58,38.25,154.83,1.5300000000000002,78.06,79.59,21.150000000000002,2215.5599999999995,2236.71,650.4100000000001,2420.06,3070.47
"KS",2010,2853.118000000001,159.76999999999998,231.40999999999997,391.18,14.879999999999999,0.0,14.879999999999999,33.49999999999999,6.79,40.29,2880.9700000000003,160.02999999999997,3041.0,95.34,31.619999999999997,126.96000000000001,9.340000000000002,3.98,13.32,11.190000000000001,365.99,377.17999999999995,3204.99,799.82,4004.81
"KY",2010,4339.367,70.94999999999999,501.25,572.1999999999998,19.689999999999998,13.459999999999997,33.15,81.36,146.36,227.71999999999997,1.6500000000000001,27.38,29.029999999999998,2.7400000000000007,75.1,77.83999999999999,7.799999999999999,22.950000000000003,30.75,15.3,3340.4900000000002,3355.7900000000004,199.48999999999998,4126.990000000001,4326.48
"LA",2010,4533.372,378.3,368.13,746.4300000000001,46.98,0.0,46.98,231.23999999999998,1826.79,2058.0299999999997,669.9000000000001,258.04,927.9399999999999,201.54000000000002,117.54999999999998,319.09000000000003,5.32,5.940000000000001,11.26,41.059999999999995,4389.52,4430.58,1574.34,6965.97,8540.31
"ME",2010,1328.361,27.659999999999997,63.64,91.3,33.05,0.0,33.05,6.54,200.23999999999998,206.78,2.5100000000000002,8.77,11.28,27.49,21.73,49.22,1.1400000000000001,3.73,4.869999999999999,0.96,51.88,52.84,99.35,349.99,449.34
"MD",2010,5773.551999999999,89.21000000000001,700.5200000000001,789.7300000000001,85.58000000000001,0.0,85.58000000000001,11.34,184.96,196.29999999999998,53.43,18.650000000000002,72.08000000000001,11.080000000000002,17.93,29.01,7.25,2.1799999999999997,9.43,2.25,6197.65,6199.900000000001,260.14,7121.89,7382.030000000001
"MA",2010,6547.629,190.64,488.65999999999997,679.3,37.9,0.0,37.9,4.279999999999999,12.059999999999999,16.340000000000003,117.83000000000001,21.41,139.24,8.129999999999999,42.92000000000001,51.050000000000004,1.8200000000000003,4.779999999999999,6.6,0.21,2065.2499999999995,2065.4599999999996,360.81,2635.08,2995.8900000000003
